2026-01-14 10:36:14,533 INFO  Logger.cs: 70 - 
--------------------------------------------------------------------------------
2026-01-14 10:36:14,550 INFO  Logger.cs: 71 - Logging commencing for SW2URDF exporter
2026-01-14 10:36:14,551 INFO  Logger.cs: 73 - Commit version 1.6.0-4-g7f85cfe
2026-01-14 10:36:14,551 INFO  Logger.cs: 74 - Build version 1.6.7995.38578
2026-01-14 10:36:14,562 INFO  SwAddin.cs: 192 - Attempting to connect to SW
2026-01-14 10:36:14,563 INFO  SwAddin.cs: 197 - Setting up callbacks
2026-01-14 10:36:14,563 INFO  SwAddin.cs: 201 - Setting up command manager
2026-01-14 10:36:14,564 INFO  SwAddin.cs: 204 - Adding command manager
2026-01-14 10:36:14,566 INFO  SwAddin.cs: 263 - Adding Assembly export to file menu
2026-01-14 10:36:14,567 INFO  SwAddin.cs: 272 - Adding Part export to file menu
2026-01-14 10:36:14,567 INFO  SwAddin.cs: 210 - Adding event handlers
2026-01-14 10:36:14,576 INFO  SwAddin.cs: 217 - Connecting plugin to SolidWorks
2026-01-14 10:36:34,804 INFO  SwAddin.cs: 294 - Assembly export called for file liangzhi.SLDASM
2026-01-14 10:39:10,948 INFO  SwAddin.cs: 294 - Assembly export called for file liangzhi.SLDASM
2026-01-14 10:39:10,949 INFO  SwAddin.cs: 299 - Save is required
2026-01-14 10:39:10,949 INFO  SwAddin.cs: 313 - Saving assembly
2026-01-14 10:39:11,282 INFO  SwAddin.cs: 316 - Opening property manager
2026-01-14 10:39:11,288 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from liangzhi.SLDASM
2026-01-14 10:39:11,290 INFO  ExportHelperExtension.cs: 1136 - Found 33 in liangzhi.SLDASM
2026-01-14 10:39:11,290 INFO  ExportHelperExtension.cs: 1145 - Found 3 features of type [CoordSys] in liangzhi.SLDASM
2026-01-14 10:39:11,290 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-01-14 10:39:11,291 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-01-14 10:39:11,291 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [CoordSys] from rjmd_0-0_sw0002-1
2026-01-14 10:39:11,292 INFO  ExportHelperExtension.cs: 1136 - Found 163 in rjmd_0-0_sw0002-1
2026-01-14 10:39:11,292 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [CoordSys] in rjmd_0-0_sw0002-1
2026-01-14 10:39:11,293 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from liangzhi.SLDASM
2026-01-14 10:39:11,293 INFO  ExportHelperExtension.cs: 1136 - Found 33 in liangzhi.SLDASM
2026-01-14 10:39:11,293 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in liangzhi.SLDASM
2026-01-14 10:39:11,293 INFO  ExportHelperExtension.cs: 1148 - Proceeding through assembly components
2026-01-14 10:39:11,294 INFO  ExportHelperExtension.cs: 1160 - 1 components to check
2026-01-14 10:39:11,294 INFO  ExportHelperExtension.cs: 1125 - Retrieving features of type [RefAxis] from rjmd_0-0_sw0002-1
2026-01-14 10:39:11,294 INFO  ExportHelperExtension.cs: 1136 - Found 163 in rjmd_0-0_sw0002-1
2026-01-14 10:39:11,294 INFO  ExportHelperExtension.cs: 1145 - Found 0 features of type [RefAxis] in rjmd_0-0_sw0002-1
2026-01-14 10:39:11,481 INFO  SwAddin.cs: 339 - Loading config tree
2026-01-14 10:39:11,485 INFO  ConfigurationSerialization.cs: 276 - URDF Configuration found
