Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-1.219260,-1.215542,1.460882,0.047020,-0.120008,-0.000001
3,-1.210570,-1.205325,1.445655,0.051642,-0.122170,-0.000006
4,-1.202192,-1.195770,1.429495,0.056934,-0.124837,-0.000015
5,-1.194119,-1.186861,1.412441,0.062880,-0.127993,-0.000020
6,-1.186353,-1.178576,1.394541,0.069452,-0.131618,-0.000029
7,-1.178886,-1.170898,1.375824,0.076626,-0.135704,-0.000034
8,-1.171724,-1.163805,1.356348,0.084381,-0.140229,-0.000042
9,-1.164853,-1.157271,1.336148,0.092680,-0.145177,-0.000049
10,-1.158276,-1.151275,1.315261,0.101500,-0.150536,-0.000057
11,-1.151976,-1.145801,1.293738,0.110823,-0.156277,-0.000067
12,-1.145962,-1.140815,1.271601,0.120613,-0.162401,-0.000069
13,-1.140218,-1.136292,1.248911,0.130842,-0.168879,-0.000078
14,-1.134739,-1.132206,1.225706,0.141480,-0.175692,-0.000083
15,-1.129515,-1.128532,1.202032,0.152506,-0.182820,-0.000086
16,-1.124542,-1.125244,1.177924,0.163882,-0.190253,-0.000094
17,-1.119810,-1.122316,1.153432,0.175589,-0.197964,-0.000097
18,-1.115311,-1.119715,1.128594,0.187589,-0.205940,-0.000105
19,-1.111030,-1.117415,1.103462,0.199856,-0.214155,-0.000112
20,-1.106966,-1.115389,1.078073,0.212357,-0.222595,-0.000109
21,-1.103107,-1.113612,1.052464,0.225070,-0.231246,-0.000112
22,-1.099437,-1.112046,1.026694,0.237954,-0.240077,-0.000116
23,-1.095950,-1.110674,1.000805,0.250989,-0.249071,-0.000117
24,-1.092634,-1.109467,0.974829,0.264142,-0.258216,-0.000120
25,-1.089479,-1.108400,0.948822,0.277389,-0.267485,-0.000118
26,-1.086473,-1.107443,0.922825,0.290692,-0.276858,-0.000121
27,-1.083608,-1.106576,0.896871,0.304032,-0.286325,-0.000117
28,-1.080866,-1.105766,0.871014,0.317370,-0.295857,-0.000115
29,-1.078237,-1.104998,0.845296,0.330684,-0.305434,-0.000107
30,-1.075715,-1.104242,0.819744,0.343942,-0.315050,-0.000106
31,-1.073278,-1.103481,0.794414,0.357124,-0.324668,-0.000095
32,-1.070925,-1.102688,0.769329,0.370191,-0.334288,-0.000085
33,-1.068641,-1.101849,0.744536,0.383129,-0.343882,-0.000072
34,-1.066408,-1.100941,0.720072,0.395904,-0.353430,-0.000060
35,-1.064216,-1.099941,0.695971,0.408491,-0.362916,-0.000047
36,-1.062055,-1.098837,0.672262,0.420867,-0.372325,-0.000031
37,-1.059909,-1.097607,0.648994,0.433004,-0.381631,-0.000011
38,-1.057766,-1.096241,0.626177,0.444881,-0.390825,0.000007
39,-1.055619,-1.094719,0.603851,0.456475,-0.399891,0.000023
40,-1.053451,-1.093029,0.582044,0.467765,-0.408806,0.000048
41,-1.051244,-1.091154,0.560778,0.478722,-0.417556,0.000072
42,-1.048994,-1.089083,0.540078,0.489333,-0.426128,0.000092
43,-1.046681,-1.086805,0.519972,0.499571,-0.434500,0.000124
44,-1.044298,-1.084309,0.500475,0.509423,-0.442663,0.000156
45,-1.041829,-1.081582,0.481609,0.518866,-0.450599,0.000181
46,-1.039261,-1.078615,0.463391,0.527883,-0.458291,0.000211
47,-1.036582,-1.075402,0.445826,0.536460,-0.465734,0.000244
48,-1.033778,-1.071929,0.428943,0.544577,-0.472906,0.000274
49,-1.030837,-1.068194,0.412744,0.552225,-0.479797,0.000310
50,-1.027752,-1.064181,0.397240,0.559382,-0.486398,0.000347
51,-1.024496,-1.059889,0.382445,0.566037,-0.492688,0.000387
52,-1.021068,-1.055313,0.368361,0.572186,-0.498661,0.000428
53,-1.017454,-1.050438,0.354998,0.577807,-0.504305,0.000470
54,-1.013636,-1.045259,0.342354,0.582892,-0.509609,0.000511
55,-1.009612,-1.039776,0.330435,0.587435,-0.514566,0.000556
56,-1.005360,-1.033984,0.319237,0.591430,-0.519165,0.000598
57,-1.000872,-1.027875,0.308767,0.594869,-0.523393,0.000640
58,-0.996134,-1.021443,0.299019,0.597743,-0.527245,0.000683
59,-0.991136,-1.014681,0.289992,0.600043,-0.530713,0.000729
60,-0.985870,-1.007590,0.281684,0.601773,-0.533788,0.000780
61,-0.980325,-1.000161,0.274081,0.602926,-0.536471,0.000819
62,-0.974481,-0.992389,0.267188,0.603498,-0.538744,0.000866
63,-0.968339,-0.984273,0.260991,0.603491,-0.540613,0.000916
64,-0.961882,-0.975811,0.255488,0.602906,-0.542064,0.000959
65,-0.955098,-0.966993,0.250672,0.601740,-0.543090,0.001002
66,-0.947988,-0.957826,0.246522,0.600001,-0.543702,0.001045
67,-0.940535,-0.948292,0.243037,0.597682,-0.543887,0.001087
68,-0.932733,-0.938398,0.240204,0.594794,-0.543643,0.001124
69,-0.924572,-0.928141,0.238014,0.591338,-0.542968,0.001170
70,-0.916045,-0.917513,0.236451,0.587322,-0.541861,0.001206
