Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.878847,-0.777788,1.800507,0.083694,-0.182975,-0.000009
3,-0.879840,-0.784232,1.768986,0.091536,-0.185595,-0.000380
4,-0.882394,-0.793173,1.735188,0.100458,-0.188893,-0.000768
5,-0.886422,-0.804473,1.699292,0.110397,-0.192826,-0.001164
6,-0.891880,-0.817982,1.661416,0.121280,-0.197375,-0.001558
7,-0.898689,-0.833535,1.621711,0.133031,-0.202503,-0.001955
8,-0.906792,-0.850989,1.580313,0.145580,-0.208184,-0.002350
9,-0.916119,-0.870171,1.537364,0.158847,-0.214387,-0.002732
10,-0.926591,-0.890924,1.493016,0.172760,-0.221075,-0.003099
11,-0.938135,-0.913082,1.447410,0.187242,-0.228217,-0.003450
12,-0.950668,-0.936471,1.400699,0.202213,-0.235775,-0.003795
13,-0.964126,-0.960953,1.353022,0.217609,-0.243720,-0.004113
14,-0.978431,-0.986346,1.304522,0.233347,-0.252017,-0.004412
15,-0.993496,-1.012490,1.255352,0.249355,-0.260629,-0.004702
16,-1.009243,-1.039229,1.205673,0.265560,-0.269519,-0.004966
17,-1.025602,-1.066403,1.155612,0.281890,-0.278658,-0.005225
18,-1.042488,-1.093866,1.105325,0.298278,-0.288007,-0.005460
19,-1.059822,-1.121445,1.054966,0.314644,-0.297531,-0.005677
20,-1.077537,-1.149006,1.004666,0.330927,-0.307200,-0.005886
21,-1.095535,-1.176420,0.954591,0.347067,-0.316970,-0.006081
22,-1.113752,-1.203528,0.904866,0.362992,-0.326814,-0.006267
23,-1.132122,-1.230218,0.855618,0.378648,-0.336702,-0.006440
24,-1.150555,-1.256343,0.807002,0.393968,-0.346593,-0.006599
25,-1.168975,-1.281801,0.759145,0.408902,-0.356454,-0.006760
26,-1.187311,-1.306473,0.712183,0.423395,-0.366252,-0.006912
27,-1.205503,-1.330243,0.666212,0.437392,-0.375961,-0.007056
28,-1.223465,-1.353028,0.621365,0.450852,-0.385544,-0.007200
29,-1.241135,-1.374721,0.577749,0.463725,-0.394971,-0.007330
30,-1.258440,-1.395230,0.535461,0.475965,-0.404212,-0.007464
31,-1.275319,-1.414489,0.494605,0.487540,-0.413237,-0.007589
32,-1.291706,-1.432416,0.455255,0.498411,-0.422018,-0.007712
33,-1.307541,-1.448945,0.417498,0.508544,-0.430530,-0.007831
34,-1.322759,-1.464023,0.381410,0.517912,-0.438742,-0.007944
35,-1.337304,-1.477594,0.347044,0.526489,-0.446630,-0.008051
36,-1.351112,-1.489614,0.314472,0.534253,-0.454167,-0.008159
37,-1.364131,-1.500032,0.283739,0.541178,-0.461330,-0.008250
38,-1.376305,-1.508827,0.254880,0.547255,-0.468095,-0.008343
39,-1.387600,-1.515970,0.227920,0.552469,-0.474448,-0.008426
