Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.874559,-0.777858,1.803926,0.083684,-0.183660,-0.000009
3,-0.875580,-0.784149,1.772312,0.091494,-0.186271,-0.000388
4,-0.878157,-0.792924,1.738423,0.100383,-0.189558,-0.000789
5,-0.882220,-0.804044,1.702430,0.110289,-0.193486,-0.001198
6,-0.887716,-0.817349,1.664456,0.121134,-0.198030,-0.001624
7,-0.894567,-0.832693,1.624656,0.132846,-0.203156,-0.002048
8,-0.902708,-0.849921,1.583165,0.145355,-0.208835,-0.002471
9,-0.912065,-0.868876,1.540137,0.158585,-0.215030,-0.002885
10,-0.922582,-0.889395,1.495690,0.172462,-0.221720,-0.003298
11,-0.934171,-0.911305,1.449990,0.186904,-0.228864,-0.003700
12,-0.946750,-0.934464,1.403192,0.201847,-0.236423,-0.004089
13,-0.960264,-0.958710,1.355412,0.217215,-0.244374,-0.004463
14,-0.974618,-0.983861,1.306817,0.232924,-0.252678,-0.004826
15,-0.989732,-1.009766,1.257560,0.248906,-0.261295,-0.005171
16,-1.005541,-1.036278,1.207774,0.265093,-0.270197,-0.005505
17,-1.021957,-1.063228,1.157627,0.281406,-0.279345,-0.005824
18,-1.038905,-1.090471,1.107243,0.297781,-0.288707,-0.006133
19,-1.056308,-1.117847,1.056779,0.314142,-0.298248,-0.006426
20,-1.074083,-1.145218,1.006387,0.330426,-0.307930,-0.006707
21,-1.092165,-1.172446,0.956188,0.346569,-0.317727,-0.006974
22,-1.110452,-1.199395,0.906360,0.362509,-0.327591,-0.007237
23,-1.128896,-1.225925,0.857013,0.378178,-0.337501,-0.007486
24,-1.147398,-1.251915,0.808292,0.393521,-0.347415,-0.007729
25,-1.165895,-1.277250,0.760338,0.408483,-0.357301,-0.007957
26,-1.184315,-1.301818,0.713258,0.423010,-0.367130,-0.008185
