Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,10.767283,-25.484314,85.763985,5.683377,0.719440,-0.174609
2,0.014797,0.012179,0.066414,0.000629,-0.009833,0.000016
3,-0.080446,0.142679,0.430044,0.013699,-0.012828,-0.000005
4,0.009036,0.031612,0.273262,0.001556,-0.023494,0.000027
5,0.017850,0.011428,0.052462,0.000313,-0.008324,0.000010
6,0.018803,0.011224,0.048704,0.000235,-0.007930,0.000009
7,0.019688,0.010981,0.045118,0.000164,-0.007554,0.000009
8,0.020506,0.010703,0.041696,0.000102,-0.007194,0.000008
9,0.021262,0.010394,0.038430,0.000046,-0.006851,0.000008
10,0.021959,0.010057,0.035314,-0.000003,-0.006522,0.000007
11,0.022600,0.009695,0.032340,-0.000045,-0.006209,0.000007
12,0.023189,0.009310,0.029501,-0.000083,-0.005910,0.000006
13,0.023727,0.008906,0.026792,-0.000114,-0.005624,0.000006
14,0.024218,0.008485,0.024205,-0.000142,-0.005351,0.000006
15,0.024664,0.008049,0.021734,-0.000164,-0.005091,0.000005
16,0.025068,0.007599,0.019374,-0.000183,-0.004843,0.000005
17,0.025431,0.007138,0.017120,-0.000198,-0.004605,0.000004
18,0.025756,0.006666,0.014965,-0.000209,-0.004379,0.000004
19,0.026046,0.006187,0.012906,-0.000217,-0.004162,0.000004
20,0.026301,0.005700,0.010936,-0.000222,-0.003956,0.000003
21,0.026523,0.005207,0.009053,-0.000225,-0.003758,0.000003
22,0.026714,0.004709,0.007251,-0.000225,-0.003570,0.000003
23,0.026876,0.004207,0.005526,-0.000223,-0.003390,0.000003
24,0.027010,0.003703,0.003876,-0.000218,-0.003218,0.000002
25,0.027118,0.003196,0.002295,-0.000212,-0.003054,0.000002
26,0.027199,0.002687,0.000781,-0.000204,-0.002897,0.000002
27,0.027257,0.002178,-0.000669,-0.000194,-0.002747,0.000002
28,0.027291,0.001668,-0.002059,-0.000183,-0.002604,0.000001
29,0.027304,0.001160,-0.003392,-0.000171,-0.002467,0.000001
30,0.027295,0.000652,-0.004669,-0.000158,-0.002336,0.000001
31,0.027265,0.000145,-0.005894,-0.000143,-0.002211,0.000001
32,0.027217,-0.000359,-0.007070,-0.000128,-0.002091,0.000000
33,0.027150,-0.000861,-0.008198,-0.000111,-0.001977,0.000000
34,0.027064,-0.001360,-0.009280,-0.000094,-0.001867,0.000000
35,0.026962,-0.001856,-0.010319,-0.000076,-0.001763,-0.000000
36,0.026843,-0.002349,-0.011316,-0.000058,-0.001663,-0.000000
37,0.026709,-0.002838,-0.012274,-0.000039,-0.001567,-0.000000
38,0.026559,-0.003322,-0.013194,-0.000019,-0.001476,-0.000001
39,0.026394,-0.003802,-0.014078,0.000001,-0.001388,-0.000001
40,0.026216,-0.004278,-0.014927,0.000021,-0.001305,-0.000001
41,0.026023,-0.004749,-0.015742,0.000041,-0.001225,-0.000001
42,0.025818,-0.005214,-0.016526,0.000062,-0.001148,-0.000001
