Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.863093,-0.777216,1.811694,0.083726,-0.185406,-0.000009
3,-0.864247,-0.783236,1.779789,0.091473,-0.188008,-0.000438
4,-0.866973,-0.791716,1.745607,0.100298,-0.191292,-0.000899
5,-0.871195,-0.802500,1.709317,0.110130,-0.195219,-0.001393
6,-0.876865,-0.815457,1.671036,0.120904,-0.199769,-0.001898
7,-0.883897,-0.830423,1.630936,0.132542,-0.204902,-0.002425
8,-0.892237,-0.847260,1.589138,0.144977,-0.210594,-0.002968
9,-0.901804,-0.865807,1.545798,0.158134,-0.216808,-0.003515
10,-0.912531,-0.885912,1.501055,0.171942,-0.223514,-0.004062
11,-0.924348,-0.907406,1.455046,0.186320,-0.230682,-0.004621
12,-0.937181,-0.930135,1.407912,0.201198,-0.238280,-0.005172
13,-0.950927,-0.953943,1.359844,0.216503,-0.246259,-0.005726
14,-0.965542,-0.978665,1.310935,0.232158,-0.254602,-0.006272
15,-0.980924,-1.004153,1.261367,0.248095,-0.263264,-0.006813
16,-0.996998,-1.030250,1.211285,0.264242,-0.272211,-0.007353
17,-1.013680,-1.056791,1.160841,0.280520,-0.281405,-0.007880
18,-1.030913,-1.083643,1.110155,0.296870,-0.290824,-0.008400
19,-1.048599,-1.110645,1.059401,0.313214,-0.300422,-0.008912
20,-1.066666,-1.137669,1.008712,0.329496,-0.310169,-0.009415
21,-1.085024,-1.164567,0.958255,0.345645,-0.320022,-0.009910
22,-1.103604,-1.191207,0.908147,0.361598,-0.329955,-0.010394
23,-1.122335,-1.217458,0.858534,0.377294,-0.339933,-0.010863
24,-1.141133,-1.243206,0.809556,0.392679,-0.349920,-0.011324
25,-1.159926,-1.268327,0.761339,0.407693,-0.359884,-0.011769
26,-1.178639,-1.292705,0.714006,0.422281,-0.369793,-0.012217
27,-1.197206,-1.316247,0.667684,0.436398,-0.379613,-0.012641
28,-1.215550,-1.338841,0.622481,0.449988,-0.389315,-0.013058
29,-1.233594,-1.360407,0.578522,0.463013,-0.398862,-0.013469
30,-1.251277,-1.380856,0.535897,0.475429,-0.408227,-0.013856
31,-1.268540,-1.400098,0.494691,0.487192,-0.417385,-0.014237
32,-1.285306,-1.418065,0.455010,0.498266,-0.426300,-0.014598
33,-1.301524,-1.434705,0.416922,0.508625,-0.434949,-0.014942
34,-1.317116,-1.449942,0.380516,0.518232,-0.443299,-0.015275
35,-1.332033,-1.463722,0.345840,0.527061,-0.451328,-0.015589
36,-1.346224,-1.476012,0.312946,0.535092,-0.459013,-0.015884
37,-1.359624,-1.486766,0.281895,0.542304,-0.466325,-0.016159
38,-1.372190,-1.495946,0.252718,0.548677,-0.473247,-0.016412
39,-1.383857,-1.503519,0.225462,0.554196,-0.479750,-0.016644
40,-1.394585,-1.509463,0.200147,0.558851,-0.485817,-0.016851
41,-1.404332,-1.513769,0.176778,0.562637,-0.491430,-0.017041
42,-1.413057,-1.516437,0.155374,0.565557,-0.496573,-0.017203
43,-1.420707,-1.517434,0.135951,0.567595,-0.501223,-0.017340
44,-1.427254,-1.516771,0.118492,0.568760,-0.505368,-0.017453
45,-1.432667,-1.514458,0.102991,0.569058,-0.508998,-0.017539
46,-1.436912,-1.510500,0.089432,0.568497,-0.512099,-0.017598
