Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
79,1.300458,0.445637,0.047624,-0.121162,0.347930,0.002634,0.986387
80,1.299052,0.433448,0.074768,-0.118043,0.347323,0.002584,0.987086
81,1.292801,0.421082,0.094429,-0.114842,0.345527,0.002532,0.987747
82,1.281760,0.408570,0.107017,-0.111571,0.342563,0.002479,0.988372
83,1.266091,0.395919,0.113148,-0.108237,0.338471,0.002425,0.988961
84,1.246061,0.383169,0.113437,-0.104853,0.333322,0.002370,0.989516
85,1.221890,0.370334,0.108391,-0.101428,0.327174,0.002313,0.990037
86,1.193894,0.357481,0.098730,-0.097981,0.320100,0.002257,0.990526
87,1.162354,0.344622,0.084911,-0.094520,0.312176,0.002200,0.990985
88,1.127724,0.331803,0.067736,-0.091059,0.303508,0.002143,0.991414
89,1.090348,0.319071,0.047703,-0.087613,0.294181,0.002086,0.991814
90,1.050608,0.306426,0.025309,-0.084187,0.284291,0.002029,0.992188
91,1.008930,0.293939,0.001202,-0.080798,0.273937,0.001972,0.992537
92,0.965758,0.281676,-0.024056,-0.077467,0.263225,0.001917,0.992861
93,0.921464,0.269572,-0.050098,-0.074180,0.252247,0.001861,0.993163
94,0.876464,0.257747,-0.076399,-0.070968,0.241103,0.001807,0.993443
95,0.831102,0.246180,-0.102625,-0.067827,0.229873,0.001754,0.993704
96,0.785799,0.234925,-0.128308,-0.064772,0.218657,0.001702,0.993946
97,0.740965,0.224029,-0.153080,-0.061815,0.207551,0.001651,0.994170
98,0.696844,0.213468,-0.176758,-0.058954,0.196618,0.001602,0.994378
99,0.653727,0.203286,-0.199083,-0.056196,0.185921,0.001554,0.994571
100,0.611954,0.193506,-0.219775,-0.053550,0.175544,0.001507,0.994750
101,0.571757,0.184114,-0.238716,-0.051012,0.165542,0.001462,0.994916
102,0.533357,0.175159,-0.255726,-0.048595,0.155966,0.001419,0.995070
103,0.496961,0.166653,-0.270688,-0.046300,0.146864,0.001378,0.995214
104,0.462657,0.158573,-0.283638,-0.044123,0.138259,0.001338,0.995346
105,0.430661,0.150922,-0.294439,-0.042063,0.130202,0.001300,0.995470
106,0.401001,0.143740,-0.303109,-0.040130,0.122697,0.001264,0.995585
107,0.373745,0.137004,-0.309752,-0.038320,0.115766,0.001230,0.995692
108,0.348946,0.130681,-0.314326,-0.036621,0.109417,0.001197,0.995792
109,0.326650,0.124811,-0.316861,-0.035044,0.103660,0.001166,0.995885
110,0.306772,0.119352,-0.317541,-0.033577,0.098479,0.001137,0.995972
111,0.289275,0.114315,-0.316416,-0.032224,0.093862,0.001110,0.996053
112,0.274147,0.109657,-0.313609,-0.030972,0.089812,0.001084,0.996128
113,0.261236,0.105382,-0.309260,-0.029822,0.086289,0.001059,0.996199
114,0.250567,0.101483,-0.303389,-0.028773,0.083299,0.001036,0.996264
115,0.241835,0.097917,-0.296341,-0.027810,0.080774,0.001015,0.996325
116,0.235040,0.094681,-0.288102,-0.026936,0.078712,0.000995,0.996382
117,0.229988,0.091757,-0.278876,-0.026143,0.077068,0.000976,0.996434
118,0.226559,0.089131,-0.268811,-0.025429,0.075816,0.000958,0.996482
119,0.224620,0.086748,-0.257975,-0.024780,0.074922,0.000942,0.996527
120,0.223974,0.084630,-0.246590,-0.024198,0.074342,0.000926,0.996567
121,0.224423,0.082711,-0.234820,-0.023670,0.074032,0.000912,0.996603
122,0.225891,0.080983,-0.222683,-0.023193,0.073968,0.000898,0.996636
123,0.228180,0.079450,-0.210364,-0.022764,0.074107,0.000885,0.996664
124,0.231081,0.078065,-0.198031,-0.022375,0.074403,0.000872,0.996689
125,0.234528,0.076829,-0.185716,-0.022027,0.074838,0.000861,0.996710
126,0.238271,0.075671,-0.173610,-0.021698,0.075355,0.000849,0.996727
127,0.242314,0.074627,-0.161671,-0.021399,0.075952,0.000838,0.996740
128,0.246382,0.073672,-0.150110,-0.021123,0.076567,0.000828,0.996749
129,0.250401,0.072753,-0.138969,-0.020859,0.077181,0.000818,0.996754
130,0.254303,0.071871,-0.128249,-0.020603,0.077777,0.000808,0.996755
131,0.257993,0.071057,-0.118028,-0.020366,0.078334,0.000799,0.996753
132,0.261292,0.070223,-0.108438,-0.020125,0.078813,0.000789,0.996746
133,0.264226,0.069397,-0.099376,-0.019887,0.079212,0.000780,0.996735
134,0.266654,0.068547,-0.091001,-0.019645,0.079508,0.000770,0.996720
135,0.268598,0.067727,-0.083183,-0.019410,0.079693,0.000761,0.996701
136,0.269872,0.066839,-0.076123,-0.019159,0.079736,0.000752,0.996678
137,0.270567,0.065954,-0.069673,-0.018911,0.079649,0.000743,0.996652
138,0.270720,0.065018,-0.063806,-0.018650,0.079442,0.000733,0.996621
139,0.270203,0.064071,-0.058597,-0.018387,0.079086,0.000724,0.996587
140,0.268991,0.063057,-0.054064,-0.018109,0.078577,0.000715,0.996549
141,0.267143,0.062012,-0.050112,-0.017824,0.077925,0.000705,0.996507
142,0.264622,0.060904,-0.046778,-0.017525,0.077122,0.000696,0.996461
143,0.261512,0.059753,-0.043957,-0.017215,0.076185,0.000686,0.996412
144,0.257847,0.058593,-0.041617,-0.016903,0.075120,0.000676,0.996360
145,0.253694,0.057373,-0.039737,-0.016579,0.073949,0.000666,0.996304
146,0.248952,0.056141,-0.038353,-0.016251,0.072646,0.000657,0.996245
147,0.243776,0.054857,-0.037336,-0.015912,0.071243,0.000647,0.996183
148,0.238169,0.053553,-0.036693,-0.015568,0.069744,0.000637,0.996118
149,0.232203,0.052235,-0.036341,-0.015221,0.068160,0.000627,0.996050
150,0.225858,0.050878,-0.036335,-0.014866,0.066495,0.000617,0.995980
151,0.219355,0.049538,-0.036464,-0.014514,0.064790,0.000607,0.995907
152,0.212544,0.048169,-0.036884,-0.014158,0.063019,0.000598,0.995831
153,0.205576,0.046809,-0.037444,-0.013802,0.061212,0.000588,0.995754
154,0.198546,0.045476,-0.038097,-0.013454,0.059390,0.000578,0.995674
155,0.191434,0.044138,-0.038856,-0.013106,0.057551,0.000569,0.995592
156,0.184321,0.042804,-0.039676,-0.012759,0.055714,0.000559,0.995509
