Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.005733,-0.010672,0.010567,0.002163,0.000976,-0.000080
3,0.008387,-0.006705,0.002078,0.001510,0.002101,0.000022
4,0.006540,-0.005178,0.000655,0.001165,0.001622,0.000014
5,0.004886,-0.004093,0.000031,0.000918,0.001175,0.000011
6,0.003503,-0.003205,-0.000491,0.000725,0.000794,0.000007
7,0.002533,-0.002425,-0.000805,0.000559,0.000534,0.000001
8,0.001822,-0.001752,-0.000979,0.000413,0.000348,-0.000002
9,0.001274,-0.001195,-0.001093,0.000293,0.000205,-0.000004
10,0.000864,-0.000693,-0.001161,0.000181,0.000100,-0.000005
11,0.000531,-0.000244,-0.001243,0.000081,0.000010,-0.000007
12,0.000339,0.000190,-0.001203,-0.000019,-0.000032,-0.000010
13,0.000248,0.000478,-0.001089,-0.000093,-0.000045,-0.000004
14,0.000176,0.000711,-0.000991,-0.000148,-0.000053,-0.000006
15,0.000149,0.000854,-0.000847,-0.000173,-0.000045,-0.000008
16,0.000122,0.000990,-0.000722,-0.000206,-0.000040,-0.000007
17,0.000075,0.001127,-0.000608,-0.000238,-0.000041,-0.000009
18,0.000033,0.001231,-0.000492,-0.000268,-0.000042,-0.000007
19,-0.000011,0.001251,-0.000415,-0.000275,-0.000046,-0.000005
20,-0.000027,0.001286,-0.000305,-0.000284,-0.000039,-0.000007
21,-0.000096,0.001294,-0.000264,-0.000291,-0.000053,-0.000004
22,-0.000099,0.001270,-0.000171,-0.000293,-0.000046,-0.000001
23,-0.000123,0.001228,-0.000088,-0.000289,-0.000044,-0.000000
24,-0.000146,0.001197,-0.000006,-0.000283,-0.000041,-0.000002
25,-0.000154,0.001100,0.000070,-0.000261,-0.000036,0.000001
26,-0.000165,0.001021,0.000161,-0.000239,-0.000028,-0.000002
27,-0.000171,0.000943,0.000257,-0.000230,-0.000022,0.000002
28,-0.000229,0.000867,0.000286,-0.000208,-0.000032,-0.000001
29,-0.000258,0.000806,0.000355,-0.000200,-0.000033,0.000002
30,-0.000333,0.000739,0.000354,-0.000182,-0.000051,-0.000000
31,-0.000398,0.000716,0.000382,-0.000176,-0.000063,-0.000002
32,-0.000444,0.000653,0.000398,-0.000170,-0.000074,0.000004
33,-0.000479,0.000586,0.000406,-0.000151,-0.000080,0.000000
34,-0.000531,0.000594,0.000434,-0.000152,-0.000089,-0.000002
35,-0.000536,0.000555,0.000477,-0.000142,-0.000086,-0.000001
36,-0.000559,0.000444,0.000501,-0.000109,-0.000088,-0.000001
37,-0.000575,0.000384,0.000525,-0.000096,-0.000089,-0.000001
38,-0.000624,0.000314,0.000481,-0.000082,-0.000106,0.000001
39,-0.000680,0.000256,0.000407,-0.000061,-0.000125,-0.000002
40,-0.000708,0.000212,0.000368,-0.000053,-0.000136,-0.000000
41,-0.000708,0.000166,0.000339,-0.000046,-0.000138,0.000001
42,-0.000673,0.000131,0.000350,-0.000036,-0.000128,-0.000000
43,-0.000654,0.000102,0.000366,-0.000033,-0.000122,0.000002
44,-0.000651,0.000077,0.000361,-0.000027,-0.000122,0.000001
45,-0.000651,0.000038,0.000337,-0.000019,-0.000125,0.000002
46,-0.000673,0.000004,0.000304,-0.000009,-0.000133,0.000001
47,-0.000608,0.000006,0.000373,-0.000011,-0.000109,0.000001
48,-0.000630,-0.000020,0.000358,-0.000010,-0.000118,0.000003
49,-0.000633,-0.000070,0.000345,0.000005,-0.000119,0.000002
50,-0.000623,-0.000065,0.000352,0.000004,-0.000115,0.000001
51,-0.000677,-0.000090,0.000268,0.000011,-0.000137,0.000002
52,-0.000688,-0.000109,0.000207,0.000017,-0.000145,0.000002
53,-0.000674,-0.000113,0.000159,0.000018,-0.000146,0.000002
54,-0.000651,-0.000132,0.000127,0.000026,-0.000143,0.000002
55,-0.000602,-0.000115,0.000137,0.000019,-0.000131,0.000002
56,-0.000596,-0.000122,0.000097,0.000021,-0.000133,0.000003
57,-0.000581,-0.000137,0.000068,0.000028,-0.000132,0.000002
58,-0.000555,-0.000101,0.000060,0.000019,-0.000126,0.000001
59,-0.000568,-0.000120,0.000018,0.000023,-0.000135,0.000003
60,-0.000528,-0.000117,0.000003,0.000022,-0.000126,0.000003
61,-0.000476,-0.000110,0.000021,0.000024,-0.000110,0.000001
62,-0.000404,-0.000087,0.000091,0.000013,-0.000087,0.000003
63,-0.000381,-0.000059,0.000118,0.000010,-0.000078,-0.000000
64,-0.000334,-0.000031,0.000171,0.000006,-0.000062,-0.000001
65,-0.000354,-0.000004,0.000164,-0.000002,-0.000069,0.000001
66,-0.000323,0.000029,0.000215,-0.000013,-0.000056,0.000000
67,-0.000356,0.000041,0.000193,-0.000006,-0.000065,-0.000003
68,-0.000343,0.000080,0.000207,-0.000021,-0.000062,0.000000
69,-0.000312,0.000082,0.000253,-0.000021,-0.000049,-0.000001
70,-0.000334,0.000083,0.000237,-0.000019,-0.000057,-0.000001
71,-0.000398,0.000103,0.000152,-0.000019,-0.000081,-0.000003
72,-0.000404,0.000095,0.000105,-0.000024,-0.000088,0.000002
73,-0.000425,0.000095,0.000022,-0.000020,-0.000100,-0.000001
74,-0.000425,0.000090,-0.000036,-0.000012,-0.000104,-0.000002
75,-0.000399,0.000112,-0.000057,-0.000019,-0.000100,-0.000001
76,-0.000327,0.000144,-0.000037,-0.000029,-0.000081,-0.000001
77,-0.000319,0.000132,-0.000061,-0.000024,-0.000082,-0.000001
78,-0.000293,0.000132,-0.000077,-0.000021,-0.000076,-0.000002
79,-0.000242,0.000150,-0.000065,-0.000032,-0.000064,0.000001
80,-0.000247,0.000149,-0.000096,-0.000029,-0.000068,-0.000001
81,-0.000199,0.000148,-0.000072,-0.000029,-0.000053,-0.000000
82,-0.000230,0.000143,-0.000134,-0.000029,-0.000069,0.000001
83,-0.000173,0.000131,-0.000113,-0.000022,-0.000051,-0.000001
84,-0.000194,0.000139,-0.000142,-0.000026,-0.000060,0.000000
85,-0.000181,0.000144,-0.000171,-0.000025,-0.000059,-0.000001
86,-0.000169,0.000141,-0.000176,-0.000025,-0.000057,0.000001
87,-0.000118,0.000136,-0.000147,-0.000025,-0.000041,0.000000
88,-0.000097,0.000152,-0.000131,-0.000029,-0.000035,-0.000001
89,-0.000048,0.000160,-0.000101,-0.000032,-0.000020,0.000000
90,0.000011,0.000159,-0.000029,-0.000038,0.000000,0.000002
91,0.000039,0.000159,0.000019,-0.000038,0.000011,0.000001
92,0.000027,0.000157,0.000039,-0.000036,0.000010,0.000001
93,0.000037,0.000130,0.000057,-0.000032,0.000014,0.000003
94,0.000020,0.000142,0.000059,-0.000032,0.000011,-0.000001
95,0.000027,0.000139,0.000089,-0.000037,0.000014,0.000003
96,0.000002,0.000121,0.000088,-0.000031,0.000008,0.000001
97,-0.000049,0.000112,0.000059,-0.000026,-0.000007,0.000001
98,-0.000035,0.000105,0.000070,-0.000027,-0.000002,0.000002
99,-0.000085,0.000086,0.000041,-0.000020,-0.000017,0.000001
100,-0.000119,0.000092,-0.000006,-0.000020,-0.000029,0.000001
101,-0.000067,0.000084,0.000039,-0.000022,-0.000012,0.000002
102,-0.000088,0.000086,0.000037,-0.000023,-0.000018,0.000001
103,-0.000068,0.000073,0.000066,-0.000018,-0.000010,0.000001
104,-0.000128,0.000063,0.000004,-0.000015,-0.000031,0.000001
105,-0.000097,0.000068,0.000029,-0.000015,-0.000020,0.000000
106,-0.000062,0.000065,0.000071,-0.000021,-0.000008,0.000003
107,-0.000031,0.000060,0.000116,-0.000022,0.000003,0.000003
108,-0.000081,0.000037,0.000074,-0.000012,-0.000013,0.000002
109,-0.000084,-0.000015,0.000061,0.000004,-0.000014,0.000002
110,-0.000078,-0.000096,0.000050,0.000030,-0.000012,0.000001
111,-0.000104,-0.000064,0.000026,0.000015,-0.000022,0.000003
112,-0.000057,-0.000026,0.000075,0.000001,-0.000006,0.000002
113,-0.000024,-0.000018,0.000122,-0.000005,0.000006,0.000003
114,-0.000027,-0.000029,0.000156,-0.000003,0.000008,0.000004
115,-0.000133,-0.000026,0.000059,0.000007,-0.000026,-0.000002
116,-0.000132,0.000015,0.000080,0.000001,-0.000022,-0.000003
117,-0.000122,0.000047,0.000095,-0.000015,-0.000020,0.000002
118,-0.000121,0.000047,0.000107,-0.000009,-0.000017,-0.000002
119,-0.000145,0.000070,0.000082,-0.000014,-0.000026,-0.000001
120,-0.000160,0.000053,0.000064,-0.000014,-0.000033,0.000003
121,-0.000101,0.000104,0.000129,-0.000024,-0.000010,-0.000002
122,-0.000086,0.000126,0.000172,-0.000029,-0.000003,-0.000002
123,-0.000134,0.000104,0.000131,-0.000026,-0.000021,0.000002
124,-0.000124,0.000127,0.000128,-0.000030,-0.000017,-0.000001
125,-0.000138,0.000077,0.000122,-0.000007,-0.000019,-0.000004
126,-0.000145,0.000086,0.000103,-0.000018,-0.000025,0.000002
127,-0.000127,0.000115,0.000128,-0.000028,-0.000018,-0.000000
128,-0.000097,0.000138,0.000170,-0.000032,-0.000006,-0.000002
129,-0.000121,0.000132,0.000166,-0.000030,-0.000013,-0.000001
130,-0.000183,0.000120,0.000090,-0.000025,-0.000036,-0.000001
131,-0.000197,0.000116,0.000060,-0.000024,-0.000041,-0.000000
132,-0.000171,0.000133,0.000074,-0.000027,-0.000033,-0.000002
133,-0.000125,0.000140,0.000120,-0.000033,-0.000018,-0.000000
134,-0.000128,0.000110,0.000107,-0.000022,-0.000020,-0.000001
135,-0.000076,0.000125,0.000167,-0.000029,-0.000001,-0.000000
136,-0.000085,0.000137,0.000177,-0.000031,-0.000003,-0.000001
137,-0.000171,0.000115,0.000055,-0.000026,-0.000037,0.000001
138,-0.000183,0.000022,-0.000046,0.000009,-0.000047,-0.000002
139,-0.000190,0.000043,-0.000105,-0.000001,-0.000055,-0.000000
140,-0.000140,0.000065,-0.000113,-0.000009,-0.000043,-0.000000
141,-0.000122,0.000064,-0.000136,-0.000008,-0.000041,-0.000000
142,-0.000136,0.000073,-0.000197,-0.000010,-0.000051,0.000000
143,-0.000117,0.000077,-0.000231,-0.000011,-0.000050,0.000000
144,-0.000065,0.000078,-0.000214,-0.000011,-0.000035,0.000000
145,-0.000078,0.000065,-0.000265,-0.000006,-0.000043,0.000000
146,-0.000022,0.000053,-0.000261,-0.000002,-0.000029,0.000001
147,-0.000015,0.000070,-0.000282,-0.000008,-0.000030,0.000000
148,-0.000015,0.000044,-0.000333,0.000003,-0.000034,0.000000
149,0.000014,0.000081,-0.000310,-0.000011,-0.000026,0.000000
150,0.000091,0.000084,-0.000221,-0.000014,0.000002,0.000001
151,0.000131,0.000017,-0.000173,0.000012,0.000018,-0.000001
