Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
0,-4.020602,0.037724,14.629760,-0.122803,-0.916079,-0.009866
1,-8.387296,-0.623799,6.975926,0.166143,-2.538728,-0.014943
2,-10.735549,-1.074891,0.622351,0.400637,-3.479386,-0.032102
3,-10.347456,-1.436883,-2.596571,0.561062,-3.439881,-0.033205
4,-7.892133,-1.587382,-2.492163,0.597437,-2.638475,-0.024824
5,-4.770566,-1.361459,-0.825723,0.476073,-1.591505,-0.006439
6,-2.105789,-0.843126,0.646475,0.265770,-0.706404,0.010276
7,-0.099609,-0.325709,1.399571,0.084176,-0.051662,0.016610
8,1.403221,0.037549,1.511694,-0.026815,0.428944,0.014965
9,2.571641,0.265994,1.202475,-0.089920,0.795248,0.011993
10,3.547673,0.410877,0.685623,-0.128698,1.098405,0.010352
11,4.408358,0.497924,0.070700,-0.153119,1.365973,0.009816
12,5.158133,0.496729,-0.590276,-0.148654,1.598567,0.008174
13,5.905447,0.559202,-1.291323,-0.167181,1.831305,0.007181
14,6.569508,0.643754,-1.957606,-0.192891,2.039580,0.006895
15,6.942798,0.725756,-2.464202,-0.217940,2.156774,0.007756
16,7.057795,0.803645,-2.801288,-0.244713,2.193664,0.011079
17,6.937930,0.856056,-2.969869,-0.260237,2.157933,0.009581
18,6.603296,0.942693,-2.976508,-0.287022,2.054754,0.001217
19,6.105477,1.037861,-2.834478,-0.309587,1.903039,-0.050252
20,5.464521,1.115132,-2.578215,-0.327632,1.705162,-0.092155
21,4.719779,1.157893,-2.238680,-0.334743,1.473808,-0.121361
22,3.953870,1.200090,-1.821276,-0.355232,1.236227,-0.111894
23,3.132052,1.222133,-1.389172,-0.349040,0.984256,-0.185137
24,2.326817,1.137168,-0.963725,-0.334971,0.730204,-0.109415
25,1.521512,1.114479,-0.571865,-0.313102,0.483282,-0.197934
26,0.803150,0.954499,-0.227614,-0.285053,0.254220,-0.078979
27,0.123183,0.825420,0.042854,-0.253226,0.039458,-0.050615
28,-0.443332,0.646173,0.251163,-0.195345,-0.135371,-0.038304
29,-0.940391,0.466533,0.377042,-0.146649,-0.292710,-0.006785
30,-1.346332,0.320036,0.438272,-0.102183,-0.419961,-0.002255
31,-1.613067,0.137721,0.468477,-0.043628,-0.501193,-0.015046
32,-1.802852,-0.085148,0.433797,0.019475,-0.563398,0.024469
33,-1.903490,-0.261404,0.351724,0.075130,-0.594001,0.018693
34,-1.952190,-0.439210,0.217523,0.128320,-0.611305,0.033420
35,-1.943261,-0.586598,0.050042,0.176668,-0.608865,0.025207
36,-1.892505,-0.621900,-0.137038,0.191472,-0.593778,0.013216
37,-1.782785,-0.686116,-0.317347,0.210257,-0.559056,0.006781
38,-1.677073,-0.794160,-0.498570,0.246558,-0.527698,0.001194
39,-1.542570,-0.865771,-0.660798,0.269178,-0.486161,0.000768
40,-1.473341,-0.914112,-0.777950,0.285305,-0.463354,-0.000121
41,-1.391035,-0.934802,-0.892997,0.292297,-0.438603,-0.000348
42,-1.269358,-0.910360,-0.990317,0.283185,-0.400242,0.000616
43,-1.144587,-0.878963,-1.075458,0.272624,-0.362296,0.003757
44,-0.997191,-0.832347,-1.131532,0.258540,-0.315276,0.003807
45,-0.881155,-0.755452,-1.171851,0.235619,-0.280116,0.003516
46,-0.750898,-0.641893,-1.176832,0.200096,-0.238040,0.003113
47,-0.652216,-0.519097,-1.164528,0.162693,-0.207359,0.002474
48,-0.553078,-0.382143,-1.129478,0.120114,-0.174875,0.001706
49,-0.491520,-0.239804,-1.089047,0.074620,-0.156190,0.001272
50,-0.444106,-0.114978,-1.040593,0.036194,-0.141456,0.000404
51,-0.412521,-0.004165,-0.991228,0.002429,-0.131363,-0.000272
52,-0.387274,0.096391,-0.937170,-0.029326,-0.122622,-0.000853
53,-0.381054,0.177157,-0.885623,-0.054860,-0.120416,-0.001270
54,-0.375294,0.241249,-0.826439,-0.075629,-0.117715,-0.001609
55,-0.369325,0.283893,-0.754728,-0.089645,-0.115287,-0.001787
56,-0.349360,0.306016,-0.664999,-0.096703,-0.107899,-0.002049
57,-0.195733,0.313656,-0.175639,-0.098483,-0.052431,-0.004144
58,-0.165465,0.320520,-0.083915,-0.103465,-0.042721,-0.002139
59,-0.113044,0.299683,0.004352,-0.096920,-0.025506,-0.002129
60,-0.053259,0.266977,0.079752,-0.086079,-0.006329,-0.002176
61,-0.044021,0.242598,0.389307,-0.097072,-0.009611,0.000359
62,-0.045825,0.277893,0.550757,-0.109083,-0.017130,-0.003741
63,0.030622,0.274929,0.600007,-0.107670,0.016859,-0.001114
64,0.109250,0.282946,0.534569,-0.093851,0.049043,0.000697
65,0.118534,0.254489,0.677631,-0.108126,0.049462,0.000073
66,0.103505,0.320610,0.725699,-0.136889,0.059906,0.003842
67,0.159248,0.259525,0.572064,-0.086365,0.061150,-0.000407
68,0.174595,0.271578,0.566309,-0.090349,0.065764,-0.000112
69,0.203789,0.272801,0.536290,-0.093333,0.075031,0.001152
70,0.249103,0.236221,0.435667,-0.080778,0.091811,0.001208
71,0.278023,0.208682,0.376126,-0.071377,0.100877,0.000038
72,0.259046,0.144510,0.368676,-0.047322,0.089201,-0.000429
73,0.250494,0.151116,0.267476,-0.052240,0.085819,0.001527
74,0.234626,0.111125,0.115286,-0.035998,0.081596,-0.001924
75,0.189878,0.110194,0.026626,-0.037385,0.063449,-0.000352
76,0.138620,0.074918,-0.061265,-0.022976,0.044753,-0.000031
77,0.105877,0.143130,-0.098463,-0.050273,0.034781,0.002689
78,0.073428,0.073192,-0.129940,-0.022223,0.023229,-0.000686
79,-0.087157,-0.000653,-0.068341,-0.020641,0.026407,-0.000031
80,0.039700,0.045086,-0.126793,-0.013962,0.012866,-0.000259
81,0.023589,0.068014,-0.098236,-0.040696,0.015614,-0.001372
82,0.014676,0.041760,-0.070451,-0.012826,0.005478,-0.000157
83,0.011425,0.033009,-0.047562,-0.010397,0.004504,-0.000423
84,0.009979,0.020764,-0.034670,-0.006410,0.004085,-0.000312
85,0.010110,0.014544,-0.027026,-0.004590,0.004103,-0.000232
86,0.009211,0.012193,-0.024608,-0.004236,0.003563,0.000877
87,0.009125,0.010618,-0.024322,-0.003351,0.003534,0.000655
88,0.010357,0.033405,-0.001231,-0.011457,0.004211,0.000794
89,-0.021600,0.052759,0.014175,-0.013648,-0.006034,0.019782
90,0.000413,0.049577,0.067420,-0.012779,0.001235,-0.001806
91,0.018797,0.044561,0.060950,-0.015101,0.007317,0.001215
92,0.024164,0.037981,0.061009,-0.012966,0.009051,0.000338
93,0.025083,0.031298,0.058383,-0.010794,0.009204,-0.000445
94,0.018004,0.039278,0.062527,-0.013734,0.006857,-0.000745
95,0.027585,0.035980,0.126859,-0.014931,0.007273,0.001248
96,0.035505,0.031049,0.133672,-0.013882,0.011418,-0.000963
97,0.016239,0.032308,0.134111,-0.012114,0.021602,0.001248
98,0.046349,0.033211,0.146048,-0.011466,0.016641,-0.001094
99,0.055119,0.031067,0.137453,-0.011846,0.019355,0.003227
100,0.042092,0.043150,0.175297,0.003943,0.021279,0.010023
101,0.060738,0.034725,0.138145,-0.007557,0.021749,-0.002882
102,0.073046,0.032158,0.110681,-0.009999,0.036786,-0.000238
103,0.088893,0.027760,0.106474,-0.009549,0.031134,0.000063
104,0.079617,0.024041,0.099713,-0.008353,0.026752,-0.000681
105,0.104739,0.023349,0.093469,-0.007934,0.036734,-0.002005
106,0.086835,0.017253,0.094589,-0.006971,0.028393,0.003083
107,0.139746,0.017920,0.051733,-0.008527,0.066714,0.000046
108,0.045601,0.023922,0.108523,-0.008449,0.036648,-0.001817
109,0.075302,0.018393,0.108405,-0.009895,0.024517,0.000148
110,0.066758,0.007238,0.158906,-0.005598,0.021972,0.001332
111,0.072344,0.016843,0.147900,-0.005553,0.024447,0.001850
112,0.068917,0.020464,0.148416,-0.008139,0.023778,-0.001108
113,0.069780,0.004742,0.140475,-0.002291,0.031644,0.000315
114,0.055523,0.018233,0.137131,-0.006399,0.037646,0.000540
115,0.023530,0.027363,0.280032,-0.002912,0.021473,0.002110
116,0.071213,0.016436,0.136446,-0.005455,0.024265,0.000826
117,0.083030,0.007843,0.134769,-0.007606,0.026522,-0.000873
118,0.056711,0.017564,0.125131,-0.005697,0.038221,0.001964
119,0.043104,0.015300,0.178210,-0.004342,0.011659,-0.002537
120,0.072147,0.016621,0.127537,-0.004399,0.023397,-0.001288
121,0.050390,0.007134,0.167290,0.010625,0.014980,-0.014539
122,0.075222,0.017654,0.104710,-0.005634,0.024765,0.000829
123,0.091992,0.028010,0.078645,-0.010178,0.032210,0.000182
124,0.073240,0.017171,0.101684,-0.002434,0.023895,-0.003228
125,0.082497,0.026339,0.073462,-0.011434,0.035338,0.000994
126,0.073258,0.102111,0.105007,-0.039025,0.023324,0.013558
127,-0.007628,-0.004444,0.113345,-0.009772,0.039015,0.001388
128,0.076294,0.023463,0.072525,-0.006741,0.025362,0.001767
129,0.078015,0.021898,0.071720,-0.006984,0.025532,0.003164
130,0.041916,-0.000191,0.076065,-0.020404,0.033114,-0.003206
131,0.070551,0.025103,0.067474,-0.007714,0.023043,-0.001556
132,0.066757,0.024478,0.054947,-0.009746,0.030364,0.002753
133,0.068856,0.019259,0.061769,-0.007320,0.026058,0.001778
134,0.066526,0.020055,0.060045,-0.007679,0.025938,0.000189
