Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
0,-2.361153,-0.047708,6.483130,-0.030737,-0.597027,-0.000019,0.402736,0.001051,0.739120,82.1816,140.0000,60.0000,123.8577,103.0820,124.2409,26.8275,28.0000,20.9385,24.4124,28.0000,26.1086
1,-2.744300,-0.417597,-0.954686,0.141764,-0.905793,0.002356,0.404702,0.000720,0.737060,52.5103,172.0000,28.0000,133.1697,84.7254,127.9257,30.9999,34.4000,20.2079,27.6698,34.4000,28.7835
2,-0.726486,-0.419493,-3.014059,0.153478,-0.304952,0.009130,0.406431,0.000451,0.735694,22.0082,175.6426,5.0000,116.1310,47.7803,100.1256,27.4016,36.2054,15.5393,31.1028,39.5200,28.1277
3,0.083646,-0.233255,-0.838561,0.079057,0.006901,0.003375,0.407821,0.000210,0.734862,5.0000,155.0744,5.0000,77.4931,28.3558,60.1005,17.9213,32.2808,8.4314,36.4641,43.6160,26.8688
4,0.152400,-0.099510,-0.305941,0.033911,0.041304,0.001604,0.409082,-0.000057,0.734182,5.0000,129.7744,5.0000,41.9945,29.6266,28.0804,10.3370,25.7560,2.7451,41.1713,46.8928,26.7727
5,0.066989,-0.018244,-0.202146,0.007699,0.016298,0.000246,0.410267,-0.000347,0.733570,5.0000,108.0122,5.0000,13.5956,40.6708,5.0000,4.2696,19.2162,1.0000,44.9370,49.5142,27.6124
6,0.056297,0.014574,-0.161110,-0.003908,0.014243,0.000179,0.411389,-0.000640,0.733019,5.0000,92.7381,5.0000,5.0000,53.9780,5.0000,1.0000,14.1148,1.0000,47.9496,51.6114,29.0020
7,0.073235,0.017385,-0.118737,-0.003810,0.020815,-0.000300,0.412455,-0.000924,0.732524,5.0000,84.7194,5.0000,5.0000,66.2112,5.0000,1.0000,11.1748,1.0000,50.3597,53.2891,30.5829
8,0.089611,0.031162,-0.069087,-0.008083,0.026964,-0.000429,0.413476,-0.001195,0.732077,5.0000,83.5379,5.0000,5.0000,76.0347,5.0000,1.0000,10.4988,1.0000,52.2878,54.6313,31.9795
9,0.116019,0.059016,-0.008821,-0.018661,0.036900,-0.000361,0.414462,-0.001453,0.731660,5.0000,87.6001,5.0000,5.0000,82.9953,5.0000,1.0000,11.6200,1.0000,53.8302,55.7050,32.8070
10,0.124150,0.078490,0.027382,-0.025116,0.040061,-0.000404,0.415424,-0.001693,0.731262,5.0000,94.7974,5.0000,5.0000,87.3205,5.0000,1.0000,13.7546,1.0000,55.0642,56.5640,32.8364
11,0.134848,0.074350,0.048008,-0.022993,0.044231,-0.000742,0.416369,-0.001906,0.730870,5.0000,103.1055,5.0000,14.7142,89.6027,5.0000,1.0000,16.1343,1.0000,55.3786,57.2512,32.1053
12,0.136806,0.054411,0.050147,-0.017521,0.044640,0.001735,0.417302,-0.002090,0.730482,5.0000,110.9749,5.0000,29.3939,90.6373,5.0000,1.0000,18.2211,1.0000,54.5088,57.8010,30.8616
13,0.136990,0.040568,0.047108,-0.013719,0.044533,0.003322,0.418222,-0.002249,0.730093,5.0000,117.5119,5.0000,42.2954,91.1410,5.0000,1.0000,19.7397,1.0000,52.8460,58.2408,29.4309
14,0.127218,0.023740,0.035248,-0.007459,0.041006,0.001978,0.419130,-0.002391,0.729704,5.0000,122.3476,5.0000,52.8865,91.5777,16.0639,1.0000,20.6309,1.0000,50.7355,58.5926,28.1005
15,0.129844,0.016352,0.039511,-0.006178,0.042101,0.004877,0.420024,-0.002519,0.729317,5.0000,125.5758,5.0000,61.5075,92.1807,33.0236,1.0000,20.9859,1.0000,48.4505,58.8741,27.0564
16,0.119129,0.011744,0.031318,-0.005680,0.038215,0.005382,0.420905,-0.002639,0.728929,5.0000,127.4192,5.0000,68.8962,93.0283,50.6139,1.0000,20.9984,1.0000,46.1519,58.9519,26.3810
17,0.119893,-0.000513,0.031879,-0.000303,0.039136,0.002262,0.421771,-0.002755,0.728544,5.0000,128.1955,5.0000,75.8370,94.1172,69.0386,1.0000,20.8703,1.0000,43.9342,57.6892,26.0500
18,0.111171,0.002455,0.029350,-0.001851,0.036109,0.001016,0.422623,-0.002869,0.728162,5.0000,128.3870,5.0000,82.9530,95.3446,88.1925,1.0000,20.7745,1.0000,41.8906,55.4674,25.9747
19,0.107782,0.001702,0.028888,-0.001059,0.035319,-0.001301,0.423459,-0.002981,0.727786,5.0000,128.4070,5.0000,90.6634,96.6099,107.6307,1.0000,20.8144,1.0000,40.0994,52.6841,26.0316
20,0.104951,0.002398,0.028850,-0.000415,0.034723,-0.002401,0.424281,-0.003092,0.727414,5.0000,128.3490,5.0000,99.0081,97.9489,126.7541,1.0000,21.0136,1.4268,38.5988,49.6604,26.1157
21,0.101230,0.013595,0.031101,-0.005178,0.033286,0.000027,0.425089,-0.003203,0.727048,5.0000,128.0484,5.0000,107.7071,99.4606,144.9744,1.0000,21.3293,2.9352,37.3752,46.6244,26.1512
22,0.089012,0.024685,0.024050,-0.008022,0.029069,-0.002797,0.425883,-0.003312,0.726687,5.0000,127.2271,5.0000,116.3330,101.2758,161.7267,1.0000,21.6673,4.3226,36.3784,43.7285,26.0917
23,0.084179,0.040794,0.026751,-0.013275,0.027661,-0.004012,0.426666,-0.003421,0.726330,5.0000,125.7185,5.0000,124.4987,103.4615,176.6118,1.0000,21.9405,5.5595,35.5295,41.0622,25.9379
24,0.088508,0.050362,0.038158,-0.016750,0.029636,-0.001755,0.427437,-0.003528,0.725976,5.0000,123.4982,5.0000,131.9532,106.1064,189.4930,1.0000,22.1051,6.6376,34.7432,38.6589,25.7284
25,0.084883,0.063132,0.043108,-0.021067,0.028676,-0.002254,0.428198,-0.003634,0.725626,5.0000,120.6996,5.0000,138.5996,109.3498,200.5208,1.0000,22.1776,7.5685,33.9516,36.5102,25.5187
26,0.070525,0.068018,0.036339,-0.022015,0.023592,-0.002538,0.428949,-0.003737,0.725279,5.0000,117.5191,5.0000,144.4887,113.3010,209.9714,1.0000,22.2049,8.3775,33.1170,34.5972,25.3590
27,0.067275,0.072557,0.039214,-0.024169,0.022581,-0.000792,0.429692,-0.003837,0.724933,5.0000,114.1734,5.0000,149.7215,117.9945,218.0901,1.0000,22.2428,9.0926,32.2364,32.9007,25.2762
28,0.065017,0.076315,0.042491,-0.024949,0.022101,-0.002679,0.430428,-0.003933,0.724590,5.0000,110.8627,5.0000,154.4347,123.4225,225.0445,1.0000,22.3237,9.7315,31.3264,31.4007,25.2691
29,0.064571,0.070434,0.044944,-0.022905,0.022065,-0.000092,0.431158,-0.004025,0.724247,5.0000,107.6973,5.0000,158.7279,129.5297,230.9204,1.0000,22.4522,10.3045,30.4160,30.0826,25.3086
30,0.058796,0.072049,0.044137,-0.023470,0.020061,-0.001677,0.431882,-0.004113,0.723906,5.0000,104.7707,5.0000,162.6097,136.2184,235.7543,1.0000,22.6151,10.8134,29.5289,28.9221,25.3670
31,0.062763,0.066369,0.050914,-0.021931,0.021568,-0.000458,0.432601,-0.004195,0.723565,5.0000,102.0973,5.0000,166.0913,143.3795,239.6012,1.0000,22.7826,11.2526,28.6861,27.8957,25.4183
32,0.057120,0.060590,0.047782,-0.019951,0.019490,-0.000482,0.433317,-0.004274,0.723223,5.0000,99.6921,5.0000,169.1555,150.9063,242.5611,1.0000,22.9290,11.6145,27.8979,26.9727,25.4588
33,0.062489,0.052733,0.055868,-0.018066,0.021429,0.003047,0.434031,-0.004348,0.722878,5.0000,97.5671,5.0000,171.8174,158.7037,244.7921,1.0000,23.0399,11.8945,27.1691,26.1271,25.4997
34,0.061815,0.048960,0.057243,-0.016764,0.021262,0.001778,0.434744,-0.004418,0.722530,5.0000,95.7461,5.0000,174.1060,166.6898,246.4738,1.0000,23.1130,12.0916,26.4954,25.3316,25.5611
35,0.060375,0.042002,0.055887,-0.013800,0.020915,-0.000941,0.435456,-0.004484,0.722177,5.0000,94.2196,5.0000,176.0970,174.8012,247.7882,1.0000,23.1527,12.2108,25.8744,24.5732,25.6528
36,0.059152,0.034298,0.054572,-0.010892,0.020561,-0.001239,0.436168,-0.004546,0.721820,5.0000,92.9713,5.0000,177.8634,182.9773,248.8809,1.0000,23.1680,12.2612,25.3040,23.8476,25.7744
37,0.056560,0.030658,0.052008,-0.010461,0.019521,0.001251,0.436880,-0.004605,0.721457,5.0000,91.9916,5.0000,179.4559,191.1540,249.8452,1.0000,23.1655,12.2497,24.7784,23.1507,25.9196
38,0.054814,0.023997,0.048900,-0.008235,0.018903,0.001958,0.437592,-0.004661,0.721088,5.0000,91.2685,5.0000,180.9104,199.2776,250.7414,1.0000,23.1471,12.1806,24.2870,22.4718,26.0788
39,0.049905,0.020145,0.042751,-0.006656,0.017174,0.000439,0.438305,-0.004714,0.720715,5.0000,90.7870,5.0000,182.2310,207.3017,251.6038,1.0000,23.1144,12.0589,23.8216,21.8051,26.2445
40,0.045798,0.017330,0.036674,-0.005712,0.015691,0.001172,0.439018,-0.004765,0.720337,5.0000,90.5108,5.0000,183.4311,215.1863,252.4597,1.0000,23.0678,11.8895,23.3782,21.1505,26.4094
41,0.044137,0.017332,0.033981,-0.006164,0.015086,0.001407,0.439731,-0.004812,0.719955,5.0000,90.4073,5.0000,184.5220,222.8954,253.3324,1.0000,23.0075,11.6758,22.9534,20.5050,26.5707
42,0.033687,0.016588,0.022200,-0.005113,0.011324,-0.000790,0.440443,-0.004858,0.719569,5.0000,90.4562,5.0000,185.5318,230.4115,254.2478,1.0000,22.9326,11.4214,22.5454,19.8667,26.7288
43,0.031854,0.012274,0.018681,-0.003899,0.010579,0.000579,0.441153,-0.004900,0.719181,5.0000,90.6296,5.0000,186.4817,237.7134,255.2344,1.0000,22.8458,11.1329,22.1559,19.2386,26.8840
44,0.030017,0.014016,0.016278,-0.005220,0.009785,0.003000,0.441863,-0.004939,0.718791,5.0000,90.9336,5.0000,187.3693,244.7812,256.2971,1.0000,22.7491,10.8146,21.7832,18.6187,27.0416
45,0.029923,0.017890,0.015993,-0.005866,0.009993,-0.000563,0.442571,-0.004976,0.718398,5.0000,91.3550,5.0000,188.1952,251.5981,257.4347,1.0000,22.6433,10.4707,21.4237,18.0024,27.2024
46,0.028642,0.016301,0.013722,-0.004702,0.009669,-0.002402,0.443277,-0.005010,0.718005,5.0000,91.8597,5.0000,188.9882,258.1667,258.6534,1.0000,22.5286,10.1090,21.0803,17.3967,27.3607
47,0.026117,0.012632,0.009833,-0.004360,0.008458,0.003242,0.443982,-0.005041,0.717610,5.0000,92.4415,5.0000,189.7592,264.4865,259.9474,1.0000,22.4078,9.7363,20.7549,16.8085,27.5151
48,0.026782,0.013104,0.010329,-0.003588,0.008931,-0.001074,0.444685,-0.005069,0.717215,5.0000,93.1111,5.0000,190.4702,270.5339,261.2886,1.0000,22.2840,9.3542,20.4411,16.2287,27.6692
49,0.027568,0.015947,0.011756,-0.005759,0.009012,0.002555,0.445385,-0.005094,0.716818,5.0000,93.8421,5.0000,191.1230,276.3034,262.6565,1.0000,22.1566,8.9672,20.1408,15.6650,27.8195
