Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,1.891649,-1.208456,-20.664972,0.595066,-1.227067,0.016835,0.741290
2,3.924530,-1.061301,-14.995250,0.552145,-0.405144,0.007166,0.743273
3,4.814338,-0.367449,-11.817907,0.356196,0.098020,0.001926,0.746125
4,4.749061,0.146181,-9.434882,0.197878,0.299832,0.000181,0.749644
5,4.232090,0.461493,-7.519400,0.089330,0.348626,-0.000377,0.753672
6,3.529897,0.620512,-5.905063,0.020397,0.323362,-0.000432,0.758081
7,2.779062,0.666826,-4.503182,-0.019801,0.265272,-0.000279,0.762759
8,2.047579,0.636163,-3.265675,-0.039901,0.195610,-0.000067,0.767615
9,1.367307,0.555767,-2.165523,-0.046327,0.124996,0.000127,0.772568
10,0.751920,0.445838,-1.187057,-0.043744,0.058584,0.000272,0.777551
11,0.205626,0.320938,-0.320370,-0.035494,-0.001377,0.000362,0.782509
12,-0.272040,0.191334,0.441688,-0.023929,-0.054104,0.000400,0.787394
13,-0.683447,0.064224,1.104757,-0.010726,-0.099483,0.000396,0.792170
14,-1.032142,-0.055589,1.674095,0.002969,-0.137779,0.000360,0.796806
15,-1.321877,-0.164881,2.154768,0.016337,-0.169363,0.000303,0.801280
16,-1.556695,-0.261825,2.552062,0.028859,-0.194695,0.000233,0.805577
17,-1.740586,-0.345363,2.871393,0.040169,-0.214220,0.000156,0.809685
18,-1.877473,-0.415116,3.118279,0.050045,-0.228379,0.000077,0.813599
19,-1.971412,-0.471231,3.298508,0.058372,-0.237624,0.000000,0.817316
20,-2.026438,-0.514130,3.417918,0.065091,-0.242403,-0.000074,0.820836
21,-2.046416,-0.544581,3.482198,0.070223,-0.243137,-0.000143,0.824165
22,-2.035471,-0.563385,3.497264,0.073796,-0.240293,-0.000207,0.827308
23,-1.997534,-0.571628,3.468847,0.075904,-0.234308,-0.000267,0.830271
24,-1.936405,-0.570373,3.402359,0.076648,-0.225615,-0.000321,0.833063
25,-1.855838,-0.560735,3.303137,0.076147,-0.214651,-0.000372,0.835694
26,-1.759461,-0.543808,3.176256,0.074523,-0.201845,-0.000418,0.838173
27,-1.650639,-0.520713,3.026471,0.071916,-0.187596,-0.000461,0.840510
28,-1.532628,-0.492509,2.858294,0.068468,-0.172306,-0.000501,0.842716
29,-1.408314,-0.460238,2.675853,0.064318,-0.156325,-0.000539,0.844800
30,-1.280409,-0.424833,2.482995,0.059599,-0.139994,-0.000573,0.846772
31,-1.151280,-0.387142,2.283185,0.054434,-0.123608,-0.000605,0.848643
32,-1.022990,-0.347989,2.079534,0.048947,-0.107424,-0.000634,0.850422
33,-0.897447,-0.308080,1.875010,0.043248,-0.091687,-0.000661,0.852117
34,-0.776102,-0.268082,1.672003,0.037444,-0.076578,-0.000684,0.853737
35,-0.660119,-0.228518,1.472568,0.031623,-0.062240,-0.000704,0.855290
