Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,2.249388,-4.832489,56.976803,-0.350653,-1.446825,0.119512
2,0.017617,0.050672,0.532092,0.005197,-0.048263,-0.000173
3,0.015317,0.021870,0.059308,0.001795,-0.010272,-0.000038
4,0.016393,0.022826,0.055328,0.001901,-0.009843,-0.000037
5,0.017385,0.023783,0.051529,0.002002,-0.009431,-0.000036
6,0.018298,0.024740,0.047903,0.002099,-0.009033,-0.000034
7,0.019136,0.025697,0.044443,0.002192,-0.008650,-0.000033
8,0.019903,0.026653,0.041143,0.002281,-0.008281,-0.000032
9,0.020604,0.027607,0.037996,0.002366,-0.007925,-0.000031
10,0.021241,0.028557,0.034995,0.002448,-0.007581,-0.000030
11,0.021819,0.029504,0.032135,0.002526,-0.007250,-0.000029
12,0.022340,0.030446,0.029408,0.002601,-0.006931,-0.000029
13,0.022809,0.031383,0.026809,0.002673,-0.006623,-0.000028
14,0.023228,0.032314,0.024332,0.002741,-0.006325,-0.000027
15,0.023600,0.033237,0.021970,0.002807,-0.006037,-0.000026
16,0.023927,0.034153,0.019720,0.002870,-0.005758,-0.000026
17,0.024213,0.035060,0.017576,0.002931,-0.005489,-0.000025
18,0.024459,0.035957,0.015532,0.002988,-0.005229,-0.000025
19,0.024667,0.036843,0.013584,0.003043,-0.004976,-0.000024
20,0.024840,0.037719,0.011727,0.003096,-0.004732,-0.000024
21,0.024980,0.038582,0.009957,0.003146,-0.004495,-0.000023
22,0.025088,0.039432,0.008269,0.003193,-0.004265,-0.000023
23,0.025167,0.040269,0.006660,0.003238,-0.004042,-0.000022
24,0.025218,0.041091,0.005126,0.003281,-0.003826,-0.000022
25,0.025243,0.041898,0.003663,0.003321,-0.003616,-0.000022
26,0.025242,0.042688,0.002267,0.003359,-0.003411,-0.000021
27,0.025219,0.043462,0.000935,0.003395,-0.003213,-0.000021
28,0.025174,0.044218,-0.000337,0.003428,-0.003020,-0.000021
29,0.025108,0.044956,-0.001550,0.003459,-0.002832,-0.000021
30,0.025023,0.045675,-0.002709,0.003488,-0.002649,-0.000020
31,0.024920,0.046374,-0.003817,0.003515,-0.002471,-0.000020
32,0.024800,0.047053,-0.004875,0.003539,-0.002298,-0.000020
