Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-1.477523,-1.121009,1.539099,0.054851,-0.099206,-0.000002
3,-1.468274,-1.117802,1.525318,0.059141,-0.099524,0.001870
4,-1.458887,-1.115605,1.510662,0.064034,-0.100051,0.004037
5,-1.449382,-1.114380,1.495165,0.069500,-0.100780,0.006501
6,-1.439776,-1.114047,1.478828,0.075491,-0.101717,0.009256
7,-1.430084,-1.114555,1.461682,0.081965,-0.102853,0.012302
8,-1.420320,-1.115847,1.443737,0.088890,-0.104191,0.015632
9,-1.410502,-1.117852,1.425012,0.096218,-0.105727,0.019236
10,-1.400629,-1.120532,1.405533,0.103922,-0.107453,0.023103
11,-1.390724,-1.123822,1.385314,0.111963,-0.109372,0.027224
12,-1.380788,-1.127661,1.364384,0.120301,-0.111474,0.031578
13,-1.370836,-1.132001,1.342776,0.128905,-0.113754,0.036149
14,-1.360870,-1.136790,1.320505,0.137745,-0.116208,0.040924
15,-1.350896,-1.141965,1.297608,0.146782,-0.118827,0.045875
16,-1.340925,-1.147481,1.274107,0.155989,-0.121608,0.050988
17,-1.330964,-1.153286,1.250038,0.165334,-0.124545,0.056236
18,-1.321012,-1.159332,1.225436,0.174791,-0.127625,0.061596
19,-1.311074,-1.165567,1.200336,0.184329,-0.130844,0.067047
20,-1.301154,-1.171948,1.174772,0.193922,-0.134192,0.072565
21,-1.291260,-1.178426,1.148769,0.203545,-0.137668,0.078125
22,-1.281390,-1.184950,1.122376,0.213169,-0.141256,0.083704
23,-1.271553,-1.191476,1.095624,0.222770,-0.144955,0.089277
24,-1.261751,-1.197969,1.068563,0.232326,-0.148751,0.094819
25,-1.251984,-1.204373,1.041220,0.241811,-0.152640,0.100309
26,-1.242264,-1.210652,1.013637,0.251203,-0.156615,0.105719
27,-1.232581,-1.216770,0.985858,0.260481,-0.160663,0.111041
28,-1.222942,-1.222689,0.957923,0.269625,-0.164776,0.116253
29,-1.213361,-1.228361,0.929869,0.278611,-0.168951,0.121326
30,-1.203835,-1.233756,0.901731,0.287423,-0.173183,0.126241
31,-1.194363,-1.238831,0.873564,0.296034,-0.177453,0.131000
32,-1.184953,-1.243553,0.845396,0.304429,-0.181763,0.135571
33,-1.175600,-1.247897,0.817277,0.312593,-0.186097,0.139943
34,-1.166321,-1.251824,0.789241,0.320503,-0.190453,0.144114
35,-1.157116,-1.255302,0.761319,0.328144,-0.194828,0.148058
36,-1.147978,-1.258310,0.733568,0.335500,-0.199203,0.151772
37,-1.138916,-1.260825,0.706013,0.342561,-0.203577,0.155250
38,-1.129933,-1.262805,0.678700,0.349301,-0.207942,0.158478
39,-1.121028,-1.264235,0.651670,0.355710,-0.212287,0.161453
40,-1.112200,-1.265105,0.624955,0.361780,-0.216604,0.164169
41,-1.103459,-1.265380,0.598584,0.367496,-0.220892,0.166618
42,-1.094794,-1.265054,0.572610,0.372846,-0.225134,0.168799
