Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,7.463383,-24.903910,176.141525,1.863978,-5.223739,-0.250777
2,-1.017642,2.810284,4.147848,0.293014,-0.047831,-0.001989
3,0.040597,0.051534,0.058216,0.003625,-0.015434,-0.000079
4,0.044173,0.054644,0.049554,0.003809,-0.014654,-0.000078
5,0.047605,0.057753,0.041313,0.004002,-0.013908,-0.000077
6,0.050907,0.060856,0.033474,0.004203,-0.013196,-0.000076
7,0.054090,0.063949,0.026017,0.004411,-0.012515,-0.000075
8,0.057163,0.067027,0.018923,0.004625,-0.011864,-0.000074
9,0.060135,0.070082,0.012174,0.004845,-0.011242,-0.000074
10,0.063016,0.073108,0.005749,0.005068,-0.010646,-0.000074
11,0.065811,0.076094,-0.000369,0.005294,-0.010076,-0.000074
12,0.068526,0.079032,-0.006197,0.005523,-0.009529,-0.000074
13,0.071168,0.081911,-0.011754,0.005752,-0.009004,-0.000074
14,0.073740,0.084720,-0.017055,0.005981,-0.008501,-0.000074
15,0.076246,0.087447,-0.022117,0.006209,-0.008017,-0.000075
16,0.078688,0.090082,-0.026956,0.006435,-0.007552,-0.000075
17,0.081069,0.092610,-0.031587,0.006657,-0.007104,-0.000076
18,0.083389,0.095021,-0.036024,0.006875,-0.006673,-0.000076
19,0.085650,0.097301,-0.040280,0.007087,-0.006258,-0.000077
20,0.087851,0.099440,-0.044371,0.007293,-0.005858,-0.000078
21,0.089992,0.101424,-0.048308,0.007491,-0.005472,-0.000079
22,0.092073,0.103244,-0.052103,0.007681,-0.005100,-0.000080
23,0.094093,0.104889,-0.055770,0.007861,-0.004741,-0.000081
24,0.096049,0.106349,-0.059318,0.008031,-0.004395,-0.000082
25,0.097942,0.107616,-0.062758,0.008191,-0.004061,-0.000083
26,0.099769,0.108682,-0.066101,0.008339,-0.003739,-0.000084
27,0.101528,0.109540,-0.069356,0.008475,-0.003428,-0.000085
28,0.103218,0.110186,-0.072531,0.008598,-0.003128,-0.000086
29,0.104837,0.110616,-0.075635,0.008708,-0.002839,-0.000087
30,0.106383,0.110827,-0.078675,0.008806,-0.002561,-0.000088
31,0.107856,0.110818,-0.081657,0.008889,-0.002293,-0.000089
32,0.109254,0.110589,-0.084589,0.008960,-0.002036,-0.000090
33,0.110574,0.110141,-0.087476,0.009016,-0.001788,-0.000090
34,0.111818,0.109479,-0.090322,0.009059,-0.001550,-0.000091
35,0.112984,0.108605,-0.093131,0.009089,-0.001322,-0.000092
36,0.114071,0.107525,-0.095908,0.009106,-0.001102,-0.000092
37,0.115079,0.106245,-0.098656,0.009110,-0.000892,-0.000093
38,0.116009,0.104773,-0.101376,0.009102,-0.000691,-0.000093
39,0.116861,0.103117,-0.104071,0.009081,-0.000499,-0.000094
40,0.117635,0.101285,-0.106742,0.009050,-0.000315,-0.000094
41,0.118332,0.099288,-0.109390,0.009008,-0.000139,-0.000094
42,0.118954,0.097134,-0.112016,0.008956,0.000029,-0.000095
43,0.119501,0.094836,-0.114621,0.008894,0.000190,-0.000095
44,0.119975,0.092403,-0.117203,0.008823,0.000343,-0.000095
45,0.120379,0.089847,-0.119763,0.008745,0.000488,-0.000095
46,0.120713,0.087178,-0.122301,0.008659,0.000628,-0.000095
47,0.120981,0.084407,-0.124815,0.008566,0.000760,-0.000094
48,0.121183,0.081546,-0.127304,0.008468,0.000887,-0.000094
49,0.121324,0.078606,-0.129768,0.008364,0.001007,-0.000094
50,0.121404,0.075596,-0.132206,0.008256,0.001122,-0.000093
51,0.121428,0.072526,-0.134616,0.008145,0.001232,-0.000093
52,0.121396,0.069407,-0.136998,0.008030,0.001337,-0.000093
53,0.121312,0.066248,-0.139350,0.007912,0.001437,-0.000092
54,0.121180,0.063057,-0.141671,0.007793,0.001533,-0.000092
55,0.121000,0.059844,-0.143961,0.007672,0.001625,-0.000091
56,0.120776,0.056615,-0.146217,0.007551,0.001713,-0.000090
57,0.120511,0.053379,-0.148441,0.007430,0.001798,-0.000090
58,0.120208,0.050142,-0.150631,0.007309,0.001879,-0.000089
59,0.119868,0.046909,-0.152786,0.007188,0.001958,-0.000088
60,0.119495,0.043689,-0.154906,0.007069,0.002033,-0.000088
61,0.119090,0.040484,-0.156990,0.006952,0.002107,-0.000087
62,0.118657,0.037300,-0.159039,0.006837,0.002178,-0.000086
63,0.118198,0.034142,-0.161053,0.006724,0.002246,-0.000086
64,0.117715,0.031014,-0.163030,0.006613,0.002313,-0.000085
65,0.117211,0.027917,-0.164972,0.006506,0.002378,-0.000084
66,0.116686,0.024856,-0.166879,0.006402,0.002442,-0.000083
67,0.116145,0.021833,-0.168751,0.006301,0.002504,-0.000083
68,0.115587,0.018851,-0.170588,0.006204,0.002565,-0.000082
69,0.115016,0.015911,-0.172391,0.006111,0.002625,-0.000081
70,0.114433,0.013014,-0.174160,0.006021,0.002683,-0.000081
71,0.113839,0.010163,-0.175897,0.005936,0.002741,-0.000080
72,0.113237,0.007357,-0.177602,0.005855,0.002798,-0.000079
73,0.112628,0.004597,-0.179276,0.005778,0.002854,-0.000079
74,0.112014,0.001884,-0.180920,0.005706,0.002910,-0.000078
75,0.111394,-0.000782,-0.182534,0.005638,0.002965,-0.000078
76,0.110772,-0.003400,-0.184119,0.005574,0.003019,-0.000077
77,0.110148,-0.005972,-0.185678,0.005515,0.003073,-0.000077
78,0.109524,-0.008498,-0.187210,0.005460,0.003127,-0.000076
79,0.108899,-0.010977,-0.188716,0.005410,0.003180,-0.000076
80,0.108275,-0.013411,-0.190199,0.005365,0.003233,-0.000075
81,0.107654,-0.015800,-0.191658,0.005323,0.003286,-0.000075
82,0.107036,-0.018145,-0.193095,0.005287,0.003338,-0.000075
83,0.106421,-0.020447,-0.194511,0.005255,0.003390,-0.000074
84,0.105811,-0.022707,-0.195907,0.005227,0.003442,-0.000074
85,0.105206,-0.024926,-0.197284,0.005203,0.003494,-0.000074
86,0.104607,-0.027105,-0.198643,0.005184,0.003545,-0.000074
87,0.104014,-0.029245,-0.199986,0.005169,0.003597,-0.000074
88,0.103427,-0.031348,-0.201313,0.005158,0.003648,-0.000073
89,0.102848,-0.033413,-0.202625,0.005152,0.003699,-0.000073
90,0.102276,-0.035443,-0.203923,0.005149,0.003750,-0.000073
91,0.101712,-0.037440,-0.205209,0.005150,0.003801,-0.000073
92,0.101156,-0.039403,-0.206482,0.005155,0.003852,-0.000073
93,0.100608,-0.041334,-0.207745,0.005164,0.003903,-0.000073
94,0.100070,-0.043234,-0.208997,0.005177,0.003954,-0.000073
95,0.099540,-0.045106,-0.210240,0.005194,0.004005,-0.000073
96,0.099018,-0.046948,-0.211475,0.005214,0.004055,-0.000073
97,0.098506,-0.048764,-0.212702,0.005238,0.004106,-0.000073
98,0.098004,-0.050553,-0.213921,0.005265,0.004156,-0.000073
99,0.097510,-0.052318,-0.215135,0.005295,0.004207,-0.000073
100,0.097026,-0.054059,-0.216342,0.005329,0.004258,-0.000074
101,0.096550,-0.055776,-0.217544,0.005366,0.004308,-0.000074
102,0.096085,-0.057471,-0.218742,0.005406,0.004359,-0.000074
103,0.095628,-0.059145,-0.219936,0.005449,0.004410,-0.000074
104,0.095180,-0.060800,-0.221125,0.005496,0.004461,-0.000074
105,0.094743,-0.062435,-0.222311,0.005545,0.004511,-0.000075
106,0.094313,-0.064052,-0.223495,0.005597,0.004562,-0.000075
107,0.093892,-0.065651,-0.224675,0.005651,0.004614,-0.000075
108,0.093480,-0.067233,-0.225853,0.005709,0.004665,-0.000076
109,0.093077,-0.068798,-0.227029,0.005769,0.004716,-0.000076
110,0.092681,-0.070348,-0.228202,0.005831,0.004768,-0.000076
111,0.092295,-0.071884,-0.229373,0.005896,0.004820,-0.000077
112,0.091916,-0.073404,-0.230543,0.005964,0.004872,-0.000077
113,0.091545,-0.074911,-0.231709,0.006034,0.004924,-0.000077
114,0.091181,-0.076404,-0.232874,0.006106,0.004977,-0.000078
115,0.090825,-0.077884,-0.234036,0.006180,0.005029,-0.000078
116,0.090476,-0.079350,-0.235196,0.006256,0.005082,-0.000078
117,0.090133,-0.080805,-0.236353,0.006334,0.005136,-0.000079
118,0.089798,-0.082246,-0.237506,0.006414,0.005190,-0.000079
119,0.089468,-0.083676,-0.238655,0.006496,0.005244,-0.000079
120,0.089145,-0.085093,-0.239801,0.006580,0.005298,-0.000080
121,0.088828,-0.086499,-0.240942,0.006665,0.005353,-0.000080
122,0.088516,-0.087892,-0.242077,0.006752,0.005408,-0.000080
123,0.088209,-0.089272,-0.243207,0.006841,0.005464,-0.000081
124,0.087907,-0.090640,-0.244330,0.006931,0.005520,-0.000081
125,0.087610,-0.091996,-0.245445,0.007022,0.005577,-0.000081
126,0.087318,-0.093339,-0.246553,0.007115,0.005634,-0.000082
127,0.087029,-0.094668,-0.247651,0.007208,0.005691,-0.000082
128,0.086745,-0.095984,-0.248739,0.007303,0.005749,-0.000082
129,0.086464,-0.097285,-0.249816,0.007399,0.005808,-0.000083
130,0.086187,-0.098573,-0.250881,0.007495,0.005867,-0.000083
131,0.085911,-0.099844,-0.251933,0.007592,0.005926,-0.000083
132,0.085640,-0.101100,-0.252970,0.007690,0.005986,-0.000083
133,0.085370,-0.102340,-0.253991,0.007789,0.006046,-0.000083
134,0.085103,-0.103562,-0.254996,0.007887,0.006107,-0.000083
135,0.084837,-0.104766,-0.255982,0.007986,0.006168,-0.000084
136,0.084574,-0.105952,-0.256948,0.008085,0.006230,-0.000084
137,0.084311,-0.107118,-0.257892,0.008184,0.006292,-0.000084
138,0.084049,-0.108262,-0.258815,0.008283,0.006354,-0.000084
139,0.083789,-0.109385,-0.259713,0.008382,0.006417,-0.000084
140,0.083529,-0.110485,-0.260585,0.008480,0.006480,-0.000084
141,0.083269,-0.111562,-0.261429,0.008577,0.006543,-0.000084
142,0.083010,-0.112613,-0.262245,0.008674,0.006607,-0.000083
143,0.082751,-0.113638,-0.263030,0.008770,0.006670,-0.000083
144,0.082491,-0.114635,-0.263783,0.008865,0.006734,-0.000083
