Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
0,-2.131960,-0.296174,0.925333,0.049219,-0.374436,-0.002997,0.403611,0.000975,0.738079,82.1816,140.0000,60.0000,123.8577,103.0820,124.2409,26.8275,28.0000,20.9385,24.4124,28.0000,26.1086
1,-0.089051,-0.857138,-0.352523,-0.769406,-0.275253,0.199611,0.406974,0.000386,0.735616,50.9883,172.0000,28.0000,131.8145,82.4966,126.8590,31.1385,34.4000,20.1623,27.4605,34.4000,28.5762
2,0.845341,0.584456,-0.107075,0.883858,0.407756,-0.206022,0.409643,-0.000434,0.734294,20.7906,174.3382,5.0000,116.8002,46.1902,98.0479,26.7278,35.5593,15.0231,31.0979,39.5200,27.8426
3,0.073142,0.773872,-0.535440,-1.260358,-0.287187,0.222739,0.411558,-0.000905,0.733347,5.0000,151.7812,5.0000,79.8251,28.8481,58.4383,17.3822,31.3056,8.0185,36.8783,43.6160,26.5261
4,0.812355,-1.692985,0.272018,1.593331,0.481661,-0.242947,0.413026,-0.001537,0.732623,5.0000,126.2368,5.0000,45.4489,32.2000,26.7507,9.9058,24.4649,2.4148,41.5027,46.8928,26.3517
5,-0.907670,3.241044,-0.522014,-2.049357,-0.551356,0.264296,0.414372,-0.001742,0.731954,5.0000,104.7914,5.0000,17.0652,43.7756,5.0000,3.9246,18.2511,1.0000,45.2021,49.5142,27.1108
6,1.568783,-5.100497,0.429965,2.655082,0.729520,-0.297351,0.415522,-0.002163,0.731433,5.0000,91.3804,5.0000,5.0000,56.5834,5.0000,1.0000,13.6671,1.0000,48.1617,51.6114,28.4297
7,-2.051625,7.430367,-0.577208,-3.368294,-0.891178,0.333013,0.416618,-0.002357,0.730929,5.0000,85.6630,5.0000,5.0000,67.6418,5.0000,1.0000,11.7087,1.0000,50.5294,53.2891,30.1148
8,2.821023,-8.217907,0.914970,3.634479,1.110292,-0.349154,0.417615,-0.002634,0.730520,5.0000,87.9615,5.0000,5.0000,75.4435,5.0000,1.0000,11.8476,1.0000,52.4235,54.6313,31.3926
9,-3.007267,8.500330,-1.110364,-3.711047,-1.169856,0.352165,0.418586,-0.002711,0.730083,5.0000,93.8052,5.0000,9.7329,81.1763,5.0000,1.0000,13.5863,1.0000,53.9388,55.7050,32.1553
10,3.234828,-8.252051,1.283822,3.651879,1.233692,-0.350951,0.419474,-0.002919,0.729730,5.0000,102.9103,5.0000,25.5682,83.9649,5.0000,1.0000,15.8251,1.0000,54.1245,56.5640,31.8498
11,-3.309020,8.477659,-1.340792,-3.706719,-1.253986,0.351907,0.420361,-0.002940,0.729323,5.0000,110.3960,5.0000,37.3881,85.8754,5.0000,1.0000,18.0638,1.0000,53.2065,57.2512,31.0478
12,3.356485,-8.141678,1.417917,3.615476,1.267750,-0.348384,0.421193,-0.003054,0.728997,5.0000,118.1609,5.0000,51.8682,86.4490,15.5018,1.0000,19.7213,1.0000,51.1554,57.8010,29.6180
13,-3.045055,7.380682,-1.342990,-3.362856,-1.171628,0.333263,0.422021,-0.003030,0.728612,5.0000,122.3238,5.0000,60.1681,87.4595,31.6355,1.0000,20.8208,1.0000,48.9143,58.2408,28.2904
14,2.372362,-4.834608,1.256946,2.575593,0.967260,-0.292961,0.422773,-0.003231,0.728312,5.0000,126.6214,5.0000,71.3958,88.3479,50.9426,1.0000,21.2575,1.0000,46.2221,58.0459,26.9642
