Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.910648,-0.770228,1.472382,0.084316,-0.184832,-0.000009
3,-0.910558,-0.776794,1.443159,0.092156,-0.187106,0.000664
4,-0.911796,-0.785850,1.411854,0.101077,-0.189986,0.001360
5,-0.914301,-0.797250,1.378610,0.111009,-0.193442,0.002060
6,-0.918021,-0.810840,1.343553,0.121880,-0.197445,0.002759
7,-0.922907,-0.826465,1.306801,0.133615,-0.201972,0.003449
8,-0.928897,-0.843965,1.268476,0.146139,-0.206991,0.004124
9,-0.935936,-0.863176,1.228708,0.159373,-0.212475,0.004774
10,-0.943977,-0.883942,1.187604,0.173244,-0.218400,0.005397
11,-0.952939,-0.906094,1.145303,0.187675,-0.224728,0.005993
12,-0.962758,-0.929463,1.101938,0.202585,-0.231429,0.006548
13,-0.973390,-0.953898,1.057613,0.217906,-0.238478,0.007080
14,-0.984767,-0.979210,1.012458,0.233547,-0.245847,0.007579
15,-0.996800,-1.005267,0.966635,0.249452,-0.253492,0.008039
16,-1.009442,-1.031888,0.920251,0.265535,-0.261389,0.008470
17,-1.022624,-1.058925,0.873420,0.281727,-0.269510,0.008871
18,-1.036278,-1.086222,0.826296,0.297958,-0.277820,0.009250
19,-1.050334,-1.113633,0.778997,0.314160,-0.286287,0.009599
20,-1.064731,-1.141000,0.731659,0.330261,-0.294883,0.009928
21,-1.079396,-1.168185,0.684410,0.346196,-0.303573,0.010237
22,-1.094275,-1.195053,0.637364,0.361903,-0.312333,0.010532
23,-1.109295,-1.221469,0.590661,0.377319,-0.321128,0.010807
24,-1.124392,-1.247311,0.544406,0.392388,-0.329930,0.011072
25,-1.139509,-1.272457,0.498727,0.407053,-0.338712,0.011324
26,-1.154576,-1.296801,0.453741,0.421264,-0.347440,0.011562
27,-1.169536,-1.320222,0.409556,0.434964,-0.356089,0.011789
28,-1.184326,-1.342628,0.366284,0.448109,-0.364631,0.012012
29,-1.198882,-1.363935,0.324021,0.460659,-0.373035,0.012224
30,-1.213152,-1.384041,0.282872,0.472567,-0.381277,0.012428
31,-1.227078,-1.402866,0.242919,0.483793,-0.389331,0.012621
32,-1.240603,-1.420350,0.204245,0.494309,-0.397172,0.012802
33,-1.253667,-1.436411,0.166947,0.504075,-0.404771,0.012985
34,-1.266230,-1.451000,0.131074,0.513068,-0.412111,0.013150
35,-1.278236,-1.464068,0.096698,0.521264,-0.419167,0.013309
36,-1.289635,-1.475571,0.063873,0.528642,-0.425917,0.013460
37,-1.300382,-1.485454,0.032663,0.535176,-0.432339,0.013599
38,-1.310421,-1.493710,0.003112,0.540863,-0.438411,0.013722
39,-1.319720,-1.500297,-0.024755,0.545684,-0.444118,0.013836
40,-1.328229,-1.505191,-0.050887,0.549627,-0.449439,0.013931
41,-1.335912,-1.508397,-0.075280,0.552698,-0.454359,0.014014
42,-1.342726,-1.509902,-0.097896,0.554891,-0.458860,0.014075
43,-1.348646,-1.509690,-0.118739,0.556201,-0.462933,0.014120
44,-1.353630,-1.507789,-0.137790,0.556644,-0.466559,0.014148
45,-1.357652,-1.504187,-0.155056,0.556217,-0.469730,0.014157
46,-1.360685,-1.498914,-0.170538,0.554939,-0.472435,0.014147
47,-1.362686,-1.491969,-0.184225,0.552813,-0.474658,0.014125
48,-1.363657,-1.483392,-0.196167,0.549864,-0.476402,0.014078
49,-1.363562,-1.473199,-0.206354,0.546102,-0.477653,0.014010
50,-1.362380,-1.461432,-0.214819,0.541555,-0.478406,0.013925
51,-1.360098,-1.448119,-0.221582,0.536241,-0.478657,0.013819
52,-1.356712,-1.433306,-0.226683,0.530187,-0.478407,0.013698
53,-1.352201,-1.417028,-0.230153,0.523418,-0.477650,0.013561
54,-1.346562,-1.399327,-0.232025,0.515960,-0.476389,0.013404
55,-1.339776,-1.380247,-0.232325,0.507842,-0.474618,0.013226
56,-1.331849,-1.359856,-0.231111,0.499102,-0.472342,0.013034
57,-1.322769,-1.338189,-0.228417,0.489765,-0.469562,0.012827
58,-1.312554,-1.315325,-0.224313,0.479874,-0.466288,0.012604
59,-1.301199,-1.291293,-0.218825,0.469452,-0.462519,0.012366
60,-1.288710,-1.266166,-0.212024,0.458541,-0.458265,0.012116
