Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,50.565434,-58.847610,394.814087,16.457001,-0.390058,-2.877206
2,0.035262,-0.016938,0.053462,-0.001313,-0.013078,0.000073
3,0.037388,-0.018715,0.045765,-0.001288,-0.012309,0.000069
4,-0.497398,-0.031743,1.877015,-0.000279,-0.012357,0.007667
5,0.048448,-0.024141,0.009235,-0.001602,-0.009935,0.000061
6,0.050384,-0.026086,0.003407,-0.001692,-0.009381,0.000059
7,0.052244,-0.028072,-0.001882,-0.001801,-0.008877,0.000058
8,0.054047,-0.030092,-0.006663,-0.001926,-0.008423,0.000057
9,0.055811,-0.032139,-0.010965,-0.002065,-0.008014,0.000056
10,0.057552,-0.034206,-0.014816,-0.002215,-0.007648,0.000055
11,0.059285,-0.036284,-0.018245,-0.002375,-0.007323,0.000055
12,0.061022,-0.038365,-0.021277,-0.002542,-0.007037,0.000054
13,0.062773,-0.040439,-0.023939,-0.002715,-0.006786,0.000054
14,0.064548,-0.042500,-0.026255,-0.002893,-0.006568,0.000055
15,0.066355,-0.044536,-0.028249,-0.003072,-0.006381,0.000055
16,0.068202,-0.046540,-0.029945,-0.003253,-0.006222,0.000055
17,0.070093,-0.048504,-0.031365,-0.003434,-0.006090,0.000056
18,0.072033,-0.050418,-0.032530,-0.003615,-0.005982,0.000056
19,0.074026,-0.052274,-0.033462,-0.003794,-0.005896,0.000057
20,0.076073,-0.054064,-0.034180,-0.003970,-0.005830,0.000058
21,0.078177,-0.055780,-0.034703,-0.004143,-0.005783,0.000059
22,0.080338,-0.057414,-0.035050,-0.004312,-0.005752,0.000060
23,0.082555,-0.058959,-0.035239,-0.004477,-0.005736,0.000061
24,0.084829,-0.060408,-0.035287,-0.004637,-0.005733,0.000062
25,0.087157,-0.061755,-0.035211,-0.004792,-0.005742,0.000063
26,0.089538,-0.062992,-0.035027,-0.004942,-0.005760,0.000064
27,0.091970,-0.064116,-0.034749,-0.005087,-0.005788,0.000065
28,0.094448,-0.065119,-0.034393,-0.005226,-0.005824,0.000067
29,0.096969,-0.065998,-0.033973,-0.005359,-0.005865,0.000068
30,0.099531,-0.066747,-0.033501,-0.005487,-0.005912,0.000069
31,0.102128,-0.067362,-0.032992,-0.005609,-0.005964,0.000070
32,0.104756,-0.067841,-0.032458,-0.005725,-0.006018,0.000071
33,0.107411,-0.068178,-0.031910,-0.005836,-0.006076,0.000072
34,0.110087,-0.068373,-0.031359,-0.005941,-0.006134,0.000074
35,0.112779,-0.068422,-0.030816,-0.006041,-0.006194,0.000075
36,0.115482,-0.068323,-0.030291,-0.006136,-0.006254,0.000076
37,0.118190,-0.068074,-0.029795,-0.006226,-0.006314,0.000077
38,0.120898,-0.067675,-0.029336,-0.006311,-0.006373,0.000078
39,0.123601,-0.067125,-0.028922,-0.006391,-0.006430,0.000079
40,0.126291,-0.066422,-0.028561,-0.006468,-0.006486,0.000080
41,0.128964,-0.065567,-0.028262,-0.006539,-0.006540,0.000081
42,0.131614,-0.064561,-0.028031,-0.006607,-0.006592,0.000083
43,0.134234,-0.063403,-0.027874,-0.006672,-0.006641,0.000084
44,0.136820,-0.062095,-0.027799,-0.006732,-0.006688,0.000085
45,0.139364,-0.060638,-0.027810,-0.006790,-0.006731,0.000086
46,0.141862,-0.059033,-0.027912,-0.006844,-0.006772,0.000087
47,0.144307,-0.057283,-0.028112,-0.006895,-0.006809,0.000088
48,0.146694,-0.055389,-0.028411,-0.006943,-0.006844,0.000089
49,0.149018,-0.053354,-0.028816,-0.006989,-0.006876,0.000090
50,0.151272,-0.051181,-0.029328,-0.007032,-0.006904,0.000091
51,0.153451,-0.048872,-0.029952,-0.007073,-0.006930,0.000092
52,0.155550,-0.046432,-0.030690,-0.007112,-0.006953,0.000094
53,0.157564,-0.043863,-0.031545,-0.007149,-0.006973,0.000095
54,0.159487,-0.041170,-0.032518,-0.007184,-0.006990,0.000096
55,0.161315,-0.038356,-0.033611,-0.007217,-0.007005,0.000097
56,0.163043,-0.035426,-0.034826,-0.007248,-0.007018,0.000098
57,0.164666,-0.032385,-0.036162,-0.007278,-0.007028,0.000099
