Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,4.679482,-0.879719,-28.615517,0.624536,-0.365909,-0.015296,0.741536
2,2.403035,-0.426031,-16.583784,0.002274,0.660936,-0.006090,0.744069
3,0.593368,-0.139139,-12.955311,-0.097340,0.450439,-0.000983,0.747541
4,-0.518367,-0.041278,-10.737034,-0.084495,0.137421,0.001273,0.751749
5,-1.053085,-0.061131,-7.352109,-0.073074,-0.026614,0.002058,0.756484
6,-1.244960,-0.147212,-2.289533,-0.078097,-0.065057,0.002149,0.761440
7,-1.215737,-0.263427,4.636486,-0.107370,0.011349,0.001969,0.766192
8,-1.021331,-0.370709,13.100383,-0.166291,0.206698,0.001797,0.770217
9,-0.830737,-0.424856,20.553169,-0.208692,0.369096,0.001715,0.773008
10,-1.506837,-0.534993,18.788160,0.009833,-0.337024,0.000684,0.774458
11,4.695612,1.044372,53.224575,-1.518930,5.098197,0.009125,0.773440
12,4806.824219,-10118.372070,23034.892578,-1865.736084,1582.938599,1190.734619,0.070573
13,980.492249,2905.081055,4374.021484,-1077.900757,820.788757,-278.778809,0.211549
14,543.074707,-1211.915405,-418.947479,281.623291,114.422188,81.358818,0.247392
15,141.252930,590.759277,142.661835,-147.465393,78.673515,-44.079552,0.290227
16,-247.353806,12.696184,-825.227356,69.250015,-135.025742,-15.263857,0.333443
17,44.501144,190.233948,124.864098,-111.882004,32.210491,-6.962729,0.370227
18,28.760900,-125.394379,-214.516098,48.692181,-27.945194,11.921097,0.415961
19,-264.708466,-424.506378,-413.493988,127.741608,-89.424294,8.126591,0.466046
20,-13.891905,273.202576,-121.928711,-68.761192,-20.241283,-7.087214,0.515611
21,-171.522232,-35.677006,-224.943741,51.459557,-53.219635,0.468909,0.551565
22,152.494125,125.963348,-30.888422,2.855072,42.875015,-4.059755,0.571144
23,268.025726,182.952301,-1.437538,-44.729160,70.400703,-10.180038,0.579720
24,155.141251,17.003954,-50.271053,-24.013437,33.454941,-4.025762,0.584392
25,44.646320,-12.710567,26.193546,-20.623940,4.956843,-0.732759,0.591244
26,-20.173531,-51.543266,4.110267,-0.179498,-4.687920,-0.438401,0.600800
27,2.824188,-80.702209,-71.101524,14.782041,1.292005,-0.580022,0.614075
28,-63.558144,-26.665491,-75.950920,4.080651,-25.055817,-3.522903,0.629020
29,-25.776918,-43.674698,-91.888901,17.050829,-12.031558,-0.137755,0.644283
30,-23.718847,-25.892511,-62.398628,12.261380,-11.326463,-0.128850,0.659526
31,-33.058323,-9.212696,-25.904377,7.733840,-13.721007,-0.471283,0.673445
