Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,-1.600397,0.674112,10.291792,-0.354537,0.505512,-0.006474
3,-3.876739,-0.430504,5.977824,-0.048009,-0.363974,-0.003205
4,-3.506618,-0.919053,4.112936,0.098737,-0.439514,-0.000769
5,-2.777215,-0.972930,3.012773,0.136703,-0.368760,0.000417
6,-2.123231,-0.856169,2.259824,0.129982,-0.286210,0.000835
7,-1.599191,-0.696968,1.710428,0.109230,-0.216048,0.000903
8,-1.190271,-0.545355,1.298682,0.086770,-0.160235,0.000838
9,-0.873477,-0.416652,0.986404,0.066824,-0.116666,0.000736
10,-0.628592,-0.312622,0.748143,0.050386,-0.082875,0.000636
11,-0.439458,-0.230472,0.565777,0.037290,-0.056740,0.000548
12,-0.293439,-0.166328,0.425876,0.027025,-0.036554,0.000477
13,-0.180729,-0.116550,0.318351,0.019049,-0.020983,0.000420
14,-0.093720,-0.078015,0.235579,0.012876,-0.008975,0.000375
15,-0.026514,-0.048228,0.171731,0.008109,0.000283,0.000340
16,0.025440,-0.025208,0.122353,0.004433,0.007422,0.000313
17,0.065630,-0.007410,0.084050,0.001598,0.012924,0.000292
18,0.096778,0.006362,0.054227,-0.000588,0.017169,0.000276
19,0.120963,0.017033,0.030890,-0.002274,0.020444,0.000263
20,0.139800,0.025321,0.012517,-0.003577,0.022974,0.000252
21,0.154511,0.031779,-0.002049,-0.004585,0.024931,0.000244
22,0.166053,0.036813,-0.013709,-0.005364,0.026446,0.000238
23,0.175143,0.040764,-0.023136,-0.005969,0.027619,0.000233
24,0.182352,0.043878,-0.030858,-0.006439,0.028530,0.000228
25,0.188120,0.046352,-0.037248,-0.006808,0.029243,0.000225
26,0.192751,0.048323,-0.042634,-0.007095,0.029797,0.000222
27,0.196521,0.049912,-0.047235,-0.007323,0.030231,0.000219
28,0.199592,0.051199,-0.051227,-0.007501,0.030568,0.000216
29,0.202143,0.052260,-0.054749,-0.007644,0.030834,0.000214
30,0.204270,0.053136,-0.057896,-0.007757,0.031041,0.000212
31,0.206066,0.053870,-0.060745,-0.007848,0.031203,0.000210
32,0.207601,0.054496,-0.063361,-0.007923,0.031331,0.000209
33,0.208916,0.055030,-0.065796,-0.007983,0.031427,0.000207
34,0.210041,0.055489,-0.068060,-0.008032,0.031498,0.000205
35,0.211039,0.055897,-0.070197,-0.008073,0.031553,0.000204
36,0.211897,0.056251,-0.072234,-0.008105,0.031588,0.000202
37,0.212648,0.056562,-0.074160,-0.008132,0.031610,0.000200
38,0.213319,0.056846,-0.076009,-0.008154,0.031624,0.000199
39,0.213882,0.057094,-0.077787,-0.008172,0.031620,0.000197
40,0.214388,0.057317,-0.079496,-0.008185,0.031612,0.000196
41,0.214817,0.057516,-0.081146,-0.008196,0.031593,0.000194
42,0.215181,0.057696,-0.082728,-0.008204,0.031566,0.000193
43,0.215487,0.057855,-0.084257,-0.008209,0.031533,0.000191
44,0.215743,0.057995,-0.085723,-0.008211,0.031495,0.000189
45,0.215926,0.058114,-0.087146,-0.008211,0.031445,0.000188
46,0.216062,0.058224,-0.088519,-0.008210,0.031392,0.000186
