Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.889088,-0.786242,1.794027,0.083018,-0.181505,-0.000009
3,-0.890458,-0.793400,1.762350,0.090984,-0.184179,-0.000396
4,-0.893423,-0.803138,1.728361,0.100041,-0.187521,-0.000791
5,-0.897915,-0.815297,1.692213,0.110115,-0.191502,-0.001203
6,-0.903869,-0.829709,1.654049,0.121128,-0.196093,-0.001619
7,-0.911219,-0.846218,1.614015,0.133010,-0.201264,-0.002029
8,-0.919890,-0.864660,1.572257,0.145682,-0.206985,-0.002434
9,-0.929800,-0.884861,1.528938,0.159067,-0.213215,-0.002829
10,-0.940886,-0.906646,1.484187,0.173087,-0.219931,-0.003209
11,-0.953049,-0.929841,1.438178,0.187661,-0.227089,-0.003575
12,-0.966226,-0.954277,1.391038,0.202715,-0.234663,-0.003924
13,-0.980326,-0.979776,1.342946,0.218168,-0.242610,-0.004254
14,-0.995276,-1.006167,1.294031,0.233944,-0.250902,-0.004570
15,-1.010996,-1.033290,1.244447,0.249972,-0.259503,-0.004863
16,-1.027389,-1.060956,1.194370,0.266167,-0.268372,-0.005133
17,-1.044395,-1.089018,1.143919,0.282464,-0.277484,-0.005394
18,-1.061898,-1.117304,1.093286,0.298787,-0.286787,-0.005636
19,-1.079844,-1.145659,1.042597,0.315065,-0.296259,-0.005860
20,-1.098145,-1.173936,0.992004,0.331233,-0.305862,-0.006071
21,-1.116711,-1.201977,0.941665,0.347221,-0.315558,-0.006270
22,-1.135459,-1.229640,0.891730,0.362963,-0.325309,-0.006455
23,-1.154321,-1.256801,0.842322,0.378405,-0.335090,-0.006630
24,-1.173206,-1.283311,0.793600,0.393478,-0.344857,-0.006800
25,-1.192031,-1.309049,0.745703,0.408126,-0.354575,-0.006956
26,-1.210748,-1.333920,0.698723,0.422305,-0.364226,-0.007104
27,-1.229259,-1.357791,0.652814,0.435956,-0.373765,-0.007244
28,-1.247497,-1.380564,0.608081,0.449030,-0.383164,-0.007384
29,-1.265390,-1.402153,0.564642,0.461488,-0.392391,-0.007515
30,-1.282862,-1.422462,0.522597,0.473286,-0.401415,-0.007639
31,-1.299845,-1.441402,0.482049,0.484381,-0.410205,-0.007765
