Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,992.569763,3304.758057,2703.047607,159.732971,-227.362228,128.702927
2,-501.782227,317.725403,502.630310,-42.416729,-165.604858,51.235870
3,-725.270386,392.490479,-578.988525,-162.724197,-140.042572,-10.265509
4,-395.697784,211.277969,-175.158813,-44.480373,-89.965759,-1.528770
5,2.587171,-2.887326,1.706610,0.278429,0.193977,0.130973
6,-0.612475,0.100244,0.830414,-0.045438,-0.041522,-0.001442
7,-0.513054,0.343771,0.965599,-0.082255,-0.026046,-0.001667
8,-0.421388,0.510383,1.049248,-0.107739,-0.013727,-0.001572
9,-0.346685,0.598026,1.078838,-0.121429,-0.005630,-0.001241
10,-0.289911,0.619658,1.062211,-0.125165,-0.001545,-0.000762
11,-2.751770,-1.571587,11.585003,0.046304,-0.105219,-0.242716
12,-4.683423,3.356543,9.416094,-0.438972,-0.989745,0.022831
13,-4.017724,3.839710,7.465032,-0.559322,-0.835480,0.002902
14,-3.617943,3.675138,6.867207,-0.588913,-0.733105,-0.024319
15,-3.256872,3.483712,5.985919,-0.635026,-0.624720,-0.048012
16,-2.750969,3.249584,4.305063,-0.733733,-0.494271,-0.083872
17,-2.366072,3.076663,3.511105,-0.769428,-0.387364,-0.100717
18,-1.980178,2.949848,3.453351,-0.737889,-0.313802,-0.105099
19,-1.743388,2.805039,4.053224,-0.656040,-0.279080,-0.076980
20,-1.520481,2.618629,3.687250,-0.623875,-0.213869,-0.082791
21,-1.340045,2.157025,4.352928,-0.572898,-0.186622,-0.082635
22,-1.439332,2.427394,4.397634,-0.501933,-0.156917,-0.023530
23,-1.309091,2.233881,4.209480,-0.448524,-0.080161,-0.053443
24,-0.382909,1.767129,2.293246,-0.482771,0.008232,-0.057062
25,-0.325175,1.488467,2.046375,-0.417587,0.048602,-0.061403
26,-0.345416,1.268677,2.790779,-0.273079,0.040584,-0.042335
27,-0.084089,0.850380,2.332997,-0.199817,0.071798,-0.030128
28,0.126878,0.581403,1.534274,-0.129676,0.104314,-0.023915
29,0.267176,0.403696,0.803996,-0.037100,0.100892,-0.002817
30,0.085631,0.112115,0.402915,0.041003,0.086146,-0.005821
31,-0.342678,-0.277861,0.189128,0.095649,0.062205,-0.152758
32,-3.317858,-1.151093,5.696394,0.563565,-0.363585,0.089110
33,-0.286906,0.317658,0.438697,0.022214,0.026341,-0.414858
34,-0.161794,-0.218808,0.224753,0.004874,-0.044207,0.407072
35,-0.354064,0.121142,-0.055485,0.083678,0.024400,-0.417190
36,-0.327128,-0.332793,-0.066314,0.048816,-0.061445,0.404934
37,-0.558833,0.071752,-0.312971,0.112993,-0.002034,-0.418949
38,-0.496658,-0.290015,-0.238478,0.058017,-0.082795,0.403740
39,-0.748814,0.155970,-0.456269,0.111602,-0.029716,-0.419788
40,-0.631915,-0.152189,-0.312854,0.044963,-0.101179,0.403323
41,-0.889601,0.316793,-0.506926,0.091278,-0.051748,-0.419901
42,-0.713349,0.027648,-0.314638,0.020257,-0.112869,0.403463
43,-0.966904,0.505268,-0.490103,0.061818,-0.065092,-0.419507
44,-0.736830,0.209778,-0.268385,-0.008143,-0.116793,0.403939
45,-0.982265,0.687330,-0.430462,0.030552,-0.069294,-0.418844
46,-0.708883,0.368998,-0.195321,-0.034970,-0.113610,0.404563
47,-0.945849,0.841025,-0.348749,0.002199,-0.065663,-0.418079
48,-0.641599,0.491747,-0.112174,-0.057237,-0.104977,0.405213
49,-0.871973,0.955220,-0.260910,-0.020681,-0.056346,-0.417307
50,-0.548763,0.573302,-0.030862,-0.073695,-0.092902,0.405828
51,-0.775373,1.026791,-0.177955,-0.037125,-0.043653,-0.416576
52,-0.443241,0.614861,0.041050,-0.084248,-0.079303,0.406388
53,-0.668971,1.058065,-0.106587,-0.047233,-0.029666,-0.415896
54,-0.336039,0.621647,0.099349,-0.089462,-0.065753,0.406886
55,-0.563098,1.054396,-0.049959,-0.051752,-0.016051,-0.415260
56,-0.234715,0.599962,0.142881,-0.090301,-0.053413,0.407338
57,-0.464738,1.022859,-0.008535,-0.051737,-0.003904,-0.414662
58,-0.143944,0.556832,0.172404,-0.087824,-0.042949,0.407755
59,-0.377845,0.970911,0.018988,-0.048329,0.006186,-0.414098
60,-0.065876,0.499095,0.189865,-0.083044,-0.034601,0.408143
61,-0.303922,0.905598,0.034966,-0.042618,0.014044,-0.413564
62,-0.000731,0.432757,0.197795,-0.076846,-0.028300,0.408503
63,-0.242683,0.833115,0.042210,-0.035564,0.019793,-0.413061
64,0.052575,0.362925,0.198932,-0.069978,-0.023775,0.408834
65,-0.192556,0.758595,0.043540,-0.027949,0.023747,-0.412593
66,0.095418,0.294482,0.195631,-0.062985,-0.020565,0.409121
67,-0.152423,0.687007,0.041297,-0.020387,0.026306,-0.412174
68,0.129574,0.230476,0.190187,-0.056379,-0.018378,0.409367
69,-0.120326,0.621141,0.037684,-0.013375,0.027804,-0.411798
70,0.157090,0.172775,0.184430,-0.050481,-0.016884,0.409577
71,-0.094303,0.562593,0.034300,-0.007205,0.028574,-0.411464
72,0.179717,0.122286,0.179556,-0.045450,-0.015808,0.409755
73,-0.072491,0.512012,0.032214,-0.002003,0.028919,-0.411168
74,0.198732,0.079625,0.176224,-0.041311,-0.014880,0.409896
75,-0.053838,0.469870,0.031917,0.002216,0.029086,-0.410913
76,0.215162,0.044562,0.174806,-0.038060,-0.013967,0.410003
77,-0.037458,0.435722,0.033623,0.005483,0.029202,-0.410695
78,0.229766,0.016325,0.175372,-0.035639,-0.013018,0.410086
79,-0.022549,0.408504,0.037307,0.007905,0.029357,-0.410506
80,0.243062,-0.006200,0.177715,-0.033921,-0.012006,0.410149
81,-0.008680,0.387005,0.042686,0.009629,0.029588,-0.410343
82,0.255398,-0.024155,0.181524,-0.032757,-0.010917,0.410195
83,0.004449,0.369957,0.049394,0.010825,0.029916,-0.410200
84,0.266889,-0.038678,0.186387,-0.031992,-0.009770,0.410227
85,0.016943,0.356166,0.057026,0.011658,0.030334,-0.410075
86,0.277580,-0.050749,0.191935,-0.031490,-0.008587,0.410248
87,0.028757,0.344684,0.065212,0.012259,0.030814,-0.409966
88,0.287339,-0.061176,0.197796,-0.031141,-0.007418,0.410260
89,0.039775,0.334682,0.073598,0.012744,0.031318,-0.409870
90,0.296070,-0.070627,0.203680,-0.030855,-0.006299,0.410265
91,0.049857,0.325533,0.081918,0.013195,0.031805,-0.409786
92,0.303698,-0.079516,0.209391,-0.030576,-0.005259,0.410263
93,0.058895,0.316882,0.090008,0.013658,0.032242,-0.409712
94,0.310162,-0.088176,0.214787,-0.030263,-0.004322,0.410258
95,0.066854,0.308431,0.097761,0.014169,0.032611,-0.409647
96,0.315447,-0.096725,0.219815,-0.029906,-0.003503,0.410248
97,0.073655,0.300073,0.105112,0.014733,0.032884,-0.409589
98,0.319543,-0.105252,0.224430,-0.029500,-0.002815,0.410236
99,0.079357,0.291731,0.112066,0.015353,0.033064,-0.409537
100,0.322604,-0.113765,0.228686,-0.029049,-0.002238,0.410222
101,0.083998,0.283466,0.118656,0.016013,0.033146,-0.409491
102,0.324683,-0.122210,0.232611,-0.028568,-0.001771,0.410207
103,0.087696,0.275307,0.124937,0.016700,0.033145,-0.409450
104,0.325895,-0.130553,0.236244,-0.028066,-0.001399,0.410191
105,0.090516,0.267306,0.130936,0.017403,0.033064,-0.409414
106,0.326370,-0.138693,0.239657,-0.027564,-0.001106,0.410175
107,0.092600,0.259535,0.136725,0.018104,0.032925,-0.409381
108,0.326219,-0.146630,0.242867,-0.027062,-0.000875,0.410158
109,0.094017,0.252053,0.142333,0.018791,0.032734,-0.409351
110,0.325564,-0.154260,0.245942,-0.026581,-0.000688,0.410143
