Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.171363,-0.160190,0.856431,0.016373,-0.028292,0.000000
3,-0.174448,-0.163642,0.851886,0.018153,-0.029653,-0.000067
4,-0.177588,-0.167145,0.847243,0.019951,-0.031040,-0.000132
5,-0.180780,-0.170698,0.842507,0.021768,-0.032451,-0.000193
6,-0.184021,-0.174295,0.837682,0.023601,-0.033885,-0.000251
7,-0.187310,-0.177931,0.832775,0.025447,-0.035343,-0.000306
8,-0.190643,-0.181606,0.827788,0.027308,-0.036821,-0.000359
9,-0.194018,-0.185312,0.822728,0.029179,-0.038320,-0.000410
10,-0.197432,-0.189049,0.817597,0.031060,-0.039839,-0.000458
11,-0.200881,-0.192812,0.812404,0.032950,-0.041375,-0.000506
12,-0.204364,-0.196598,0.807150,0.034848,-0.042928,-0.000550
13,-0.207876,-0.200401,0.801841,0.036751,-0.044498,-0.000593
14,-0.211415,-0.204221,0.796483,0.038659,-0.046082,-0.000634
15,-0.214977,-0.208053,0.791083,0.040570,-0.047678,-0.000675
16,-0.218563,-0.211892,0.785639,0.042482,-0.049289,-0.000714
17,-0.222167,-0.215737,0.780162,0.044396,-0.050910,-0.000751
18,-0.225787,-0.219583,0.774653,0.046308,-0.052542,-0.000789
19,-0.229419,-0.223426,0.769121,0.048218,-0.054182,-0.000824
20,-0.233063,-0.227268,0.763566,0.050126,-0.055831,-0.000858
21,-0.236714,-0.231098,0.757995,0.052028,-0.057487,-0.000891
22,-0.240372,-0.234920,0.752410,0.053926,-0.059149,-0.000925
23,-0.244030,-0.238726,0.746820,0.055816,-0.060816,-0.000956
24,-0.247688,-0.242514,0.741229,0.057697,-0.062485,-0.000987
25,-0.251345,-0.246282,0.735636,0.059569,-0.064159,-0.001019
26,-0.254995,-0.250027,0.730052,0.061431,-0.065833,-0.001048
27,-0.258638,-0.253746,0.724476,0.063282,-0.067509,-0.001078
28,-0.262270,-0.257436,0.718916,0.065119,-0.069183,-0.001106
29,-0.265889,-0.261095,0.713374,0.066944,-0.070856,-0.001134
30,-0.269492,-0.264719,0.707856,0.068753,-0.072526,-0.001161
31,-0.273077,-0.268306,0.702366,0.070547,-0.074192,-0.001188
32,-0.276642,-0.271853,0.696907,0.072323,-0.075854,-0.001215
33,-0.280185,-0.275358,0.691482,0.074081,-0.077510,-0.001240
34,-0.283704,-0.278820,0.686096,0.075822,-0.079160,-0.001265
35,-0.287191,-0.282235,0.680755,0.077543,-0.080801,-0.001290
36,-0.290651,-0.285601,0.675461,0.079242,-0.082433,-0.001316
37,-0.294078,-0.288915,0.670216,0.080921,-0.084056,-0.001339
38,-0.297473,-0.292179,0.665023,0.082578,-0.085669,-0.001363
39,-0.300828,-0.295385,0.659888,0.084210,-0.087269,-0.001386
40,-0.304148,-0.298535,0.654813,0.085820,-0.088856,-0.001409
41,-0.307428,-0.301625,0.649799,0.087404,-0.090432,-0.001431
42,-0.310662,-0.304656,0.644854,0.088963,-0.091991,-0.001454
