Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.897530,-0.836369,0.503871,0.076360,-0.073260,0.000007
3,-0.857803,-0.778932,0.506279,0.067886,-0.068598,0.000021
4,-0.819219,-0.727082,0.507791,0.060391,-0.064202,-0.000008
5,-0.782024,-0.681001,0.508298,0.053910,-0.060108,0.000127
6,-0.746302,-0.640615,0.507765,0.048431,-0.056326,-0.000440
7,-0.712154,-0.605582,0.506198,0.043902,-0.052857,0.001948
8,-0.679327,-0.575671,0.503620,0.040253,-0.049688,-0.008099
9,-0.648693,-0.549295,0.500141,0.037331,-0.046814,0.034104
10,-0.616502,-0.529800,0.495598,0.035221,-0.044168,-0.143184
11,-0.613977,-0.615064,0.518522,0.025453,-0.044682,0.353388
12,-0.496081,-0.145171,0.390180,0.065017,-0.029442,-0.409481
13,-0.586807,-0.582810,0.527355,-0.000174,-0.044097,0.412282
14,-0.452342,-0.048085,0.372234,0.054793,-0.026315,-0.409813
15,-0.540643,-0.491182,0.508352,-0.009753,-0.041131,0.411907
16,-0.410810,0.035371,0.354835,0.046127,-0.023386,-0.410107
17,-0.498207,-0.413723,0.488533,-0.017589,-0.038794,0.411557
18,-0.371980,0.104176,0.337702,0.039185,-0.020729,-0.410362
19,-0.458338,-0.350906,0.468747,-0.023659,-0.036841,0.411240
20,-0.335055,0.159042,0.321309,0.033909,-0.018211,-0.410577
21,-0.419958,-0.301567,0.449603,-0.028092,-0.035056,0.410957
22,-0.299441,0.201441,0.306005,0.030097,-0.015733,-0.410753
23,-0.382345,-0.263961,0.431503,-0.031138,-0.033292,0.410707
24,-0.264804,0.233139,0.292033,0.027453,-0.013245,-0.410887
25,-0.345032,-0.236275,0.414762,-0.033089,-0.031449,0.410494
26,-0.230880,0.256130,0.279451,0.025727,-0.010712,-0.410983
27,-0.307837,-0.216440,0.399413,-0.034213,-0.029482,0.410313
28,-0.197590,0.272348,0.268222,0.024669,-0.008132,-0.411044
29,-0.270676,-0.202631,0.385458,-0.034741,-0.027368,0.410163
30,-0.164889,0.283490,0.258293,0.024060,-0.005506,-0.411074
