Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,2.787206,-1.383236,-25.466560,0.594098,-1.143494,0.025015,0.741461
2,-8.897106,-4.197094,-13.351151,1.152833,-3.219228,0.007701,0.743705
3,-10.879556,-3.908691,-8.484661,1.088729,-3.319917,-0.008098,0.746661
4,-10.155728,-3.150066,-5.946679,0.892477,-2.936339,-0.012399,0.750081
5,-8.746794,-2.388546,-4.399017,0.689793,-2.464744,-0.012014,0.753822
6,-7.302084,-1.741562,-3.351123,0.514993,-2.024122,-0.010263,0.757786
7,-6.005833,-1.221782,-2.602818,0.372995,-1.643323,-0.008311,0.761902
8,-4.894051,-0.813698,-2.057015,0.260366,-1.323578,-0.006531,0.766116
9,-3.957443,-0.496924,-1.657500,0.172005,-1.058347,-0.005011,0.770389
10,-3.175817,-0.253677,-1.365639,0.103243,-0.839784,-0.003742,0.774687
11,-2.526647,-0.068411,-1.154096,0.050049,-0.660289,-0.002696,0.778988
12,-1.988128,0.072001,-1.003196,0.009043,-0.512993,-0.001843,0.783275
13,-1.543030,0.176277,-0.895795,-0.022208,-0.392385,-0.001143,0.787533
14,-1.174534,0.253510,-0.821009,-0.045962,-0.293436,-0.000579,0.791752
15,-0.869102,0.309660,-0.769561,-0.063862,-0.212121,-0.000123,0.795924
16,-0.615219,0.349728,-0.734514,-0.077234,-0.145058,0.000244,0.800045
17,-0.403759,0.377558,-0.710115,-0.087117,-0.089561,0.000537,0.804110
18,-0.225579,0.396860,-0.693945,-0.094454,-0.043142,0.000769,0.808115
19,-0.075081,0.409895,-0.681833,-0.099886,-0.004128,0.000952,0.812059
20,0.053602,0.418480,-0.672217,-0.103932,0.029067,0.001098,0.815940
21,0.165227,0.424479,-0.664216,-0.107053,0.057725,0.001214,0.819756
22,0.263434,0.429144,-0.656979,-0.109604,0.082824,0.001309,0.823506
23,0.349646,0.432712,-0.647273,-0.111729,0.104886,0.001387,0.827189
24,0.429046,0.436819,-0.639705,-0.113775,0.125048,0.001457,0.830806
25,0.500659,0.440982,-0.629151,-0.115730,0.143278,0.001520,0.834354
26,0.567923,0.446084,-0.619216,-0.117777,0.160329,0.001582,0.837834
