Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.876087,-0.740383,0.515799,0.085827,-0.113553,0.000001
3,-0.854496,-0.731659,0.505367,0.086424,-0.110833,-0.004032
4,-0.833562,-0.724846,0.493623,0.086907,-0.107961,0.003105
5,-0.811131,-0.714593,0.484205,0.087501,-0.105517,-0.009413
6,-0.790971,-0.709775,0.470830,0.087670,-0.102448,0.012634
7,-0.766401,-0.694351,0.464665,0.088244,-0.100556,-0.026097
8,-0.749149,-0.696187,0.446143,0.087671,-0.096644,0.042039
9,-0.718574,-0.665945,0.449778,0.088597,-0.096293,-0.077695
10,-0.710933,-0.690097,0.414904,0.086294,-0.089664,0.132832
11,-0.662515,-0.616457,0.448356,0.089054,-0.094034,-0.237197
12,-0.685262,-0.712480,0.362213,0.082261,-0.078966,0.413342
13,-0.584132,-0.447235,0.447490,0.095322,-0.092608,-0.574956
14,-0.670551,-0.790193,0.318888,0.070100,-0.068935,0.749355
15,-0.510431,-0.208182,0.406667,0.103037,-0.085896,-0.748337
16,-0.626558,-0.722527,0.298257,0.059680,-0.063463,0.748996
17,-0.470133,-0.139935,0.387454,0.091414,-0.081201,-0.748564
18,-0.582575,-0.652419,0.279802,0.047206,-0.057937,0.748777
19,-0.429988,-0.070596,0.370178,0.078315,-0.076380,-0.748679
20,-0.539152,-0.582709,0.262898,0.033793,-0.052511,0.748649
21,-0.389854,-0.002915,0.354608,0.064763,-0.071388,-0.748719
22,-0.496257,-0.515970,0.247278,0.020395,-0.047176,0.748578
23,-0.349747,0.060616,0.340488,0.051629,-0.066221,-0.748716
24,-0.453918,-0.454407,0.232689,0.007790,-0.041925,0.748536
25,-0.309755,0.118241,0.327506,0.039587,-0.060897,-0.748697
26,-0.412185,-0.399477,0.218856,-0.003453,-0.036752,0.748500
27,-0.270008,0.168707,0.315367,0.029121,-0.055442,-0.748678
28,-0.371130,-0.352132,0.205531,-0.012954,-0.031650,0.748456
29,-0.230759,0.211377,0.303770,0.020494,-0.049916,-0.748672
30,-0.330877,-0.312688,0.192502,-0.020547,-0.026624,0.748394
31,-0.192230,0.246108,0.292481,0.013810,-0.044373,-0.748682
32,-0.291608,-0.281015,0.179580,-0.026222,-0.021696,0.748314
33,-0.154695,0.273271,0.281302,0.008998,-0.038884,-0.748710
34,-0.253442,-0.256570,0.166669,-0.030096,-0.016874,0.748217
35,-0.118407,0.293537,0.270088,0.005897,-0.033517,-0.748752
36,-0.216558,-0.238488,0.153703,-0.032396,-0.012185,0.748105
37,-0.083584,0.307911,0.258777,0.004237,-0.028332,-0.748803
38,-0.181061,-0.225705,0.140704,-0.033406,-0.007645,0.747986
39,-0.050395,0.317440,0.247357,0.003738,-0.023379,-0.748858
40,-0.147144,-0.217134,0.127663,-0.033421,-0.003298,0.747864
41,-0.019030,0.323243,0.235828,0.004094,-0.018717,-0.748911
42,-0.114933,-0.211633,0.114639,-0.032753,0.000826,0.747744
43,0.010426,0.326446,0.224256,0.004997,-0.014375,-0.748958
44,-0.084478,-0.208169,0.101727,-0.031685,0.004712,0.747633
45,0.037930,0.328027,0.212728,0.006178,-0.010374,-0.748994
46,-0.055800,-0.205825,0.089042,-0.030463,0.008351,0.747534
47,0.063528,0.328818,0.201358,0.007419,-0.006708,-0.749016
48,-0.028923,-0.203858,0.076667,-0.029287,0.011729,0.747450
