Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,6.091086,-1.522403,-16.468321,0.654005,0.013222,0.014476,0.741134
2,1.279210,-0.563577,0.810514,0.077215,0.377281,0.005790,0.742212
3,-1.000219,-0.066861,1.898102,-0.025261,-0.068819,-0.000818,0.743191
4,-1.003357,-0.089774,1.366886,-0.010516,-0.114511,-0.000580,0.744062
5,-0.841530,-0.083274,1.168084,-0.008152,-0.093778,-0.000416,0.744850
6,-0.731316,-0.055632,1.046188,-0.011419,-0.078816,-0.000415,0.745562
7,-0.638698,-0.029748,0.933745,-0.014481,-0.067146,-0.000425,0.746210
8,-0.556809,-0.007945,0.833399,-0.016948,-0.056910,-0.000428,0.746799
9,-0.484743,0.009986,0.744481,-0.018824,-0.047960,-0.000428,0.747335
10,-0.420668,0.025238,0.665199,-0.020337,-0.040026,-0.000426,0.747825
11,-0.364444,0.037861,0.595035,-0.021479,-0.033117,-0.000422,0.748273
12,-0.315002,0.047989,0.532745,-0.022257,-0.027092,-0.000415,0.748684
13,-0.271491,0.056399,0.477439,-0.022820,-0.021832,-0.000408,0.749062
14,-0.233353,0.062945,0.428486,-0.023122,-0.017261,-0.000399,0.749410
15,-0.199740,0.068101,0.384636,-0.023235,-0.013291,-0.000389,0.749732
16,-0.170591,0.071922,0.346292,-0.023186,-0.009873,-0.000379,0.750030
17,-0.144711,0.074807,0.311545,-0.023011,-0.006898,-0.000368,0.750306
18,-0.122094,0.076727,0.280955,-0.022726,-0.004314,-0.000357,0.750562
19,-0.102277,0.077830,0.253414,-0.022327,-0.002111,-0.000346,0.750801
20,-0.084839,0.078274,0.228853,-0.021857,-0.000199,-0.000334,0.751025
21,-0.069851,0.078071,0.207527,-0.021318,0.001429,-0.000323,0.751234
22,-0.056622,0.077439,0.187672,-0.020720,0.002777,-0.000311,0.751430
23,-0.045098,0.076591,0.170475,-0.020138,0.003964,-0.000301,0.751614
24,-0.035229,0.075296,0.155045,-0.019498,0.004921,-0.000290,0.751788
25,-0.026426,0.073728,0.141154,-0.018833,0.005766,-0.000279,0.751952
26,-0.019165,0.072012,0.128734,-0.018171,0.006381,-0.000269,0.752106
27,-0.012521,0.069938,0.117651,-0.017463,0.006970,-0.000258,0.752253
28,-0.006800,0.067964,0.107402,-0.016793,0.007418,-0.000249,0.752393
29,-0.002275,0.065630,0.098837,-0.016087,0.007734,-0.000239,0.752526
30,0.002060,0.063626,0.090380,-0.015454,0.008016,-0.000230,0.752652
31,0.005296,0.061379,0.083638,-0.014808,0.008192,-0.000221,0.752772
32,0.008922,0.059137,0.076011,-0.014139,0.008382,-0.000213,0.752888
33,0.010970,0.056749,0.071096,-0.013510,0.008441,-0.000204,0.752998
34,0.013129,0.054569,0.065481,-0.012902,0.008465,-0.000197,0.753104
35,0.014906,0.052075,0.060699,-0.012250,0.008472,-0.000189,0.753206
36,0.016485,0.050206,0.055938,-0.011731,0.008435,-0.000182,0.753304
37,0.017512,0.047740,0.052524,-0.011116,0.008387,-0.000175,0.753398
38,0.018305,0.045851,0.048806,-0.010620,0.008256,-0.000169,0.753489
39,0.019067,0.043751,0.045492,-0.010086,0.008155,-0.000163,0.753577
40,0.019695,0.041708,0.042409,-0.009571,0.008042,-0.000156,0.753662
41,0.020177,0.039722,0.039580,-0.009072,0.007916,-0.000151,0.753744
42,0.020411,0.037870,0.037175,-0.008616,0.007769,-0.000145,0.753823
43,0.020516,0.036026,0.034970,-0.008162,0.007610,-0.000140,0.753900
44,0.020619,0.034343,0.032698,-0.007746,0.007443,-0.000135,0.753975
45,0.020532,0.032597,0.030879,-0.007326,0.007272,-0.000130,0.754047
46,0.020419,0.030919,0.029228,-0.006922,0.007110,-0.000126,0.754118
47,0.020378,0.029502,0.027276,-0.006569,0.006937,-0.000122,0.754186
48,0.019949,0.027866,0.026064,-0.006188,0.006738,-0.000117,0.754253
49,0.019811,0.026590,0.024415,-0.005872,0.006569,-0.000114,0.754318
50,0.019479,0.025195,0.023338,-0.005547,0.006404,-0.000110,0.754382
51,0.019070,0.023695,0.022070,-0.005192,0.006204,-0.000106,0.754444
52,0.018778,0.022605,0.021005,-0.004933,0.006048,-0.000103,0.754504
53,0.018467,0.021269,0.019737,-0.004614,0.005871,-0.000100,0.754563
54,0.017864,0.020275,0.019236,-0.004390,0.005692,-0.000097,0.754621
55,0.017679,0.019255,0.017675,-0.004130,0.005517,-0.000095,0.754677
56,0.017183,0.017924,0.017344,-0.003839,0.005378,-0.000091,0.754733
57,0.016704,0.017020,0.016445,-0.003621,0.005193,-0.000089,0.754787
58,0.016244,0.016228,0.015749,-0.003437,0.005029,-0.000087,0.754840
59,0.015824,0.015096,0.015108,-0.003177,0.004879,-0.000084,0.754892
60,0.015405,0.014385,0.014316,-0.003007,0.004716,-0.000082,0.754943
61,0.015208,0.013665,0.013464,-0.002832,0.004600,-0.000080,0.754993
62,0.014667,0.012876,0.013096,-0.002656,0.004445,-0.000078,0.755042
63,0.014147,0.012195,0.012692,-0.002500,0.004292,-0.000076,0.755090
64,0.013738,0.011252,0.012148,-0.002285,0.004153,-0.000074,0.755137
65,0.013197,0.010708,0.011658,-0.002157,0.003987,-0.000073,0.755184
66,0.013265,0.010291,0.010630,-0.002046,0.003916,-0.000071,0.755230
67,0.012784,0.009432,0.010613,-0.001861,0.003805,-0.000069,0.755275
68,0.012049,0.008907,0.010482,-0.001747,0.003625,-0.000068,0.755319
69,0.011753,0.008231,0.009986,-0.001590,0.003515,-0.000066,0.755363
70,0.011378,0.007937,0.009538,-0.001519,0.003391,-0.000065,0.755406
71,0.011184,0.007401,0.009003,-0.001394,0.003301,-0.000063,0.755448
72,0.010683,0.007025,0.008833,-0.001311,0.003172,-0.000062,0.755490
73,0.010517,0.006594,0.008398,-0.001210,0.003097,-0.000061,0.755531
74,0.010082,0.006156,0.008135,-0.001111,0.002975,-0.000060,0.755571
75,0.009624,0.005767,0.007984,-0.001026,0.002857,-0.000059,0.755611
76,0.009467,0.005356,0.007605,-0.000930,0.002789,-0.000057,0.755651
