Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,2.181058,-1.569635,-29.824070,0.716555,-1.582424,0.024008,0.741634
2,-10.884378,-4.926149,-15.795349,1.356590,-3.894937,0.007694,0.744269
3,-12.997473,-4.614813,-10.091639,1.283422,-3.964481,-0.009903,0.747745
4,-12.066911,-3.748271,-7.070777,1.057750,-3.490025,-0.014821,0.751770
5,-10.357076,-2.864009,-5.218475,0.822001,-2.917441,-0.014340,0.756170
6,-8.608119,-2.103189,-3.966209,0.616424,-2.382666,-0.012224,0.760825
7,-7.032310,-1.483386,-3.077786,0.447368,-1.918937,-0.009852,0.765648
8,-5.674926,-0.990179,-2.434094,0.311612,-1.528229,-0.007662,0.770573
9,-4.526300,-0.602273,-1.965958,0.203767,-1.202990,-0.005763,0.775550
10,-3.563501,-0.298887,-1.626078,0.118531,-0.934026,-0.004162,0.780542
11,-2.759852,-0.063639,-1.380883,0.051520,-0.712251,-0.002821,0.785519
12,-2.092129,0.118244,-1.203856,-0.001040,-0.529901,-0.001712,0.790460
13,-1.536557,0.257747,-1.077466,-0.042111,-0.379739,-0.000789,0.795348
14,-1.075170,0.364103,-0.985907,-0.074101,-0.256116,-0.000028,0.800171
15,-0.690776,0.444857,-0.919038,-0.098994,-0.153960,0.000598,0.804918
16,-0.368377,0.506286,-0.870247,-0.118424,-0.068999,0.001115,0.809584
17,-0.098224,0.552944,-0.831003,-0.133623,0.001794,0.001538,0.814163
18,0.131427,0.588641,-0.799584,-0.145631,0.061553,0.001892,0.818650
19,0.328241,0.616631,-0.772805,-0.155276,0.112456,0.002186,0.823043
20,0.498360,0.639171,-0.747932,-0.163197,0.156243,0.002435,0.827340
21,0.647764,0.658388,-0.725015,-0.169942,0.194484,0.002651,0.831538
22,0.780382,0.675546,-0.702839,-0.175893,0.228270,0.002844,0.835636
23,0.900016,0.691864,-0.682146,-0.181367,0.258580,0.003022,0.839633
24,1.009499,0.707985,-0.663711,-0.186557,0.286144,0.003193,0.843528
25,1.110021,0.724414,-0.646569,-0.191620,0.311336,0.003359,0.847321
26,1.204118,0.741278,-0.633454,-0.196612,0.334745,0.003528,0.851011
27,1.293350,0.759187,-0.627566,-0.201646,0.356711,0.003699,0.854599
28,1.376169,0.776694,-0.623799,-0.206499,0.377017,0.003875,0.858084
29,1.455908,0.794512,-0.631648,-0.211237,0.396300,0.004053,0.861468
30,1.529605,0.811448,-0.643867,-0.215662,0.414025,0.004230,0.864751
31,1.600123,0.826933,-0.670347,-0.219600,0.430720,0.004403,0.867935
32,1.662538,0.840026,-0.696625,-0.222894,0.445501,0.004563,0.871021
33,1.723621,0.850099,-0.748422,-0.225290,0.459573,0.004712,0.874011
34,1.770177,0.855954,-0.776393,-0.226731,0.470587,0.004829,0.876908
35,1.829081,0.855878,-0.898115,-0.226296,0.483240,0.004927,0.879715
36,1.815582,0.858042,-0.699828,-0.227613,0.483058,0.004960,0.882430
37,2.077522,0.795667,-2.104381,-0.207534,0.528172,0.004984,0.885077
38,0.696344,1.248277,6.962315,-0.345692,0.306216,0.005342,0.887530
39,11.744806,-4.094858,-76.065598,1.169272,2.058044,-0.006171,0.890973
40,-150.898773,80.423439,1131.180542,-25.035194,-18.703148,-0.499445,0.876545
41,-21.160250,-385.983093,-4769.530273,92.138908,12.742288,-6.130574,0.921739
42,-17055.437500,-38022.671875,-25541.398438,290.348877,1226.520874,-2157.652344,-0.788423
43,129799.601562,105550.539062,70988.585938,32822.156250,-17260.480469,-42223.976562,0.126074
44,-887.321533,-153.813553,354.422943,42.890778,-255.776016,52.244747,0.180368
45,3071.657227,-1245.487183,580.384827,300.492676,855.113831,127.458885,0.127344
46,-2526.190430,-2045.818481,-138.734421,480.497437,-613.035828,5.748647,0.185581
47,1693.265503,950.283020,670.088440,-265.130676,469.589539,13.291636,0.152981
48,-2142.165039,-172.631882,-758.764465,70.730309,-556.981323,74.837753,0.180535
49,906.129639,-678.140564,21.835732,122.239151,271.477966,-16.270575,0.168029
50,-188.709290,-581.792603,183.550552,152.294174,-110.343620,7.746381,0.187372
51,990.663635,376.267365,-241.851807,-120.628006,301.199799,-12.018109,0.172035
52,-282.583649,-1511.279297,192.530563,388.076935,-133.614700,24.789858,0.185401
53,-261.108368,468.548065,-1058.408936,-139.693878,-33.895054,5.435033,0.197788
54,-22.112295,1526.685791,2714.000977,-249.657974,-28.053888,14.780342,0.187644
55,96.817444,-2930.111328,-1679.876587,650.633240,83.162445,-50.048496,0.205792
56,-613.521545,2199.881836,-1326.000732,-403.975525,26.818113,158.977295,0.394808
57,210.065231,-158.783768,1110.116577,83.836731,-28.893795,-5.521354,0.548592
58,-607.337708,670.919556,408.543762,-116.664146,-87.215927,11.833434,0.648818
59,-562.232849,-590.700195,875.356384,68.833237,-120.327545,9.816943,0.740754
60,148.685959,353.051697,-1348.413818,-49.527954,74.631966,-4.224171,0.817784
61,-300.330292,-459.909119,442.610138,91.364632,-67.049942,15.782179,0.884597
62,230.950760,-108.345673,-622.523010,25.899588,72.184418,0.965245,0.930031
63,51.891071,-646.625061,512.434387,157.288773,-1.119230,21.346075,0.954398
64,117.297974,-434.920380,-97.225159,84.994141,23.086859,16.540081,0.947376
65,39715.062500,-943791.562500,-315837.906250,-147264.687500,6497.645996,42160.457031,-0.136079
66,23354.921875,1541.717285,-21909.671875,2241.800781,4571.872070,2398.785400,0.027809
67,15419.642578,16385.214844,22510.673828,7099.951660,5338.933105,-8385.371094,-0.076518
68,-111855.742188,57014.777344,31300.980469,-2481.482422,-5178.054199,-8853.567383,-0.153589
69,-2257164.000000,-78533.023438,706347.875000,-94431.328125,437379.906250,-130495.671875,0.439713
70,-5532.597656,-3618.304199,7369.026855,762.790771,1613.515259,1461.901855,0.016713
71,8006.191895,11093.237305,16787.400391,4249.434570,-1806.219360,-684.457581,0.020491
72,978.784180,-740.839417,1051.603149,-205.485596,-277.060242,-8.830291,0.341290
73,-137322.125000,778431.562500,-22265.777344,-105271.093750,-20233.310547,-112547.585938,-0.183875
74,228623.062500,86377.484375,-138358.781250,12084.067383,-4505.312988,17587.728516,0.307168
75,655.121643,-10996.065430,-1955.706421,1822.218628,-179.028458,1069.056519,0.129883
76,838.402527,5967.519043,-4111.225586,1422.432129,-782.580994,-919.424072,0.101978
77,5004.495117,-7182.080566,374.190735,1520.217407,789.361877,270.688538,-0.380555
78,6451.013672,2633.524902,1740.201904,-553.875732,896.458069,466.110077,-0.144405
79,-1345.050781,3823.317871,-20164.388672,-3136.600586,-1763.715210,-422.855804,-0.149773
80,1861.096680,9440.501953,20322.099609,-3733.538818,-2810.170898,1801.270630,-0.350615
81,-144394.921875,-428674.531250,88397.742188,2913.538818,2680.812500,373.631714,0.250292
82,-1632.619385,3105.127441,-543.974121,-654.596436,-273.341980,358.739990,0.390694
83,5760.082520,-5324.915527,2340.534912,1151.026489,1100.572876,-383.303284,0.947610
84,-1415.950317,-914.270142,2704.675293,494.914520,-126.097847,221.598572,0.376442
85,-5821.438965,-1222.076050,-748.692993,-215.559799,-175.915176,1408.253662,0.726087
86,-11699.853516,4322.354980,-588.308655,-1009.145691,-2432.516846,446.258484,0.254355
87,-205331.187500,161064.375000,1254255.500000,-81532.804688,-152079.671875,10574.189453,-0.104211
