Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,-2.536009,0.301437,9.700737,-0.197779,0.205558,-0.012901
2,-1.772371,1.979480,32.573936,-1.085107,2.336059,-0.017803
3,-8.858678,0.621859,21.284306,-0.612450,-0.103423,-0.018291
4,-11.319466,-0.772082,15.369887,-0.194311,-1.190612,-0.014412
5,-11.404093,-1.705270,11.766234,0.093590,-1.533384,-0.009530
6,-10.544196,-2.228134,9.419501,0.269265,-1.556848,-0.004677
7,-9.363356,-2.448632,7.795848,0.363670,-1.450157,-0.000723
8,-8.126824,-2.465312,6.614944,0.403072,-1.296894,0.002172
9,-6.941875,-2.354444,5.721825,0.407257,-1.133362,0.004126
10,-5.846552,-2.170099,5.025315,0.390134,-0.974699,0.005343
11,-4.849549,-1.948546,4.468189,0.361052,-0.826707,0.006025
12,-3.947279,-1.712985,4.012305,0.326068,-0.691006,0.006339
13,-3.131865,-1.477507,3.630904,0.288944,-0.567495,0.006412
14,-2.394262,-1.250217,3.304479,0.251941,-0.455359,0.006331
15,-1.725734,-1.035330,3.018629,0.216323,-0.353545,0.006159
16,-1.118355,-0.834648,2.762415,0.182733,-0.260981,0.005936
17,-0.565175,-0.648547,2.527378,0.151441,-0.176677,0.005688
18,-0.060335,-0.476592,2.307208,0.122492,-0.099753,0.005430
19,0.401146,-0.317909,2.097150,0.095788,-0.029441,0.005172
20,0.823393,-0.171538,1.893604,0.071198,0.034908,0.004920
21,1.209768,-0.036411,1.693980,0.048547,0.093832,0.004675
22,1.562982,0.088375,1.496611,0.027672,0.147780,0.004440
23,1.885317,0.203684,1.300251,0.008415,0.197118,0.004215
24,2.178452,0.310205,1.104358,-0.009351,0.242121,0.003998
25,2.443949,0.408568,0.908841,-0.025761,0.283066,0.003792
26,2.682827,0.499189,0.713739,-0.040887,0.320089,0.003594
27,2.896154,0.582465,0.519720,-0.054820,0.353392,0.003406
28,3.084807,0.658649,0.327290,-0.067610,0.383098,0.003227
29,3.249572,0.728028,0.137232,-0.079322,0.409319,0.003057
30,3.391189,0.790650,-0.049479,-0.089959,0.432170,0.002895
31,3.510449,0.846867,-0.231969,-0.099608,0.451756,0.002743
32,-5.672176,-20.841393,50.028957,-1.078253,-2.054439,-0.006630
33,-84.924553,-58.708481,203.331345,0.513141,-29.561094,-13.987282
34,-43.295742,-27.764191,92.126938,0.028457,-13.583589,-4.392533
35,-28.916489,-15.925912,56.782051,-0.684228,-8.358491,-3.331281
36,-27.789759,-12.914779,50.124020,-1.205290,-7.560255,-2.724977
37,-27.257696,-12.058346,48.115845,-1.294024,-7.274765,-2.570119
38,-27.078939,-11.705349,47.319523,-1.299462,-7.185561,-2.512507
39,-27.083120,-11.575583,47.151924,-1.300102,-7.180958,-2.506399
40,-27.070061,-11.384936,46.922649,-1.325544,-7.174805,-2.501654
41,-27.112261,-11.243011,46.923206,-1.366025,-7.189245,-2.511803
42,-27.174515,-11.122365,47.014740,-1.416951,-7.205619,-2.521412
43,-27.356770,-11.141559,47.567017,-1.467063,-7.240500,-2.522005
44,-27.176996,-10.902603,46.997978,-1.479736,-7.203489,-2.522866
45,-27.033522,-10.551602,46.324265,-1.518523,-7.185067,-2.525381
46,-27.295029,-10.472403,46.733509,-1.624754,-7.281766,-2.499315
47,-26.813744,-9.657554,45.133652,-1.617942,-7.172927,-2.469719
48,-27.429798,-9.948021,46.500309,-1.755955,-7.345850,-2.521855
49,-27.341524,-9.673052,46.061848,-1.797049,-7.321630,-2.520968
50,-27.386913,-9.343937,46.079197,-1.877672,-7.350475,-2.517490
51,-27.679676,-9.093848,45.341393,-2.006427,-7.635565,-2.754491
52,-28.223854,-8.750285,45.904285,-2.182655,-7.578202,-2.410635
53,-27.603567,-8.719487,45.556057,-2.168818,-7.454605,-2.447622
54,-27.530556,-8.267436,45.166103,-2.198873,-7.393313,-2.498031
55,-27.245321,-8.021897,44.598061,-2.181076,-7.348744,-2.584803
56,-27.391911,-8.136300,45.434578,-2.339793,-7.495220,-2.551737
57,-27.785793,-7.196369,44.345749,-2.503076,-7.538148,-2.614387
58,-27.758965,-7.125287,44.814327,-2.633165,-7.576567,-2.642953
59,-28.116274,-6.853857,44.427567,-2.688077,-7.728027,-2.697232
60,-27.990141,-6.246332,43.512344,-2.710499,-7.707894,-2.738241
61,-28.103800,-5.761104,44.085396,-2.855525,-7.854952,-2.724314
62,-29.002689,-4.972684,43.378799,-2.538381,-8.027973,-2.729341
63,-33.905510,-2.806208,59.663342,-2.313776,-9.783446,-2.041204
64,-31.836376,0.472794,50.087654,-1.925164,-8.942478,-1.375997
65,-31.132879,-0.702931,48.625248,-1.594439,-8.683525,-1.219620
66,-31.046516,-0.185666,47.275238,-1.408880,-8.638827,-1.023258
67,-31.104038,-0.718872,47.819607,-1.237644,-8.703077,-0.980002
68,-30.699434,-1.007474,47.075150,-1.142287,-8.641652,-0.943895
69,-31.365440,-0.461099,46.835865,-1.177263,-8.729730,-0.706178
70,-31.029148,-0.939794,47.384136,-1.062037,-8.773449,-0.831078
71,-31.098490,-0.777776,46.782520,-1.025077,-9.006907,-0.978809
72,-32.409401,-0.026438,46.192875,-1.073245,-8.860376,-0.789794
73,-32.478104,-1.213211,49.141319,-0.862191,-8.668164,-1.021089
74,-29.651834,-0.877581,46.811253,-0.897571,-8.524587,-0.879514
75,-31.037710,-0.625757,46.524719,-0.873846,-8.713355,-0.895854
76,-31.240976,-0.666555,47.078079,-0.883161,-8.748991,-0.983471
77,-31.822601,-0.522323,48.906612,-0.915620,-8.842675,-0.944310
78,-30.688776,-0.722727,45.752579,-0.818806,-8.668673,-1.070524
79,-31.386221,-0.365112,46.859623,-0.978351,-8.794953,-0.945749
80,-31.856049,-0.246119,48.803680,-0.984003,-8.889784,-0.959247
81,-30.112143,-0.259438,44.991436,-0.881917,-8.763738,-1.073166
82,-32.759869,-0.229837,46.660759,-1.067766,-9.035349,-0.991601
83,-32.082867,0.203638,48.460064,-1.123314,-8.925504,-0.963528
84,-30.761456,-0.491842,47.054474,-0.986885,-8.828469,-1.156379
85,-31.590027,0.201495,45.224373,-1.277592,-9.091424,-1.005901
86,-32.254185,0.712576,46.016304,-1.345861,-8.924603,-0.745539
87,-30.346928,0.277299,45.749023,-1.192189,-9.026635,-0.943852
88,-33.938229,1.037956,45.249958,-1.515970,-9.431831,-1.100228
89,-32.602909,0.740110,47.324963,-1.348516,-9.223980,-0.941758
90,-32.232254,0.409696,47.293068,-1.232564,-8.892315,-0.916218
91,-31.052933,0.070133,48.140072,-1.172212,-8.833412,-0.856067
92,-30.749390,0.556350,43.738647,-1.275219,-8.707707,-0.979573
93,-31.766657,0.541225,46.442089,-1.353068,-9.005683,-1.007657
94,-31.780275,0.610515,46.450649,-1.378639,-9.006938,-1.008160
95,-31.776073,0.802961,46.136127,-1.394062,-8.999782,-1.009594
96,-31.785404,1.396368,46.577831,-1.335643,-9.045184,-1.039494
97,-31.979010,1.393895,45.813938,-1.267631,-8.960342,-1.027754
98,-31.964806,2.534435,48.907314,-1.515877,-9.308020,-0.323718
99,-32.357735,2.167496,46.806545,-1.367994,-9.286784,-0.522498
100,-32.443707,2.236640,47.225574,-1.398029,-9.459354,-0.473088
