Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-1.715187,-1.603444,8.563715,0.163704,-0.282901,-0.000021
3,-1.724141,-1.620616,8.476202,0.180270,-0.291725,-0.000778
4,-1.737334,-1.643609,8.379999,0.199097,-0.302601,-0.001572
5,-1.754561,-1.672035,8.275833,0.220059,-0.315446,-0.002381
6,-1.775611,-1.705488,8.164452,0.243017,-0.330167,-0.003194
7,-1.800287,-1.743538,8.046524,0.267830,-0.346694,-0.003998
8,-1.828350,-1.785752,7.922834,0.294348,-0.364916,-0.004784
9,-1.859572,-1.831677,7.794093,0.322418,-0.384752,-0.005537
10,-1.893731,-1.880862,7.661080,0.351892,-0.406090,-0.006243
11,-1.930591,-1.932859,7.524526,0.382616,-0.428840,-0.006911
12,-1.969919,-1.987210,7.385214,0.414431,-0.452885,-0.007521
13,-2.011460,-2.043472,7.243892,0.447189,-0.478124,-0.008095
14,-2.054985,-2.101195,7.101366,0.480724,-0.504433,-0.008605
15,-2.100269,-2.159951,6.958360,0.514889,-0.531708,-0.009076
16,-2.147052,-2.219315,6.815642,0.549521,-0.559823,-0.009496
17,-2.195127,-2.278880,6.673936,0.584464,-0.588668,-0.009872
18,-2.244243,-2.338246,6.533939,0.619561,-0.618112,-0.010212
19,-2.294174,-2.397045,6.396319,0.654656,-0.648036,-0.010519
20,-2.344683,-2.454930,6.261729,0.689601,-0.678317,-0.010797
21,-2.395530,-2.511556,6.130780,0.724237,-0.708814,-0.011052
22,-2.446493,-2.566615,6.003981,0.758417,-0.739405,-0.011296
23,-2.497335,-2.619820,5.881833,0.791993,-0.769963,-0.011529
24,-2.547825,-2.670902,5.764758,0.824821,-0.800352,-0.011752
25,-2.597730,-2.719614,5.653114,0.856759,-0.830446,-0.011981
26,-2.646808,-2.765747,5.547203,0.887677,-0.860107,-0.012213
27,-2.694825,-2.809088,5.447252,0.917439,-0.889210,-0.012450
28,-2.741542,-2.849458,5.353425,0.945921,-0.917621,-0.012702
29,-2.786732,-2.886701,5.265802,0.973004,-0.945220,-0.012964
30,-2.830154,-2.920668,5.184434,0.998577,-0.971883,-0.013241
31,-2.871577,-2.951233,5.109300,1.022531,-0.997483,-0.013522
32,-2.910773,-2.978278,5.040304,1.044768,-1.021916,-0.013823
33,-2.947503,-3.001718,4.977330,1.065206,-1.045057,-0.014141
34,-2.981571,-3.021453,4.920197,1.083753,-1.066817,-0.014458
35,-3.012729,-3.037420,4.868715,1.100348,-1.087079,-0.014783
36,-3.040797,-3.049546,4.822641,1.114916,-1.105763,-0.015109
37,-3.065569,-3.057786,4.781717,1.127411,-1.122776,-0.015435
38,-3.086874,-3.062093,4.745658,1.137784,-1.138052,-0.015749
39,-3.104510,-3.062430,4.714182,1.146001,-1.151507,-0.016061
40,-3.118338,-3.058777,4.686990,1.152038,-1.163085,-0.016352
41,-3.128210,-3.051112,4.663777,1.155874,-1.172735,-0.016624
42,-3.133980,-3.039433,4.644250,1.157507,-1.180407,-0.016867
43,-3.135535,-3.023735,4.628109,1.156932,-1.186060,-0.017083
44,-3.132799,-3.004032,4.615058,1.154166,-1.189686,-0.017263
45,-3.125655,-2.980334,4.604840,1.149220,-1.191239,-0.017404
46,-3.114034,-2.952676,4.597176,1.142126,-1.190717,-0.017509
47,-3.097893,-2.921085,4.591808,1.132913,-1.188110,-0.017563
48,-3.077210,-2.885609,4.588488,1.121625,-1.183431,-0.017572
49,-3.051955,-2.846313,4.586982,1.108311,-1.176690,-0.017533
50,-3.022106,-2.803247,4.587082,1.093027,-1.167889,-0.017437
51,-2.987671,-2.756480,4.588572,1.075825,-1.157057,-0.017294
52,-2.948678,-2.706084,4.591255,1.056770,-1.144218,-0.017099
53,-2.753499,-2.517503,3.387062,1.019878,-1.023881,-0.016941
54,-2.676606,-2.429371,3.103973,0.991758,-0.984580,-0.016503
55,-2.628482,-2.365394,3.068988,0.964817,-0.966118,-0.015902
56,-2.577541,-2.298083,3.035494,0.936164,-0.946551,-0.015197
57,-2.523941,-2.227634,3.003858,0.905904,-0.925971,-0.014393
58,-2.467795,-2.154242,2.974358,0.874147,-0.904448,-0.013520
59,-2.409239,-2.078118,2.947254,0.841012,-0.882062,-0.012581
60,-2.348417,-1.999460,2.922651,0.806621,-0.858896,-0.011600
61,-2.285457,-1.918487,2.901001,0.771083,-0.835031,-0.010594
62,-2.220461,-1.835398,2.882301,0.734525,-0.810522,-0.009561
63,-2.153569,-1.750419,2.866875,0.697070,-0.785457,-0.008525
64,-2.084886,-1.663730,2.854790,0.658827,-0.759893,-0.007500
65,-2.014511,-1.575551,2.846098,0.619922,-0.733884,-0.006487
66,-1.942560,-1.486099,2.840977,0.580478,-0.707498,-0.005502
67,-1.869105,-1.395543,2.839280,0.540603,-0.680770,-0.004545
68,-1.794226,-1.304079,2.841057,0.500408,-0.653745,-0.003631
69,-0.077538,-0.963461,3.149930,0.315008,-0.061281,-0.004773
70,0.735905,-0.723526,2.824524,0.209819,0.243644,-0.004748
71,0.789021,-0.636903,2.819423,0.175688,0.260347,-0.003605
72,0.842287,-0.550648,2.811289,0.141964,0.277101,-0.002529
73,0.895578,-0.464922,2.800228,0.108711,0.293874,-0.001537
74,0.948940,-0.379821,2.786190,0.075966,0.310689,-0.000639
75,1.002225,-0.295472,2.769283,0.043778,0.327498,0.000158
76,1.055461,-0.211974,2.749474,0.012183,0.344316,0.000868
77,1.108622,-0.129429,2.726791,-0.018779,0.361138,0.001487
78,1.161611,-0.047921,2.701293,-0.049080,0.377933,0.002025
79,1.214338,0.032432,2.673060,-0.078673,0.394668,0.002478
80,1.266846,0.111584,2.642093,-0.107547,0.411370,0.002859
81,1.319001,0.189434,2.608452,-0.135664,0.427987,0.003175
82,1.370737,0.265912,2.572202,-0.163001,0.444498,0.003433
83,1.422058,0.340980,2.533375,-0.189550,0.460910,0.003643
84,1.472837,0.414557,2.492056,-0.215284,0.477176,0.003817
85,1.523000,0.486584,2.448327,-0.240183,0.493271,0.003953
86,1.572579,0.557045,2.402177,-0.264251,0.509210,0.004069
87,1.621452,0.625889,2.353713,-0.287472,0.524952,0.004167
88,1.669633,0.693105,2.302936,-0.309851,0.540501,0.004254
89,1.716925,0.758631,2.250035,-0.331369,0.555788,0.004339
90,1.763388,0.822473,2.194975,-0.352041,0.570837,0.004424
91,1.808940,0.884602,2.137815,-0.371857,0.585617,0.004515
92,21.983236,24.753885,70.894684,2.859614,-5.963554,-0.005022
93,-1.936591,-1.091165,4.273499,0.304694,-0.659550,0.061503
94,-1.964519,-1.154783,4.270720,0.350770,-0.677119,0.057359
95,-5.384985,-7.242915,5.875650,-0.118341,-0.433765,0.051280
96,-1.573846,-0.643017,3.719695,0.322568,-0.669028,0.007788
97,-1.611390,-0.685136,3.719715,0.344107,-0.681603,0.003455
98,-1.642447,-0.725655,3.720502,0.364742,-0.691366,-0.001358
99,-1.669614,-0.763458,3.721563,0.383767,-0.699562,-0.005675
100,-1.692895,-0.798447,3.722880,0.401148,-0.706193,-0.009471
101,-1.712347,-0.830558,3.724434,0.416868,-0.711295,-0.012726
102,-1.728026,-0.859742,3.726197,0.430919,-0.714894,-0.015439
103,-1.739969,-0.885952,3.728160,0.443293,-0.717013,-0.017621
104,-1.748235,-0.909148,3.730304,0.453987,-0.717678,-0.019284
105,-1.752908,-0.929302,3.732603,0.463003,-0.716932,-0.020449
106,-1.754063,-0.946409,3.735044,0.470356,-0.714808,-0.021163
107,-1.751776,-0.960466,3.737614,0.476058,-0.711344,-0.021460
108,-1.746120,-0.971477,3.740294,0.480132,-0.706569,-0.021381
109,-2.903363,-0.976829,7.799462,0.544529,-0.809067,-0.021204
110,-1.157108,-0.759781,4.340484,0.514949,-0.758076,-0.019624
111,-1.350234,-0.630400,4.379817,0.530139,-0.738570,-0.017642
112,-1.430147,-0.823811,4.402927,0.520728,-0.724276,-0.014359
113,-1.403609,-0.780883,4.399556,0.526430,-0.717792,-0.012177
114,-1.395771,-0.788464,4.403177,0.528099,-0.709440,-0.009604
115,-1.387006,-0.794825,4.407004,0.528927,-0.700644,-0.007063
116,-1.377202,-0.800188,4.410933,0.528921,-0.691437,-0.004595
117,-1.366899,-0.804845,4.415166,0.528086,-0.681834,-0.002257
118,-1.355637,-0.808538,4.419502,0.526466,-0.671872,-0.000082
119,-1.343762,-0.811421,4.424072,0.524063,-0.661573,0.001908
120,-1.331052,-0.813378,4.428780,0.520912,-0.650964,0.003682
121,-1.317744,-0.814531,4.433702,0.517037,-0.640070,0.005226
122,-1.303828,-0.814865,4.438824,0.512467,-0.628904,0.006541
123,-1.289250,-0.814321,4.444117,0.507219,-0.617515,0.007608
124,-1.274300,-0.813101,4.449665,0.501339,-0.605898,0.008447
125,-1.258451,-0.810878,4.455265,0.494858,-0.594101,0.009053
126,-1.242713,-0.808205,4.461281,0.487783,-0.582119,0.009456
127,-1.226079,-0.804538,4.467314,0.480172,-0.570011,0.009648
128,-1.209295,-0.800297,4.473626,0.472054,-0.557763,0.009665
129,-1.192036,-0.795290,4.480086,0.463457,-0.545419,0.009518
130,-1.174534,-0.789644,4.486751,0.454406,-0.532993,0.009229
131,-1.156799,-0.783377,4.493614,0.444947,-0.520503,0.008819
132,-1.138788,-0.776481,4.500617,0.435117,-0.507975,0.008308
133,-1.120513,-0.768943,4.507777,0.424937,-0.495434,0.007713
134,-1.102168,-0.760917,4.515106,0.414457,-0.482880,0.007058
