Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,30250724.000000,-22583740.000000,48118604.000000,1925684.750000,4177621.750000,197865.171875
2,53911024.000000,-8633826.000000,-28043402.000000,2194257.500000,1667427.750000,2515681.750000
3,41637480.000000,52338244.000000,-6688030.000000,4419312.000000,-4201826.500000,-4851549.500000
4,130546.828125,132316.625000,-19522.896484,8676.154297,-5902.095703,-18736.349609
5,42558664.000000,497143840.000000,-2260554496.000000,73049752.000000,-58657192.000000,-3689712.500000
6,-30745608.000000,-166023952.000000,150386800.000000,3731794.750000,10464558.000000,14070640.000000
7,12529385.000000,-28196680.000000,216030128.000000,16462138.000000,1177827.250000,-21441142.000000
8,40671260.000000,464865.093750,50575200.000000,-5499711.000000,-44697.382812,4897392.500000
9,2843206656.000000,3598835200.000000,379971456.000000,495793952.000000,-482020608.000000,241027424.000000
10,32304611328.000000,41342681088.000000,-72775139328.000000,-5731452416.000000,2260838656.000000,-622578816.000000
11,1957456768.000000,11169439744.000000,-48380305408.000000,3901839104.000000,-5222841856.000000,-1016858432.000000
12,-2768464128.000000,14164701184.000000,16793996288.000000,-278049472.000000,814094208.000000,-907682624.000000
13,-2381315328.000000,403194656.000000,-1570496896.000000,-36830636.000000,184602864.000000,185055184.000000
14,40952384.000000,71161016.000000,-16346623.000000,-2276737.250000,2080002.750000,3586381.250000
15,1396004.500000,-3469833.000000,86831424.000000,-6287418.000000,2973776.250000,-179305.375000
16,-3252700160.000000,-1869963008.000000,-2964400128.000000,-277620864.000000,-57249836.000000,339034880.000000
17,963321280.000000,-2942233344.000000,802352512.000000,224704016.000000,154964352.000000,297332928.000000
18,1399962368.000000,-1821644032.000000,-1742396160.000000,46842004.000000,722814.000000,38657664.000000
19,10558585856.000000,-21516081152.000000,-14561674240.000000,-30184108.000000,-61069184.000000,-133920256.000000
20,172748464.000000,51374472.000000,-146316560.000000,1933882.125000,-20883768.000000,-8555508.000000
21,26031240.000000,-41802724.000000,-114991288.000000,1292236.750000,-5983566.500000,95322.203125
22,50201736.000000,-201504496.000000,40262524.000000,-1351631.500000,10120752.000000,45913476.000000
23,539270592.000000,-3300647680.000000,-7748945408.000000,-502093.625000,-369801312.000000,170735936.000000
24,-556668480.000000,1497440896.000000,-5616442368.000000,-205640512.000000,170194912.000000,83894552.000000
25,-1987724416.000000,-144240064.000000,454876192.000000,86786008.000000,-56621976.000000,336192512.000000
26,-9014282.000000,29124352.000000,44364056.000000,203657.078125,-2836429.250000,2299276.000000
27,242856064.000000,1261130752.000000,621238912.000000,152870752.000000,-42018688.000000,46702128.000000
28,666015040.000000,274407840.000000,661802048.000000,54184332.000000,-99937928.000000,-4506264.500000
29,-42778132.000000,206888352.000000,-2122362624.000000,-53787696.000000,8919297.000000,6303809.500000
30,132261288.000000,82376944.000000,13295117.000000,-4523533.000000,8634794.000000,-3413354.250000
31,1526131328.000000,1462092544.000000,-590495744.000000,179313728.000000,-248656752.000000,36363064.000000
32,150702848.000000,283373024.000000,-330623840.000000,-38432832.000000,1461687.875000,-14926783.000000
33,393328224.000000,184029392.000000,-253612864.000000,28570760.000000,-12504869.000000,39928640.000000
