Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.083639,-0.012986,1.521354,-0.028560,0.093143,0.000001
3,0.082337,-0.013007,1.506033,-0.028251,0.092130,0.000002
4,0.037956,-0.012705,1.469400,-0.028597,0.076497,-0.000026
5,-0.024756,-0.012279,1.423847,-0.029194,0.054559,-0.000080
6,-0.081416,-0.028582,1.374927,-0.023398,0.034203,-0.000124
7,-0.132291,-0.055906,1.324202,-0.013366,0.015338,-0.000151
8,-0.179941,-0.081686,1.275706,-0.003837,-0.002622,-0.000180
9,-0.224067,-0.105781,1.229674,0.005140,-0.019572,-0.000209
10,-0.264451,-0.128096,1.186255,0.013532,-0.035431,-0.000239
11,-0.300892,-0.148559,1.145565,0.021316,-0.050124,-0.000270
12,-0.333224,-0.167109,1.107676,0.028469,-0.063583,-0.000301
13,-0.361374,-0.183724,1.072581,0.034984,-0.075773,-0.000332
14,-0.385235,-0.198368,1.040273,0.040847,-0.086648,-0.000362
15,-0.404798,-0.211038,1.010676,0.046056,-0.096190,-0.000390
16,-0.420049,-0.221752,0.983697,0.050616,-0.104382,-0.000416
17,-0.431047,-0.230529,0.959185,0.054531,-0.111229,-0.000441
18,-0.437850,-0.237419,0.936982,0.057818,-0.116738,-0.000462
19,-0.440472,-0.239622,0.916229,0.060156,-0.120856,-0.000480
20,-0.439146,-0.239208,0.897274,0.061757,-0.123679,-0.000496
21,-0.434053,-0.236903,0.880067,0.062714,-0.125265,-0.000510
22,-0.425369,-0.232811,0.864393,0.063060,-0.125656,-0.000522
23,-0.413312,-0.227042,0.849990,0.062830,-0.124915,-0.000531
24,-0.398064,-0.219706,0.836663,0.062058,-0.123089,-0.000536
25,-0.379868,-0.210914,0.824168,0.060779,-0.120248,-0.000539
26,-0.358956,-0.200785,0.812288,0.059032,-0.116458,-0.000538
27,-0.335564,-0.189444,0.800820,0.056857,-0.111788,-0.000534
28,-0.309970,-0.177020,0.789542,0.054294,-0.106320,-0.000526
29,-0.282416,-0.163647,0.778275,0.051387,-0.100127,-0.000515
30,-0.253151,-0.149427,0.766858,0.048167,-0.093283,-0.000501
31,-0.222463,-0.134492,0.755112,0.044676,-0.085877,-0.000484
32,-0.190597,-0.118985,0.742903,0.040961,-0.077984,-0.000464
33,-0.157811,-0.102998,0.730098,0.037049,-0.069685,-0.000441
34,-0.124370,-0.086660,0.716582,0.032982,-0.061062,-0.000416
35,-0.090479,-0.070073,0.702274,0.028792,-0.052180,-0.000388
36,-0.056406,-0.053365,0.687083,0.024520,-0.043123,-0.000359
37,-0.022388,-0.036612,0.670932,0.020188,-0.033971,-0.000329
38,0.011417,-0.019929,0.653799,0.015835,-0.024770,-0.000297
39,0.044772,-0.003391,0.635633,0.011482,-0.015599,-0.000265
40,0.077486,0.012907,0.616405,0.007161,-0.006522,-0.000232
41,0.109415,0.028885,0.596112,0.002897,0.002415,-0.000199
42,0.140384,0.044465,0.574759,-0.001284,0.011154,-0.000166
43,0.170251,0.059597,0.552350,-0.005370,0.019646,-0.000133
44,0.198912,0.074217,0.528911,-0.009337,0.027856,-0.000101
45,0.226233,0.088266,0.504465,-0.013166,0.035738,-0.000069
46,0.246618,0.093696,0.476101,-0.013875,0.041498,-0.000003
47,0.246056,0.095417,0.440183,-0.013593,0.040258,-0.000003
48,0.245118,0.096933,0.404194,-0.013301,0.039002,-0.000003
49,0.243801,0.098236,0.368180,-0.012997,0.037728,-0.000003
50,0.242115,0.099332,0.332176,-0.012683,0.036436,-0.000003
51,0.240059,0.100219,0.296210,-0.012358,0.035126,-0.000003
52,0.237643,0.100895,0.260327,-0.012022,0.033797,-0.000004
53,0.234869,0.101364,0.224557,-0.011674,0.032449,-0.000003
54,0.263705,0.102013,0.198410,-0.010895,0.042047,0.000074
55,0.293185,0.102435,0.172396,-0.010091,0.051972,0.000136
56,0.320118,0.102590,0.145624,-0.009305,0.061126,0.000175
57,0.344474,0.102468,0.118156,-0.008535,0.069494,0.000191
58,0.366248,0.102073,0.090065,-0.007782,0.077071,0.000184
59,0.385565,0.114149,0.062925,-0.011931,0.083690,0.000154
60,0.402551,0.135283,0.036354,-0.019657,0.089447,0.000123
61,0.418543,0.154499,0.029813,-0.026932,0.095284,0.000098
62,0.432764,0.171664,0.035666,-0.033608,0.100774,0.000077
63,0.444266,0.186717,0.040619,-0.039526,0.105376,0.000059
64,0.452581,0.199644,0.036059,-0.044605,0.108813,0.000045
65,0.456856,0.210394,0.005122,-0.048697,0.110589,0.000032
66,0.459238,0.219383,-0.026130,-0.052189,0.111813,0.000021
67,0.459825,0.226707,-0.057607,-0.055115,0.112514,0.000011
68,0.458731,0.232427,-0.089221,-0.057495,0.112727,0.000001
69,0.456025,0.236617,-0.120912,-0.059354,0.112471,-0.000009
70,0.451822,0.239382,-0.152599,-0.060728,0.111780,-0.000019
71,0.446197,0.240810,-0.184229,-0.061648,0.110675,-0.000030
72,0.439275,0.240978,-0.215716,-0.062140,0.109195,-0.000041
73,0.431151,0.239995,-0.247007,-0.062241,0.107366,-0.000052
74,0.421919,0.237944,-0.278039,-0.061983,0.105218,-0.000064
75,0.411686,0.234923,-0.308752,-0.061396,0.102782,-0.000076
76,0.400572,0.231031,-0.339081,-0.060517,0.100096,-0.000088
77,0.388653,0.226338,-0.368984,-0.059369,0.097181,-0.000100
78,0.376038,0.220950,-0.398403,-0.057990,0.094069,-0.000112
79,0.362794,0.214931,-0.427307,-0.056402,0.090782,-0.000124
80,0.349021,0.208375,-0.455642,-0.054637,0.087349,-0.000136
81,0.334817,0.201344,-0.483374,-0.052716,0.083800,-0.000147
82,0.320246,0.193919,-0.510456,-0.050669,0.080154,-0.000158
83,0.305378,0.186150,-0.536875,-0.048511,0.076430,-0.000168
84,0.290296,0.178128,-0.562583,-0.046277,0.072655,-0.000178
85,0.275057,0.169892,-0.587559,-0.043977,0.068845,-0.000187
86,0.259726,0.161492,-0.611778,-0.041630,0.065020,-0.000196
87,0.244385,0.152996,-0.635210,-0.039259,0.061204,-0.000203
88,0.229035,0.144427,-0.657851,-0.036871,0.057395,-0.000210
89,0.213828,0.135578,-0.679715,-0.034487,0.053638,0.001664
90,0.198793,0.126819,-0.700720,-0.032128,0.049945,0.003243
91,0.183823,0.118678,-0.720790,-0.029807,0.046287,0.001025
92,0.169088,0.109946,-0.740124,-0.027504,0.042699,0.003188
93,0.154481,0.102085,-0.758459,-0.025265,0.039167,0.000344
94,0.140208,0.093488,-0.776073,-0.023060,0.035729,0.003280
95,0.126064,0.086008,-0.792655,-0.020932,0.032348,-0.000239
96,0.115320,0.077488,-0.809189,-0.018878,0.029544,0.003174
97,0.107759,0.069997,-0.825271,-0.016931,0.027299,-0.000241
98,0.100783,0.061744,-0.840542,-0.014998,0.025232,0.002174
99,0.094224,0.054347,-0.854738,-0.013121,0.023314,-0.000179
100,0.088191,0.047131,-0.868174,-0.011363,0.021575,0.002303
101,0.082447,0.042933,-0.880692,-0.009927,0.019997,-0.000253
102,0.077187,0.038413,-0.892366,-0.008588,0.018560,0.001438
103,0.072286,0.034697,-0.903016,-0.007368,0.017243,-0.000108
104,0.067842,0.030833,-0.912799,-0.006251,0.016061,0.001500
105,0.063753,0.027798,-0.921563,-0.005254,0.014997,-0.000260
106,0.057743,0.024701,-0.929005,-0.004322,0.013693,0.001174
107,0.047941,0.022561,-0.934682,-0.003467,0.011838,-0.000259
108,0.038357,0.020377,-0.939589,-0.002738,0.010026,0.001098
109,0.028878,0.018937,-0.943612,-0.002141,0.008235,-0.000253
110,0.019608,0.017463,-0.946868,-0.001654,0.006485,0.000784
111,0.010466,0.016599,-0.949273,-0.001281,0.004758,-0.000242
112,0.001500,0.015687,-0.950934,-0.000999,0.003061,0.000853
113,-0.007329,0.015366,-0.951752,-0.000819,0.001389,-0.000226
114,-0.015989,0.014996,-0.951847,-0.000713,-0.000257,0.000518
115,-0.024495,0.015058,-0.951137,-0.000690,-0.001875,-0.000133
116,-0.032837,0.015105,-0.949714,-0.000730,-0.003470,0.000581
117,-0.041039,0.015555,-0.947508,-0.000838,-0.005041,-0.000188
118,-0.049062,0.015932,-0.944615,-0.000992,-0.006585,0.000528
119,-0.056941,0.016648,-0.940966,-0.001195,-0.008105,-0.000167
120,-0.064638,0.017297,-0.936644,-0.001439,-0.009598,0.000491
121,-0.072195,0.018229,-0.931605,-0.001716,-0.011069,-0.000146
122,-0.079563,0.018672,-0.925894,-0.001972,-0.012520,0.000479
123,-0.086624,0.016334,-0.919295,-0.001888,-0.013971,-0.000125
124,-0.093455,0.013696,-0.912075,-0.001742,-0.015373,0.000430
125,-0.100123,0.011117,-0.904207,-0.001548,-0.016741,-0.000109
126,-0.106562,0.008275,-0.895739,-0.001298,-0.018058,0.000393
127,-0.112825,0.005476,-0.886643,-0.000998,-0.019339,-0.000096
128,-0.118885,0.002428,-0.876979,-0.000641,-0.020578,0.000334
129,-0.124785,-0.000576,-0.866728,-0.000242,-0.021785,-0.000087
130,-0.130488,-0.003785,-0.855932,0.000204,-0.022952,0.000295
131,-0.136021,-0.006965,-0.844573,0.000693,-0.024084,-0.000081
132,-0.141361,-0.010319,-0.832698,0.001223,-0.025177,0.000238
133,-0.146537,-0.013622,-0.820291,0.001782,-0.026237,-0.000077
134,-0.151558,-0.017078,-0.807411,0.002379,-0.027270,0.000179
135,-0.156397,-0.020492,-0.794032,0.003002,-0.028263,-0.000074
136,-0.161074,-0.024002,-0.780195,0.003649,-0.029226,0.000129
137,-0.165589,-0.027477,-0.765903,0.004318,-0.030157,-0.000073
138,-0.169971,-0.031021,-0.751197,0.005008,-0.031067,0.000052
139,-0.174178,-0.034532,-0.736057,0.005711,-0.031939,-0.000072
140,-0.178242,-0.038067,-0.720536,0.006424,-0.032786,0.000011
141,-0.182169,-0.041560,-0.704634,0.007143,-0.033608,-0.000072
142,-0.185935,-0.045060,-0.688367,0.007872,-0.034397,-0.000072
143,-0.189577,-0.048522,-0.671766,0.008599,-0.035166,-0.000071
144,-0.193062,-0.051955,-0.654834,0.009327,-0.035903,-0.000071
145,-0.196443,-0.055353,-0.637607,0.010053,-0.036626,-0.000071
146,-0.199666,-0.058703,-0.620088,0.010774,-0.037316,-0.000070
147,-0.202769,-0.062007,-0.602306,0.011488,-0.037985,-0.000070
148,-0.205730,-0.065260,-0.584269,0.012195,-0.038626,-0.000069
149,-0.208560,-0.068440,-0.566001,0.012887,-0.039243,-0.000069
150,-0.211278,-0.071568,-0.547526,0.013569,-0.039841,-0.000068
151,-0.213863,-0.074629,-0.528858,0.014239,-0.040413,-0.000067
152,-0.216341,-0.077623,-0.510020,0.014894,-0.040968,-0.000066
153,-0.218674,-0.080538,-0.491018,0.015531,-0.041492,-0.000064
154,-0.220909,-0.083393,-0.471891,0.016157,-0.042002,-0.000063
155,-0.223024,-0.086166,-0.452643,0.016764,-0.042489,-0.000061
156,-0.225019,-0.088853,-0.433297,0.017349,-0.042955,-0.000060
157,-0.226900,-0.091462,-0.413873,0.017918,-0.043399,-0.000058
158,-0.228665,-0.094003,-0.394388,0.018472,-0.043823,-0.000056
159,-0.230304,-0.096442,-0.374854,0.018999,-0.044222,-0.000054
160,-0.231827,-0.097491,-0.355209,0.019017,-0.044615,-0.000047
161,-0.233226,-0.098471,-0.335558,0.019024,-0.044984,-0.000041
162,-0.234500,-0.099383,-0.315918,0.019017,-0.045329,-0.000035
163,-0.235646,-0.100224,-0.296302,0.018998,-0.045646,-0.000029
164,-0.236671,-0.100991,-0.276729,0.018965,-0.045940,-0.000023
165,-0.237578,-0.101689,-0.257219,0.018919,-0.046212,-0.000017
166,-0.238362,-0.102315,-0.237787,0.018861,-0.046459,-0.000011
167,-0.239033,-0.102869,-0.218451,0.018789,-0.046686,-0.000005
168,-0.238714,-0.103335,-0.199037,0.018710,-0.046590,-0.000002
169,-0.236731,-0.103702,-0.179421,0.018629,-0.045940,-0.000002
170,-0.234616,-0.103998,-0.159951,0.018535,-0.045264,-0.000002
171,-0.232373,-0.104221,-0.140637,0.018428,-0.044563,-0.000002
172,-0.229998,-0.104373,-0.121493,0.018309,-0.043837,-0.000003
173,-0.227494,-0.104453,-0.102544,0.018177,-0.043086,-0.000003
174,-0.224862,-0.104460,-0.083791,0.018033,-0.042311,-0.000003
175,-0.222102,-0.104399,-0.065254,0.017876,-0.041512,-0.000003
176,-0.219215,-0.104261,-0.046947,0.017706,-0.040689,-0.000003
177,-0.216203,-0.104055,-0.028885,0.017525,-0.039844,-0.000003
178,-0.213066,-0.103776,-0.011077,0.017331,-0.038977,-0.000003
179,-0.209806,-0.103425,0.006461,0.017126,-0.038088,-0.000003
180,-0.206424,-0.103004,0.023723,0.016908,-0.037178,-0.000003
181,-0.202924,-0.102513,0.040697,0.016679,-0.036247,-0.000004
182,-0.199303,-0.101948,0.057364,0.016438,-0.035296,-0.000004
183,-0.196229,-0.101440,0.064136,0.016276,-0.034642,-0.000004
184,-0.193513,-0.100945,0.063638,0.016169,-0.034202,-0.000004
185,-0.190662,-0.100368,0.063084,0.016050,-0.033740,-0.000004
186,-0.187683,-0.099707,0.062476,0.015919,-0.033258,-0.000004
187,-0.184575,-0.098969,0.061814,0.015777,-0.032755,-0.000004
188,-0.181344,-0.098149,0.061101,0.015623,-0.032232,-0.000004
189,-0.177993,-0.097250,0.060336,0.015457,-0.031689,-0.000004
190,-0.173917,-0.096177,0.068688,0.015195,-0.030823,-0.000004
191,-0.169260,-0.094956,0.084038,0.014854,-0.029701,-0.000004
192,-0.164515,-0.093675,0.099078,0.014503,-0.028564,-0.000004
193,-0.159683,-0.092333,0.113803,0.014144,-0.027413,-0.000004
194,-0.154764,-0.090931,0.128202,0.013775,-0.026249,-0.000004
195,-0.149765,-0.089468,0.142266,0.013397,-0.025073,-0.000004
196,-0.144686,-0.087949,0.155995,0.013010,-0.023885,-0.000003
197,-0.139533,-0.086371,0.169375,0.012615,-0.022686,-0.000003
198,-0.139815,-0.088619,0.180751,0.013596,-0.023329,-0.000005
199,-0.147212,-0.097630,0.189469,0.017034,-0.026352,-0.000008
200,-0.153756,-0.105675,0.198138,0.020128,-0.029105,-0.000011
201,-0.159453,-0.112743,0.206755,0.022875,-0.031588,-0.000015
202,-0.164273,-0.118861,0.215333,0.025284,-0.033790,-0.000018
203,-0.168245,-0.124073,0.223853,0.027373,-0.035722,-0.000022
204,-0.171383,-0.128414,0.232309,0.029153,-0.037387,-0.000027
205,-0.173669,-0.131841,0.240725,0.030645,-0.038776,-0.000659
206,-0.175155,-0.134361,0.249093,0.031910,-0.039901,-0.003063
207,-0.175739,-0.136913,0.257254,0.032917,-0.040755,-0.000147
208,-0.175650,-0.137830,0.265473,0.033660,-0.041372,-0.003343
