Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,4.984677,0.093530,-28.229082,0.267970,-0.266059,-0.000308,0.741521
2,-6.449920,-2.435169,-21.050566,0.749924,-2.324758,-0.001251,0.744208
3,-10.579665,-3.097255,-18.022129,0.904267,-3.118900,-0.001581,0.748176
4,-12.476492,-3.366399,-15.951829,0.982705,-3.562031,-0.001592,0.753244
5,-13.844677,-3.612193,-13.759180,1.054336,-3.961995,-0.001532,0.759253
6,-15.351983,-3.933931,-10.987107,1.138039,-4.438941,-0.001442,0.766015
7,-17.248686,-4.328544,-7.461844,1.230579,-5.032045,-0.001185,0.773292
8,-19.576300,-4.732490,-3.251366,1.313504,-5.728722,-0.000418,0.780809
9,-22.188143,-5.006248,1.207110,1.351766,-6.457515,0.001561,0.788272
10,-24.491493,-4.870588,4.741136,1.288554,-7.037603,0.006015,0.795435
11,-24.259769,-3.798734,4.174747,1.039121,-6.986293,0.013854,0.802223
12,-13.004049,-1.089642,-11.238096,0.511146,-4.734955,0.016796,0.809034
13,-1012.890198,-2.244096,1249.506104,-0.086204,-160.304199,0.770436,0.779508
14,2834.025879,203.378464,-4339.468750,-43.213406,567.403259,-4.909356,0.833873
15,1981682.625000,-1802910.250000,86153.398438,-81769.765625,-125270.226562,-201040.140625,0.186585
16,-67755064.000000,227656224.000000,-295930976.000000,103235032.000000,27184680.000000,1622227.500000,0.310065
17,10274287.000000,-987368.062500,1950990.000000,439518.718750,1042168.750000,-1787716.125000,-0.594755
18,-655384.750000,1169247.375000,450807.625000,-25827.230469,-37142.750000,71127.218750,-0.593717
19,39755.867188,42887.031250,8969.980469,1151.733887,2069.734375,-2030.932495,-0.756608
20,-21469.574219,-19309.218750,29772.474609,7150.301758,-2673.745605,1304.332275,0.211849
21,-171632.593750,-70657.312500,-132279.484375,31957.488281,-18853.820312,-37719.351562,0.191890
22,-179135.296875,-11938.238281,48095.406250,7730.994141,-24725.806641,12863.374023,0.032017
23,11811.583984,-322697.687500,-28600.355469,57464.882812,-4740.914551,41625.339844,-0.339093
24,849238.562500,-1792522.125000,-232823.750000,12218.272461,106229.421875,-160985.718750,0.974016
25,-102752.726562,364022.875000,370019.125000,-49319.355469,-74024.609375,52839.656250,0.319322
26,687322.437500,-1486720.875000,663399.312500,-105904.203125,-125617.234375,-174108.937500,0.100158
27,-146853.921875,-151973.984375,343483.531250,20597.949219,-112749.742188,-46301.488281,0.105285
28,110728.265625,-845033.500000,1325993.250000,40472.246094,-44336.316406,-34683.695312,-0.029497
29,7818.833008,15542.999023,-71302.687500,-7254.053711,12416.298828,2714.405273,-0.252670
30,-601851.125000,2010868.875000,462441.531250,-321503.781250,-9078.857422,-359495.437500,0.124768
31,-545842.312500,2413907.000000,4284294.500000,-1162622.750000,-537003.500000,190265.984375,-0.143861
32,132339.812500,81425.515625,-791.228027,-7212.569336,9792.477539,6588.176270,-0.012329
33,796351.812500,1582699.750000,-2080173.250000,681971.187500,-173852.656250,121364.734375,0.309582
34,23161.185547,4012.508057,59135.664062,-2348.167969,-9462.481445,-1797.518066,0.197673
35,-124684.203125,94228.648438,68287.593750,-21127.367188,9784.846680,-57915.121094,0.174329
36,-360383.031250,-699123.125000,214839.265625,-204239.328125,76862.312500,-104993.781250,-0.599892
37,2148997.750000,-463467.906250,-2281254.500000,-420190.781250,277485.343750,-459171.312500,0.364951
38,-380993.718750,552759.375000,-97774.062500,110235.882812,91601.218750,43438.214844,-0.045614
39,231161.578125,-244763.250000,-8511.690430,-50126.937500,-44747.109375,36204.398438,0.494821
40,6971.840820,50004.027344,97239.359375,15864.404297,14237.000000,-10506.792969,0.413197
41,96418.328125,-94323.882812,-19399.931641,-15430.645508,-10815.544922,-10232.602539,0.533223
42,50528.707031,-188614.312500,144152.093750,-32267.804688,-34868.183594,-37515.242188,0.421532
43,-295094.968750,-120130.742188,277089.468750,-38793.769531,-3597.812988,-33151.917969,-0.652130
44,46663.707031,10743.283203,212837.921875,28250.564453,35845.656250,-5765.186035,0.189679
45,-38202.488281,-49422.148438,-40182.164062,13708.081055,-2021.235596,-10817.905273,0.828052
46,423790.906250,51274.296875,270907.062500,-39509.722656,-33389.242188,69793.117188,-0.292073
47,-98173.742188,-72030.007812,-98266.937500,25572.300781,96.397720,-21457.894531,-0.750931
48,106287.085938,-228798.093750,-30274.388672,9084.133789,-1346.563599,36209.562500,0.294631
49,605680.812500,-264675.500000,-540060.375000,112594.906250,148232.406250,56487.718750,-0.231368
50,-27059.023438,-39485.281250,25023.912109,5401.606445,-5627.694824,687.403320,0.005913
51,-23410.916016,167623.406250,-82153.937500,-3739.135254,-7731.560547,2577.755615,0.096709
52,-965785.687500,2468779.500000,70494.265625,87470.750000,78720.617188,-75688.335938,0.154984
