Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000
2,-0.921682,-0.790522,1.475353,0.082648,-0.183904,-0.000009
3,-0.921872,-0.797422,1.445867,0.090519,-0.186164,0.000235
4,-0.923421,-0.806825,1.414253,0.099466,-0.189023,0.000489
5,-0.926265,-0.818573,1.380661,0.109411,-0.192450,0.000753
6,-0.930355,-0.832531,1.345199,0.120289,-0.196420,0.001028
7,-0.935623,-0.848521,1.308005,0.132018,-0.200903,0.001304
8,-0.942010,-0.866379,1.269231,0.144520,-0.205868,0.001591
9,-0.949477,-0.885944,1.228949,0.157721,-0.211299,0.001876
10,-0.957933,-0.907046,1.187336,0.171541,-0.217152,0.002159
11,-0.967335,-0.929521,1.144488,0.185904,-0.223409,0.002449
12,-0.977601,-0.953189,1.100561,0.200729,-0.230030,0.002734
13,-0.988672,-0.977897,1.055672,0.215945,-0.236989,0.003011
14,-1.000479,-1.003462,1.009948,0.231468,-0.244255,0.003294
15,-1.012955,-1.029717,0.963534,0.247225,-0.251797,0.003564
16,-1.026032,-1.056509,0.916554,0.263143,-0.259583,0.003839
17,-1.039636,-1.083668,0.869142,0.279147,-0.267583,0.004100
18,-1.053703,-1.111045,0.821434,0.295171,-0.275765,0.004355
19,-1.068157,-1.138469,0.773570,0.311135,-0.284096,0.004608
20,-1.082936,-1.165806,0.725675,0.326980,-0.292547,0.004851
21,-1.097967,-1.192908,0.677877,0.342638,-0.301088,0.005089
22,-1.113182,-1.219622,0.630319,0.358040,-0.309685,0.005324
23,-1.128524,-1.245834,0.583111,0.373135,-0.318314,0.005543
24,-1.143916,-1.271412,0.536386,0.387861,-0.326941,0.005761
25,-1.159292,-1.296228,0.490277,0.402160,-0.335535,0.005961
26,-1.174590,-1.320165,0.444892,0.415979,-0.344070,0.006157
27,-1.189743,-1.343122,0.400355,0.429271,-0.352513,0.006340
28,-1.204699,-1.364996,0.356760,0.441988,-0.360845,0.006510
29,-1.219382,-1.385694,0.314229,0.454086,-0.369029,0.006668
30,-1.233742,-1.405129,0.272849,0.465526,-0.377043,0.006819
31,-1.247732,-1.423222,0.232702,0.476270,-0.384868,0.006952
32,-1.261263,-1.439907,0.193908,0.486288,-0.392463,0.007072
33,-1.274305,-1.455108,0.156522,0.495543,-0.399815,0.007176
34,-1.286800,-1.468784,0.120623,0.504016,-0.406900,0.007273
35,-1.298688,-1.480872,0.086280,0.511678,-0.413690,0.007349
36,-1.309926,-1.491332,0.053556,0.518510,-0.420167,0.007415
37,-1.320466,-1.500130,0.022492,0.524496,-0.426312,0.007462
38,-1.330257,-1.507239,-0.006857,0.529625,-0.432102,0.007497
39,-1.339261,-1.512646,-0.034459,0.533890,-0.437520,0.007520
