Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,1.984972,-0.368924,38.193317,-0.717778,2.339651,0.000568
3,1.709558,-0.454034,37.894287,-0.697846,2.269924,0.001518
4,1.377452,-0.545372,37.685268,-0.652562,2.115125,0.002294
5,1.005215,-0.631827,37.440647,-0.585684,1.891553,0.002806
6,0.611751,-0.701429,37.007893,-0.502774,1.621772,0.003036
7,0.216466,-0.744683,36.242344,-0.410220,1.329740,0.003018
8,-0.160643,-0.756038,35.040649,-0.314180,1.036337,0.002825
9,-0.497620,-0.732980,33.357361,-0.219759,0.756724,0.002541
10,-0.769942,-0.673800,31.201815,-0.130654,0.500099,0.002235
11,-0.950971,-0.576064,28.622263,-0.049295,0.271081,0.001959
12,-1.014195,-0.436241,25.687702,0.022784,0.071681,0.001744
13,-0.936672,-0.250683,22.473661,0.084555,-0.097169,0.001607
14,-0.701607,-0.017033,19.052979,0.135238,-0.234752,0.001548
15,-0.301030,0.264424,15.491462,0.174168,-0.340249,0.001557
16,0.262612,0.589683,11.845526,0.200791,-0.412837,0.001612
17,0.975729,0.950377,8.161790,0.214723,-0.451956,0.001677
18,-109.475784,-117.403748,310.767944,-5.202378,-7.351374,-1.649753
19,-2.626672,-7.165151,21.310797,-0.340987,-0.857610,0.008173
20,-1.939362,-1.445139,10.811755,-0.033711,-0.211328,0.002714
21,-1.932803,-1.230016,10.356894,-0.031320,-0.204167,0.002690
22,-0.433491,0.474679,19.753048,0.229670,-1.003643,0.014351
23,-1.341677,-0.064080,11.758977,0.067042,-0.399711,0.005760
24,-1.387501,-0.067169,10.523443,0.044520,-0.343119,0.004866
25,-1.377031,-0.036660,9.692804,0.032093,-0.320243,0.004457
26,-1.352848,-0.007933,8.790650,0.021055,-0.294187,0.004006
27,-1.313119,0.012522,7.832257,0.010947,-0.265403,0.003517
28,-1.258188,0.027708,6.826247,0.002175,-0.233684,0.002998
29,-11.428491,4.686928,22.982815,0.445309,-0.090630,0.010268
30,-4.273641,5.761631,22.733397,0.540870,-1.138672,0.020447
31,-1.512869,0.390805,5.037676,0.014003,-0.146990,0.002055
32,-1.713510,0.671217,6.144971,0.036812,-0.224143,0.003228
33,-1.350163,0.114530,3.738689,-0.017429,-0.101930,0.001081
34,-3.904742,2.339328,8.756016,0.181816,-0.151250,0.004684
35,-1.252064,0.407233,4.577173,0.007162,-0.212425,0.002454
36,-1.161845,0.112276,2.861922,-0.019859,-0.098227,0.000893
37,-1.112812,0.392800,3.269877,0.006504,-0.149897,0.001780
38,-0.964866,0.031842,2.128356,-0.025250,-0.083346,0.000603
39,-0.823557,0.065372,1.732545,-0.019428,-0.076513,0.000582
40,-0.679303,0.042579,1.339479,-0.018417,-0.066247,0.000464
