Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,0.411036,-0.799291,-28.841166,0.606003,-1.892285,0.011210,0.741598
2,-0.448307,-1.967397,-22.708050,0.810642,-2.049810,0.017443,0.744422
3,0.099208,-2.085029,-19.531462,0.837112,-1.698560,0.008522,0.748625
4,0.533887,-1.956654,-17.141245,0.800381,-1.366009,0.000342,0.753989
5,0.691649,-1.770075,-15.066616,0.741384,-1.115818,-0.005269,0.760316
6,0.623314,-1.578973,-13.165858,0.676392,-0.936605,-0.008851,0.767425
7,0.401853,-1.399704,-11.376137,0.611704,-0.808780,-0.011018,0.775147
8,0.090736,-1.235814,-9.663378,0.549295,-0.715450,-0.012195,0.783323
9,-0.259547,-1.086116,-8.009819,0.489321,-0.643589,-0.012662,0.791809
10,-0.610442,-0.947967,-6.408556,0.431326,-0.583647,-0.012600,0.800473
11,-0.933585,-0.819007,-4.860459,0.374848,-0.528915,-0.012135,0.809200
12,-1.209176,-0.697536,-3.372031,0.319659,-0.474965,-0.011367,0.817889
13,-1.424540,-0.582697,-1.953070,0.265821,-0.419117,-0.010379,0.826453
14,-1.572893,-0.474315,-0.615379,0.213670,-0.360047,-0.009250,0.834821
15,-1.651795,-0.372648,0.628369,0.163716,-0.297296,-0.008050,0.842937
16,-1.662725,-0.278152,1.766261,0.116563,-0.231140,-0.006848,0.850756
17,-1.609454,-0.191082,2.787191,0.072762,-0.162162,-0.005701,0.858249
18,-1.497921,-0.111613,3.682453,0.032789,-0.091230,-0.004657,0.865393
19,-1.335007,-0.039479,4.445152,-0.003070,-0.019241,-0.003748,0.872178
20,-1.128446,0.025817,5.071262,-0.034699,0.052864,-0.002993,0.878598
21,-0.886288,0.084952,5.559476,-0.062144,0.124199,-0.002397,0.884656
22,-0.616729,0.138837,5.911257,-0.085615,0.193927,-0.001955,0.890359
23,-0.327626,0.188365,6.130235,-0.105428,0.261300,-0.001651,0.895716
24,-0.026798,0.234395,6.222742,-0.121970,0.325612,-0.001465,0.900742
25,0.278552,0.277803,6.196596,-0.135683,0.386242,-0.001374,0.905451
26,0.581566,0.319184,6.061510,-0.146983,0.442608,-0.001353,0.909858
27,0.875834,0.359044,5.828547,-0.156282,0.494165,-0.001380,0.913980
28,1.155732,0.397745,5.509375,-0.163958,0.540450,-0.001433,0.917834
29,1.416134,0.435464,5.116504,-0.170335,0.581031,-0.001495,0.921437
30,1.652681,0.472222,4.662637,-0.175676,0.615556,-0.001552,0.924805
31,1.861847,0.507962,4.160442,-0.180205,0.643759,-0.001591,0.927955
32,2.040809,0.542572,3.622303,-0.184095,0.665439,-0.001603,0.930902
33,2.187650,0.575792,3.060264,-0.187468,0.680520,-0.001583,0.933661
34,2.301287,0.607385,2.485515,-0.190408,0.689020,-0.001526,0.936248
35,2.381497,0.637136,1.908386,-0.192984,0.691080,-0.001432,0.938676
36,2.428827,0.664726,1.338613,-0.195214,0.686955,-0.001300,0.940959
37,2.444560,0.689954,0.784619,-0.197122,0.677004,-0.001131,0.943111
38,2.430702,0.712656,0.253933,-0.198719,0.661706,-0.000929,0.945144
39,2.389832,0.732688,-0.247232,-0.200006,0.641628,-0.000697,0.947070
40,2.324956,0.749967,-0.713506,-0.200986,0.617407,-0.000440,0.948902
41,2.239551,0.764431,-1.140709,-0.201652,0.589768,-0.000161,0.950649
42,2.137256,0.776112,-1.525851,-0.202013,0.559452,0.000132,0.952322
43,2.021878,0.785104,-1.866839,-0.202082,0.527232,0.000435,0.953930
44,1.897225,0.791512,-2.162394,-0.201873,0.493876,0.000745,0.955483
45,1.767027,0.795490,-2.412242,-0.201405,0.460135,0.001055,0.956986
46,1.634857,0.797226,-2.616803,-0.200702,0.426727,0.001361,0.958448
47,1.504007,0.796940,-2.777099,-0.199794,0.394309,0.001659,0.959875
48,1.377465,0.794853,-2.894894,-0.198711,0.363476,0.001946,0.961272
49,1.257833,0.791168,-2.972215,-0.197474,0.334740,0.002219,0.962642
50,1.147337,0.786136,-3.011656,-0.196120,0.308538,0.002475,0.963990
51,1.047783,0.779948,-3.015940,-0.194671,0.285216,0.002712,0.965319
52,0.960532,0.772846,-2.988244,-0.193157,0.265026,0.002930,0.966630
53,0.886518,0.764968,-2.931668,-0.191589,0.248124,0.003127,0.967926
54,0.826317,0.756468,-2.849645,-0.189982,0.234599,0.003302,0.969206
55,0.780102,0.747539,-2.745265,-0.188358,0.224445,0.003457,0.970470
56,0.747737,0.738256,-2.622064,-0.186716,0.217596,0.003590,0.971720
57,0.728699,0.728723,-2.483115,-0.185062,0.213895,0.003703,0.972953
58,0.722295,0.718986,-2.331617,-0.183388,0.213158,0.003797,0.974168
59,0.727625,0.709084,-2.170410,-0.181688,0.215150,0.003871,0.975365
60,0.743518,0.699078,-2.002533,-0.179961,0.219583,0.003929,0.976542
61,0.768711,0.688924,-1.830439,-0.178183,0.226142,0.003970,0.977697
62,0.801880,0.678636,-1.656729,-0.176347,0.234513,0.003996,0.978828
63,0.841641,0.668201,-1.483503,-0.174438,0.244360,0.004008,0.979934
64,0.886514,0.657576,-1.312917,-0.172438,0.255330,0.004006,0.981012
65,0.935082,0.646756,-1.146660,-0.170336,0.267087,0.003994,0.982061
66,0.985983,0.635686,-0.986408,-0.168117,0.279313,0.003971,0.983079
67,1.037889,0.624312,-0.833397,-0.165762,0.291692,0.003939,0.984065
68,1.089504,0.612635,-0.688914,-0.163266,0.303923,0.003898,0.985018
69,1.139719,0.600585,-0.553789,-0.160613,0.315746,0.003849,0.985935
70,1.187490,0.588169,-0.428810,-0.157802,0.326922,0.003794,0.986817
71,1.231817,0.575358,-0.314521,-0.154828,0.337217,0.003732,0.987662
72,1.271914,0.562132,-0.211413,-0.151687,0.346454,0.003665,0.988470
73,1.307083,0.548510,-0.119466,-0.148386,0.354468,0.003594,0.989240
74,1.336793,0.534455,-0.038810,-0.144917,0.361144,0.003518,0.989972
75,1.360574,0.520004,0.030653,-0.141296,0.366374,0.003438,0.990667
76,1.378123,0.505144,0.089123,-0.137520,0.370094,0.003355,0.991324
77,1.389145,0.489965,0.136894,-0.133617,0.372238,0.003270,0.991944
78,1.393667,0.474437,0.174558,-0.129587,0.372818,0.003182,0.992527
79,1.391631,0.458617,0.202568,-0.125443,0.371822,0.003092,0.993074
80,1.383181,0.442538,0.221547,-0.121204,0.369293,0.003001,0.993585
81,1.368438,0.426253,0.232032,-0.116884,0.365262,0.002909,0.994063
82,1.347729,0.409834,0.234889,-0.112507,0.359808,0.002816,0.994507
83,1.321372,0.393296,0.230819,-0.108081,0.353008,0.002722,0.994919
84,1.289761,0.376703,0.220489,-0.103627,0.344964,0.002628,0.995300
85,1.253356,0.360133,0.204763,-0.099167,0.335780,0.002535,0.995652
86,1.212619,0.343615,0.184364,-0.094713,0.325571,0.002442,0.995975
87,1.168111,0.327231,0.160103,-0.090289,0.314467,0.002350,0.996272
88,1.120305,0.311013,0.132557,-0.085906,0.302587,0.002259,0.996543
89,1.069818,0.295012,0.102640,-0.081580,0.290070,0.002170,0.996790
90,1.017173,0.279314,0.070866,-0.077333,0.277046,0.002082,0.997015
91,0.962915,0.263940,0.037907,-0.073174,0.263643,0.001996,0.997219
92,0.907641,0.248943,0.004382,-0.069120,0.250003,0.001912,0.997403
93,0.851840,0.234377,-0.029164,-0.065181,0.236237,0.001830,0.997570
94,0.796062,0.220287,-0.062218,-0.061374,0.222477,0.001751,0.997719
95,0.740714,0.206674,-0.094452,-0.057699,0.208823,0.001675,0.997853
96,0.686311,0.193616,-0.125352,-0.054174,0.195390,0.001602,0.997973
97,0.633281,0.181127,-0.154624,-0.050807,0.182285,0.001531,0.998081
98,0.581996,0.169225,-0.181946,-0.047598,0.169591,0.001464,0.998176
99,0.532805,0.157950,-0.207112,-0.044561,0.157394,0.001400,0.998261
100,0.485924,0.147250,-0.229992,-0.041682,0.145743,0.001339,0.998337
101,0.441803,0.137261,-0.250197,-0.038991,0.134739,0.001281,0.998405
102,0.400472,0.127847,-0.267911,-0.036461,0.124398,0.001227,0.998464
103,0.362092,0.119109,-0.283071,-0.034110,0.114757,0.001176,0.998518
104,0.326938,0.111015,-0.295429,-0.031932,0.105875,0.001128,0.998565
105,0.294942,0.103562,-0.305244,-0.029926,0.097743,0.001083,0.998607
106,0.266205,0.096699,-0.312466,-0.028078,0.090384,0.001042,0.998644
107,0.240848,0.090468,-0.317029,-0.026397,0.083820,0.001003,0.998678
108,0.218608,0.084837,-0.319338,-0.024876,0.077999,0.000968,0.998708
109,0.199617,0.079790,-0.319237,-0.023510,0.072946,0.000935,0.998735
110,0.183718,0.075259,-0.317027,-0.022281,0.068631,0.000905,0.998759
111,0.170838,0.071290,-0.312749,-0.021199,0.065031,0.000878,0.998781
112,0.160777,0.067819,-0.306636,-0.020248,0.062102,0.000853,0.998800
113,0.153317,0.064797,-0.298958,-0.019416,0.059799,0.000831,0.998817
114,0.148379,0.062204,-0.289750,-0.018696,0.058097,0.000810,0.998833
115,0.145726,0.060017,-0.279233,-0.018082,0.056941,0.000791,0.998846
116,0.145141,0.058213,-0.267637,-0.017568,0.056285,0.000775,0.998858
117,0.146421,0.056743,-0.255116,-0.017143,0.056080,0.000760,0.998868
