Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm)
88,-0.551847,-0.384036,0.606532,0.100044,-0.189799,-0.002220
89,-0.514048,-0.351511,0.623854,0.087924,-0.175663,-0.001925
90,-0.476142,-0.319439,0.640543,0.076091,-0.161505,-0.001644
91,-0.438154,-0.287830,0.656590,0.064545,-0.147333,-0.001361
92,-0.400169,-0.256726,0.671937,0.053301,-0.133183,-0.001090
93,-0.362210,-0.226151,0.686581,0.042367,-0.119061,-0.000822
94,-0.324342,-0.196117,0.700490,0.031742,-0.104994,-0.000562
95,-0.286622,-0.166649,0.713637,0.021433,-0.091005,-0.000312
96,-0.249096,-0.137767,0.726004,0.011445,-0.077112,-0.000076
97,-0.211815,-0.109483,0.737583,0.001779,-0.063335,0.000165
98,-0.174815,-0.081814,0.748364,-0.007563,-0.049687,0.000392
99,-0.138152,-0.054769,0.758331,-0.016581,-0.036193,0.000610
100,-0.101869,-0.028347,0.767489,-0.025281,-0.022868,0.000825
101,-0.066006,-0.002574,0.775828,-0.033657,-0.009727,0.001031
102,-0.030608,0.022560,0.783349,-0.041716,0.003211,0.001230
103,0.004280,0.047058,0.790054,-0.049466,0.015928,0.001420
104,0.038621,0.070908,0.795943,-0.056906,0.028409,0.001597
105,0.072385,0.094113,0.801030,-0.064041,0.040644,0.001774
106,0.105518,0.116669,0.805315,-0.070875,0.052609,0.001944
107,0.138004,0.138601,0.808820,-0.077423,0.064300,0.002099
108,0.169799,0.159895,0.811547,-0.083684,0.075698,0.002251
109,0.200880,0.180560,0.813514,-0.089665,0.086795,0.002392
110,0.231225,0.200618,0.814743,-0.095381,0.097581,0.002534
111,0.260794,0.220075,0.815243,-0.100838,0.108041,0.002662
112,0.289576,0.238930,0.815038,-0.106040,0.118171,0.002786
113,0.317540,0.257197,0.814146,-0.110995,0.127958,0.002905
114,0.344659,0.274900,0.812584,-0.115720,0.137391,0.003013
115,0.370935,0.292051,0.810387,-0.120223,0.146472,0.003115
116,0.396349,0.308652,0.807575,-0.124506,0.155195,0.003212
117,0.420865,0.324732,0.804160,-0.128587,0.163543,0.003303
118,0.444502,0.340309,0.800186,-0.132477,0.171524,0.003384
119,0.467237,0.355386,0.795667,-0.136178,0.179132,0.003465
120,0.489072,0.369992,0.790640,-0.139709,0.186366,0.003541
121,0.509999,0.384142,0.785123,-0.143074,0.193223,0.003608
122,0.530020,0.397846,0.779157,-0.146285,0.199706,0.003677
123,0.549115,0.411129,0.772747,-0.149352,0.205805,0.003735
124,0.567316,0.424002,0.765946,-0.152283,0.211537,0.003794
125,0.584604,0.436493,0.758765,-0.155091,0.216892,0.003842
126,0.600981,0.448613,0.751236,-0.157785,0.221871,0.003891
127,0.616482,0.460376,0.743396,-0.160369,0.226493,0.003937
128,0.631093,0.471807,0.735263,-0.162858,0.230748,0.003982
129,0.644852,0.482927,0.726880,-0.165263,0.234656,0.004017
130,0.657750,0.493734,0.718260,-0.167581,0.238214,0.004056
131,0.669809,0.504259,0.709436,-0.169830,0.241429,0.004088
132,0.681040,0.514517,0.700431,-0.172015,0.244309,0.004122
133,0.691476,0.524531,0.691286,-0.174150,0.246868,0.004154
134,0.701125,0.534294,0.682009,-0.176228,0.249109,0.004179
135,0.710014,0.543838,0.672634,-0.178266,0.251046,0.004208
136,0.718164,0.553178,0.663188,-0.180270,0.252687,0.004238
137,0.725599,0.562324,0.653694,-0.182245,0.254044,0.004261
138,0.732339,0.571284,0.644168,-0.184194,0.255124,0.004284
139,0.738414,0.580077,0.634641,-0.186125,0.255944,0.004304
140,0.743865,0.588715,0.625140,-0.188044,0.256520,0.004331
141,0.748700,0.597208,0.615673,-0.189954,0.256856,0.004349
142,0.752950,0.605571,0.606267,-0.191861,0.256966,0.004372
143,0.756649,0.613812,0.596940,-0.193768,0.256866,0.004396
144,0.759823,0.621931,0.587709,-0.195676,0.256568,0.004418
145,0.762510,0.629956,0.578595,-0.197594,0.256087,0.004443
146,0.764740,0.637889,0.569616,-0.199522,0.255438,0.004463
147,0.766541,0.645728,0.560786,-0.201460,0.254633,0.004490
148,0.767935,0.653490,0.552112,-0.203412,0.253683,0.004511
149,0.768964,0.661185,0.543618,-0.205384,0.252606,0.004539
150,0.769652,0.668806,0.535308,-0.207369,0.251412,0.004562
151,0.770041,0.676355,0.527198,-0.209368,0.250120,0.004591
152,0.770149,0.683865,0.519298,-0.211394,0.248739,0.004619
153,0.770013,0.691328,0.511619,-0.213442,0.247285,0.004652
154,0.769675,0.698742,0.504172,-0.215509,0.245776,0.004686
155,0.769148,0.706103,0.496956,-0.217593,0.244218,0.004719
156,0.768459,0.713427,0.489978,-0.219698,0.242623,0.004751
