Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_z
0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.740453
1,4.679482,-0.879719,-28.615517,0.624536,-0.365909,-0.015296,0.741536
2,2.489353,-0.435016,-15.186625,-0.024218,0.747295,-0.006058,0.744016
3,0.555308,-0.133984,-12.793161,-0.084446,0.406396,-0.000973,0.747391
4,-0.528945,-0.033876,-10.672540,-0.078348,0.116771,0.001281,0.751497
5,-1.053603,-0.050851,-7.466770,-0.069511,-0.037828,0.002067,0.756135
6,-1.248883,-0.133234,-2.755882,-0.072424,-0.081744,0.002163,0.761019
7,-1.230024,-0.246909,3.731248,-0.097605,-0.017665,0.001977,0.765751
8,-1.047161,-0.356434,11.836987,-0.152677,0.165132,0.001784,0.769831
9,-0.824407,-0.416150,19.562426,-0.205479,0.360950,0.001709,0.772749
10,-1.295989,-0.497625,19.591036,-0.044679,-0.148652,0.000933,0.774318
11,1.325983,0.180716,33.740898,-0.657172,2.065133,0.004297,0.774090
12,-1449.029663,-853.696838,-4957.465332,-74.067375,306.786041,-36.340813,0.895648
13,-366.010986,-131.453293,3201.958740,11.094818,-97.843468,4.821535,0.921213
14,809.679993,-244.819153,-440.993378,52.859871,184.271713,10.660146,0.936708
15,980.458069,913.444763,587.423706,-255.558868,308.383820,-17.374868,0.917054
16,-616.187378,-388.926971,-745.136108,157.677704,-216.434769,12.289630,0.895584
17,97.612465,-77.405701,-54.971500,16.125299,15.667786,3.308332,0.883770
18,-8459.355469,-6594.888184,-11386.375000,204.375473,170.276901,-392.835449,0.175846
19,-121.722130,53.617016,-327.781494,51.658756,-226.136154,62.690784,0.212729
20,-121.955315,-309.954712,-197.409805,54.940914,131.008850,-25.898396,0.221839
21,473.667969,-317.042725,131.816864,24.589752,58.374306,-12.301895,0.208543
22,108.252678,21.438034,-24.508295,-32.922321,-9.263317,4.261014,0.206684
23,31.413561,58.883968,178.578766,-15.889514,-16.045231,3.058535,0.219919
24,28.134996,52.343071,11.074335,-5.570936,-7.818179,4.478163,0.244159
25,107.978668,28.213457,6.322019,1.314880,25.646252,-4.011696,0.277296
26,32.992710,-27.016743,-82.444496,18.576433,7.370306,-1.103722,0.316106
27,2.803603,46.657906,-95.713196,-6.875393,4.533036,3.059865,0.359129
28,-38.525826,42.728218,-102.620453,-8.358581,-5.026639,3.134167,0.404429
29,-100.907974,31.641476,-83.282066,-6.951499,-22.358284,6.166841,0.450288
30,-5.349462,52.832531,-53.352154,-13.756151,6.939714,3.947886,0.494113
31,52.201897,41.547295,-44.252125,-9.950972,21.462854,1.793666,0.535514
32,69.171997,4.979758,-39.370972,1.627936,22.302319,-0.439476,0.576199
