Step,Fx(N),Fy(N),Fz(N),Tx(Nm),Ty(Nm),Tz(Nm),EE_x,EE_y,EE_z,Kp_x,Kp_y,Kp_z,Kp_rx,Kp_ry,Kp_rz,Kd_x,Kd_y,Kd_z,Kd_rx,Kd_ry,Kd_rz
13,8.821793,0.710199,-1.222782,-0.211783,2.729644,0.009790,0.563509,-0.017483,0.546482,291.2039,141.3129,291.2039,291.2039,287.4986,5.0000,1.0000,1.0000,1.0000,39.2387,56.7868,13.9394
14,9.819284,0.809957,-2.627178,-0.241804,3.044685,0.009998,0.570965,-0.018818,0.529592,292.9631,122.2394,292.9631,292.9631,289.9989,5.0000,1.0000,1.0000,1.0000,43.3910,57.4294,18.8942
15,10.359065,0.916615,-3.836778,-0.276332,3.216570,0.008459,0.576470,-0.020071,0.513428,294.3705,105.9172,294.3705,294.3705,291.9991,5.0000,1.0000,1.0000,1.0000,46.7128,57.9435,23.3968
16,10.506198,0.965822,-4.795797,-0.290608,3.267268,0.007547,0.579944,-0.021232,0.498221,295.4964,92.4938,295.4964,295.4964,293.5993,5.0000,1.0000,1.0000,1.0000,49.3702,58.3548,27.3856
17,10.271722,1.076111,-5.468729,-0.323305,3.197994,-0.014028,0.581385,-0.022277,0.484151,296.3971,81.8295,296.3971,296.3971,294.8794,5.0000,1.0000,1.0000,1.0000,51.4962,58.6839,30.8554
18,9.730293,1.214880,-5.842690,-0.358783,3.034395,-0.089620,0.580854,-0.023181,0.471331,297.1177,73.6298,297.1177,297.1177,295.9035,5.0000,1.0000,1.0000,1.0000,53.1969,58.9471,33.8331
19,8.943253,1.354632,-5.925359,-0.397460,2.792686,-0.151738,0.578467,-0.023915,0.459813,297.6942,67.5420,297.6942,297.6942,296.7228,5.0000,1.0000,1.0000,1.0000,54.5575,59.1577,36.3627
20,7.955599,1.567351,-5.735782,-0.413020,2.499922,-0.462245,0.574384,-0.024451,0.449590,298.1553,63.2123,298.1553,298.1553,297.3783,5.0000,1.0000,1.0000,1.0000,55.6460,59.3261,38.4946
21,6.878917,1.609099,-5.320888,-0.428125,2.165214,-0.420516,0.568797,-0.024760,0.440601,298.5243,60.3058,298.5243,298.5243,297.9026,5.0000,1.0000,1.0000,1.0000,56.5168,59.4609,40.2792
22,5.661922,1.879854,-4.723993,-0.428424,1.809806,-0.899361,0.561924,-0.024820,0.432741,298.8194,58.5208,298.8194,298.8194,298.3221,5.0000,1.0000,1.0000,1.0000,57.2135,59.5687,41.7596
23,4.526277,1.617875,-4.029442,-0.444778,1.429788,-0.299071,0.553997,-0.024607,0.425874,299.0555,57.6084,299.0555,299.0555,298.6577,5.0000,1.0000,1.0000,1.0000,57.7708,59.6550,42.9708
24,23.427448,7.210139,9.159320,-4.247685,8.804428,4.710744,0.546404,-0.022850,0.422482,299.2444,57.3909,299.2444,299.2444,298.9261,5.0000,1.0000,1.0000,1.0000,58.2166,59.7240,43.9418
25,26.089499,3.268097,15.377952,-1.798855,9.010383,2.224748,0.541351,-0.021715,0.423065,299.3955,57.7295,299.3955,299.3955,299.1409,5.0000,1.0000,1.0000,1.0000,58.5733,59.7792,44.6954
26,27.406109,2.291799,16.789093,-3.613687,9.704665,0.534961,0.537311,-0.021041,0.423590,299.5164,58.4680,299.5164,299.5164,299.3127,5.0000,1.0000,1.0000,1.0000,58.8586,59.8233,45.2498
27,30.751236,4.448097,20.340044,-3.369414,10.087410,0.499948,0.533891,-0.020433,0.424028,299.6131,59.5008,299.6131,299.6131,299.4502,5.0000,1.0000,1.0000,1.0000,59.0869,59.8587,45.6137
